dataset_pid,dataset_pid_url,dataset_url,publication_date,dataset_version_number,dataset_version_create_time,dataverse_collection_alias,topicClassValue,topicClassVocab,topicClassVocabURI,keywordValue,keywordTermURI,keywordVocabulary,keywordVocabularyURI
doi:10.7910/DVN/2IEMVG,https://doi.org/10.7910/DVN/2IEMVG,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2IEMVG,,DRAFT,2023-06-27T02:30:05Z,MORU,"Malaria, Falciparum",MeSH,http://id.nlm.nih.gov/mesh/D016778,Artemisinins,,MeSH,http://id.nlm.nih.gov/mesh/D037621
doi:10.7910/DVN/2IEMVG,https://doi.org/10.7910/DVN/2IEMVG,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2IEMVG,,DRAFT,2023-06-27T02:30:05Z,MORU,"Malaria, Falciparum",MeSH,http://id.nlm.nih.gov/mesh/D016778,Mefloquine,,MeSH,http://id.nlm.nih.gov/mesh/D015767
doi:10.7910/DVN/2IEMVG,https://doi.org/10.7910/DVN/2IEMVG,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2IEMVG,,DRAFT,2023-06-27T02:30:05Z,MORU,"Malaria, Falciparum",MeSH,http://id.nlm.nih.gov/mesh/D016778,Amodiaquine,,MeSH,http://id.nlm.nih.gov/mesh/D000655
doi:10.7910/DVN/2IEMVG,https://doi.org/10.7910/DVN/2IEMVG,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2IEMVG,,DRAFT,2023-06-27T02:30:05Z,MORU,"Malaria, Falciparum",MeSH,http://id.nlm.nih.gov/mesh/D016778,"Artemether, Lumefantrine Drug Combination",,MeSH,http://id.nlm.nih.gov/mesh/D000077611
doi:10.7910/DVN/2OY0BX,https://doi.org/10.7910/DVN/2OY0BX,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2OY0BX,,DRAFT,2023-07-17T08:22:58Z,MORU,,,,Transients and Migrants,,MeSH,http://id.nlm.nih.gov/mesh/D014171
doi:10.7910/DVN/2OY0BX,https://doi.org/10.7910/DVN/2OY0BX,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2OY0BX,,DRAFT,2023-07-17T08:22:58Z,MORU,,,,Ethics,,MeSH,http://id.nlm.nih.gov/mesh/D004989
doi:10.7910/DVN/4EHA8V,https://doi.org/10.7910/DVN/4EHA8V,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/4EHA8V,,DRAFT,2023-07-11T08:23:50Z,MORU,,,,Melioidosis,,MeSH,http://id.nlm.nih.gov/mesh/D008554
doi:10.7910/DVN/4OBDG4,https://doi.org/10.7910/DVN/4OBDG4,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/4OBDG4,,DRAFT,2023-10-16T12:14:34Z,MORU,Malaria,MeSH,http://id.nlm.nih.gov/mesh/D008288,Malaria,,MeSH,http://id.nlm.nih.gov/mesh/D008288
doi:10.7910/DVN/4OBDG4,https://doi.org/10.7910/DVN/4OBDG4,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/4OBDG4,,DRAFT,2023-10-16T12:14:34Z,MORU,Malaria,MeSH,http://id.nlm.nih.gov/mesh/D008288,Refugees,,MeSH,http://id.nlm.nih.gov/mesh/D012036
doi:10.7910/DVN/4OBDG4,https://doi.org/10.7910/DVN/4OBDG4,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/4OBDG4,,DRAFT,2023-10-16T12:14:34Z,MORU,Malaria,MeSH,http://id.nlm.nih.gov/mesh/D008288,Microscopy,,MeSH,http://id.nlm.nih.gov/mesh/D008853
doi:10.7910/DVN/4OBDG4,https://doi.org/10.7910/DVN/4OBDG4,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/4OBDG4,,DRAFT,2023-10-16T12:14:34Z,MORU,Malaria,MeSH,http://id.nlm.nih.gov/mesh/D008288,Rapid Diagnostic Tests,,MeSH,http://id.nlm.nih.gov/mesh/D000092025
doi:10.7910/DVN/5C5ZFH,https://doi.org/10.7910/DVN/5C5ZFH,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5C5ZFH,,DRAFT,2023-09-08T07:54:30Z,MORU,Malaria,MeSH,http://id.nlm.nih.gov/mesh/D008288,Malaria,,MeSH,http://id.nlm.nih.gov/mesh/D008288
doi:10.7910/DVN/5C5ZFH,https://doi.org/10.7910/DVN/5C5ZFH,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5C5ZFH,,DRAFT,2023-09-08T07:54:30Z,MORU,Malaria,MeSH,http://id.nlm.nih.gov/mesh/D008288,Artesunate,,MeSH,http://id.nlm.nih.gov/mesh/D000077332
doi:10.7910/DVN/5ZCOAW,https://doi.org/10.7910/DVN/5ZCOAW,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5ZCOAW,,DRAFT,2023-07-27T02:51:51Z,MORU,"Influenza A Virus, H1N1 Subtype",MeSH,http://id.nlm.nih.gov/mesh/D053118,"Influenza, Human",,MeSH,http://id.nlm.nih.gov/mesh/D007251
doi:10.7910/DVN/5ZCOAW,https://doi.org/10.7910/DVN/5ZCOAW,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5ZCOAW,,DRAFT,2023-07-27T02:51:51Z,MORU,"Influenza A Virus, H1N1 Subtype",MeSH,http://id.nlm.nih.gov/mesh/D053118,"RNA, Small Interfering",,MeSH,http://id.nlm.nih.gov/mesh/D034741
doi:10.7910/DVN/5ZCOAW,https://doi.org/10.7910/DVN/5ZCOAW,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5ZCOAW,,DRAFT,2023-07-27T02:51:51Z,MORU,"Influenza A Virus, H1N1 Subtype",MeSH,http://id.nlm.nih.gov/mesh/D053118,Genetic Determinism,,MeSH,http://id.nlm.nih.gov/mesh/D033141
doi:10.7910/DVN/5ZCOAW,https://doi.org/10.7910/DVN/5ZCOAW,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5ZCOAW,,DRAFT,2023-07-27T02:51:51Z,MORU,"Influenza A Virus, H1N1 Subtype",MeSH,http://id.nlm.nih.gov/mesh/D053118,Exome Sequencing,,MeSH,http://id.nlm.nih.gov/mesh/D000073359
doi:10.7910/DVN/5ZCOAW,https://doi.org/10.7910/DVN/5ZCOAW,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5ZCOAW,,DRAFT,2023-07-27T02:51:51Z,MORU,"Influenza A Virus, H1N1 Subtype",MeSH,http://id.nlm.nih.gov/mesh/D053118,"Influenza A Virus, H1N1 Subtype",,MeSH,http://id.nlm.nih.gov/mesh/D053118
doi:10.7910/DVN/5ZCOAW,https://doi.org/10.7910/DVN/5ZCOAW,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5ZCOAW,,DRAFT,2023-07-27T02:51:51Z,MORU,"Influenza A Virus, H1N1 Subtype",MeSH,http://id.nlm.nih.gov/mesh/D053118,Cytogenetics,,MeSH,http://id.nlm.nih.gov/mesh/D003582
doi:10.7910/DVN/6NX0HF,https://doi.org/10.7910/DVN/6NX0HF,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6NX0HF,,DRAFT,2023-08-15T02:19:49Z,MORU,"Seizures, Febrile",MeSH,http://id.nlm.nih.gov/mesh/D003294,Health Plan Implementation,,MeSH,http://id.nlm.nih.gov/mesh/D006284
doi:10.7910/DVN/6NX0HF,https://doi.org/10.7910/DVN/6NX0HF,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6NX0HF,,DRAFT,2023-08-15T02:19:49Z,MORU,"Seizures, Febrile",MeSH,http://id.nlm.nih.gov/mesh/D003294,"Seizures, Febrile",,MeSH,http://id.nlm.nih.gov/mesh/D003294
doi:10.7910/DVN/6NX0HF,https://doi.org/10.7910/DVN/6NX0HF,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6NX0HF,,DRAFT,2023-08-15T02:19:49Z,MORU,"Seizures, Febrile",MeSH,http://id.nlm.nih.gov/mesh/D003294,Rapid Diagnostic Tests,,MeSH,http://id.nlm.nih.gov/mesh/D000092025
doi:10.7910/DVN/6NX0HF,https://doi.org/10.7910/DVN/6NX0HF,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6NX0HF,,DRAFT,2023-08-15T02:19:49Z,MORU,"Seizures, Febrile",MeSH,http://id.nlm.nih.gov/mesh/D003294,C-reactive protein,,MeSH,http://id.nlm.nih.gov/mesh/D002097
doi:10.7910/DVN/6NX0HF,https://doi.org/10.7910/DVN/6NX0HF,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6NX0HF,,DRAFT,2023-08-15T02:19:49Z,MORU,"Seizures, Febrile",MeSH,http://id.nlm.nih.gov/mesh/D003294,Anti-Bacterial Agents,,MeSH,http://id.nlm.nih.gov/mesh/D000900
doi:10.7910/DVN/6NX0HF,https://doi.org/10.7910/DVN/6NX0HF,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6NX0HF,,DRAFT,2023-08-15T02:19:49Z,MORU,"Seizures, Febrile",MeSH,http://id.nlm.nih.gov/mesh/D003294,Point-of-Care Systems,,MeSH,http://id.nlm.nih.gov/mesh/D019095
doi:10.7910/DVN/8SZ7UV,https://doi.org/10.7910/DVN/8SZ7UV,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SZ7UV,,DRAFT,2023-08-09T03:06:44Z,MORU,"Malaria, Falciparum",MeSH,http://id.nlm.nih.gov/mesh/D016778,"Malaria, Falciparum",,MeSH,http://id.nlm.nih.gov/mesh/D016778
doi:10.7910/DVN/8SZ7UV,https://doi.org/10.7910/DVN/8SZ7UV,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SZ7UV,,DRAFT,2023-08-09T03:06:44Z,MORU,"Malaria, Falciparum",MeSH,http://id.nlm.nih.gov/mesh/D016778,Antimalarials,,MeSH,http://id.nlm.nih.gov/mesh/D000962
doi:10.7910/DVN/8SZ7UV,https://doi.org/10.7910/DVN/8SZ7UV,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SZ7UV,,DRAFT,2023-08-09T03:06:44Z,MORU,"Malaria, Falciparum",MeSH,http://id.nlm.nih.gov/mesh/D016778,Lumefantrine,,MeSH,http://id.nlm.nih.gov/mesh/D000078102
doi:10.7910/DVN/8SZ7UV,https://doi.org/10.7910/DVN/8SZ7UV,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SZ7UV,,DRAFT,2023-08-09T03:06:44Z,MORU,"Malaria, Falciparum",MeSH,http://id.nlm.nih.gov/mesh/D016778,ganaplacide,,MeSH,http://id.nlm.nih.gov/mesh/C000599914
doi:10.7910/DVN/8SZ7UV,https://doi.org/10.7910/DVN/8SZ7UV,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SZ7UV,,DRAFT,2023-08-09T03:06:44Z,MORU,"Malaria, Falciparum",MeSH,http://id.nlm.nih.gov/mesh/D016778,"Artemether, Lumefantrine Drug Combination",,MeSH,http://id.nlm.nih.gov/mesh/D000077611
doi:10.7910/DVN/8YAM4Z,https://doi.org/10.7910/DVN/8YAM4Z,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8YAM4Z,,DRAFT,2023-10-24T03:59:02Z,MORU,"Malaria, Vivax",MeSH,http://id.nlm.nih.gov/mesh/D016780,"Malaria, Vivax",,MeSH,http://id.nlm.nih.gov/mesh/D016780
doi:10.7910/DVN/8YAM4Z,https://doi.org/10.7910/DVN/8YAM4Z,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8YAM4Z,,DRAFT,2023-10-24T03:59:02Z,MORU,"Malaria, Vivax",MeSH,http://id.nlm.nih.gov/mesh/D016780,Plasmodium vivax,,MeSH,http://id.nlm.nih.gov/mesh/D010966
doi:10.7910/DVN/8YAM4Z,https://doi.org/10.7910/DVN/8YAM4Z,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8YAM4Z,,DRAFT,2023-10-24T03:59:02Z,MORU,"Malaria, Vivax",MeSH,http://id.nlm.nih.gov/mesh/D016780,Glucosephosphate Dehydrogenase,,MeSH,http://id.nlm.nih.gov/mesh/D005954
doi:10.7910/DVN/8YAM4Z,https://doi.org/10.7910/DVN/8YAM4Z,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8YAM4Z,,DRAFT,2023-10-24T03:59:02Z,MORU,"Malaria, Vivax",MeSH,http://id.nlm.nih.gov/mesh/D016780,tafenoquine,,MeSH,http://id.nlm.nih.gov/mesh/C055852
doi:10.7910/DVN/8YAM4Z,https://doi.org/10.7910/DVN/8YAM4Z,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8YAM4Z,,DRAFT,2023-10-24T03:59:02Z,MORU,"Malaria, Vivax",MeSH,http://id.nlm.nih.gov/mesh/D016780,Primaquine,,MeSH,http://id.nlm.nih.gov/mesh/D011319
doi:10.7910/DVN/9KIX2F,https://doi.org/10.7910/DVN/9KIX2F,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9KIX2F,,DRAFT,2023-07-04T03:09:06Z,MORU,Malaria,MeSH,http://id.nlm.nih.gov/mesh/D008288,Malaria,,MeSH,http://id.nlm.nih.gov/mesh/D008288
doi:10.7910/DVN/9KIX2F,https://doi.org/10.7910/DVN/9KIX2F,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9KIX2F,,DRAFT,2023-07-04T03:09:06Z,MORU,Malaria,MeSH,http://id.nlm.nih.gov/mesh/D008288,Dengue,,MeSH,http://id.nlm.nih.gov/mesh/D003715
doi:10.7910/DVN/9KIX2F,https://doi.org/10.7910/DVN/9KIX2F,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9KIX2F,,DRAFT,2023-07-04T03:09:06Z,MORU,Malaria,MeSH,http://id.nlm.nih.gov/mesh/D008288,Leptospirosis,,MeSH,http://id.nlm.nih.gov/mesh/D007922
doi:10.7910/DVN/9KIX2F,https://doi.org/10.7910/DVN/9KIX2F,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9KIX2F,,DRAFT,2023-07-04T03:09:06Z,MORU,Malaria,MeSH,http://id.nlm.nih.gov/mesh/D008288,Rickettsia Infections,,MeSH,http://id.nlm.nih.gov/mesh/D012282
doi:10.7910/DVN/9KIX2F,https://doi.org/10.7910/DVN/9KIX2F,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9KIX2F,,DRAFT,2023-07-04T03:09:06Z,MORU,Malaria,MeSH,http://id.nlm.nih.gov/mesh/D008288,"Typhus, Endemic Flea-Borne",,MeSH,http://id.nlm.nih.gov/mesh/D014437
doi:10.7910/DVN/9KIX2F,https://doi.org/10.7910/DVN/9KIX2F,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9KIX2F,,DRAFT,2023-07-04T03:09:06Z,MORU,Malaria,MeSH,http://id.nlm.nih.gov/mesh/D008288,Scrub Typhus,,MeSH,http://id.nlm.nih.gov/mesh/D012612
doi:10.7910/DVN/9KIX2F,https://doi.org/10.7910/DVN/9KIX2F,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9KIX2F,,DRAFT,2023-07-04T03:09:06Z,MORU,Malaria,MeSH,http://id.nlm.nih.gov/mesh/D008288,Coinfection,,MeSH,http://id.nlm.nih.gov/mesh/D060085
doi:10.7910/DVN/9R9I20,https://doi.org/10.7910/DVN/9R9I20,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9R9I20,,DRAFT,2023-10-04T04:45:38Z,MORU,Respiratory Insufficiency,MeSH,http://id.nlm.nih.gov/mesh/D012131,Respiratory Insufficiency,,MeSH,http://id.nlm.nih.gov/mesh/D012131
doi:10.7910/DVN/9R9I20,https://doi.org/10.7910/DVN/9R9I20,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9R9I20,,DRAFT,2023-10-04T04:45:38Z,MORU,Respiratory Insufficiency,MeSH,http://id.nlm.nih.gov/mesh/D012131,Hypoxia,,MeSH,http://id.nlm.nih.gov/mesh/D000860
doi:10.7910/DVN/9R9I20,https://doi.org/10.7910/DVN/9R9I20,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9R9I20,,DRAFT,2023-10-04T04:45:38Z,MORU,Respiratory Insufficiency,MeSH,http://id.nlm.nih.gov/mesh/D012131,Respiratory Distress Syndrome,,MeSH,http://id.nlm.nih.gov/mesh/D012128
doi:10.7910/DVN/9R9I20,https://doi.org/10.7910/DVN/9R9I20,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9R9I20,,DRAFT,2023-10-04T04:45:38Z,MORU,Respiratory Insufficiency,MeSH,http://id.nlm.nih.gov/mesh/D012131,Acute Lung Injury,,MeSH,http://id.nlm.nih.gov/mesh/D055371
doi:10.7910/DVN/9R9I20,https://doi.org/10.7910/DVN/9R9I20,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9R9I20,,DRAFT,2023-10-04T04:45:38Z,MORU,Respiratory Insufficiency,MeSH,http://id.nlm.nih.gov/mesh/D012131,Continuous Positive Airway Pressure,,MeSH,http://id.nlm.nih.gov/mesh/D045422
doi:10.7910/DVN/A8MVTH,https://doi.org/10.7910/DVN/A8MVTH,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A8MVTH,,DRAFT,2023-09-18T03:42:38Z,MORU,"Malaria, Vivax",MeSH,http://id.nlm.nih.gov/mesh/D016780,"Malaria, Vivax",,MeSH,http://id.nlm.nih.gov/mesh/D016780
doi:10.7910/DVN/A8MVTH,https://doi.org/10.7910/DVN/A8MVTH,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A8MVTH,,DRAFT,2023-09-18T03:42:38Z,MORU,"Malaria, Vivax",MeSH,http://id.nlm.nih.gov/mesh/D016780,Hemolysis,,MeSH,http://id.nlm.nih.gov/mesh/D006461
doi:10.7910/DVN/A8MVTH,https://doi.org/10.7910/DVN/A8MVTH,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A8MVTH,,DRAFT,2023-09-18T03:42:38Z,MORU,"Malaria, Vivax",MeSH,http://id.nlm.nih.gov/mesh/D016780,Chloroquine,,MeSH,http://id.nlm.nih.gov/mesh/D002738
doi:10.7910/DVN/A8MVTH,https://doi.org/10.7910/DVN/A8MVTH,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A8MVTH,,DRAFT,2023-09-18T03:42:38Z,MORU,"Malaria, Vivax",MeSH,http://id.nlm.nih.gov/mesh/D016780,Primaquine,,MeSH,http://id.nlm.nih.gov/mesh/D011319
doi:10.7910/DVN/A8MVTH,https://doi.org/10.7910/DVN/A8MVTH,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A8MVTH,,DRAFT,2023-09-18T03:42:38Z,MORU,"Malaria, Vivax",MeSH,http://id.nlm.nih.gov/mesh/D016780,Glucosephosphate Dehydrogenase Deficiency,,MeSH,http://id.nlm.nih.gov/mesh/D005955
doi:10.7910/DVN/AJCWB1,https://doi.org/10.7910/DVN/AJCWB1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AJCWB1,,DRAFT,2023-08-14T17:47:53Z,MORU,Malaria Vaccines,MeSH,http://id.nlm.nih.gov/mesh/D017780,Malaria Vaccines,,MeSH,http://id.nlm.nih.gov/mesh/D017780
doi:10.7910/DVN/AJCWB1,https://doi.org/10.7910/DVN/AJCWB1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AJCWB1,,DRAFT,2023-08-14T17:47:53Z,MORU,Malaria Vaccines,MeSH,http://id.nlm.nih.gov/mesh/D017780,Mass Drug Administration,,MeSH,http://id.nlm.nih.gov/mesh/D000074381
doi:10.7910/DVN/AJCWB1,https://doi.org/10.7910/DVN/AJCWB1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AJCWB1,,DRAFT,2023-08-14T17:47:53Z,MORU,Malaria Vaccines,MeSH,http://id.nlm.nih.gov/mesh/D017780,Primaquine,,MeSH,http://id.nlm.nih.gov/mesh/D011319
doi:10.7910/DVN/AJCWB1,https://doi.org/10.7910/DVN/AJCWB1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AJCWB1,,DRAFT,2023-08-14T17:47:53Z,MORU,Malaria Vaccines,MeSH,http://id.nlm.nih.gov/mesh/D017780,Antibodies,,MeSH,http://id.nlm.nih.gov/mesh/D000906
doi:10.7910/DVN/AJCWB1,https://doi.org/10.7910/DVN/AJCWB1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AJCWB1,,DRAFT,2023-08-14T17:47:53Z,MORU,Malaria Vaccines,MeSH,http://id.nlm.nih.gov/mesh/D017780,Plasmodium falciparum,,MeSH,http://id.nlm.nih.gov/mesh/D010963
doi:10.7910/DVN/AJCWB1,https://doi.org/10.7910/DVN/AJCWB1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AJCWB1,,DRAFT,2023-08-14T17:47:53Z,MORU,Malaria Vaccines,MeSH,http://id.nlm.nih.gov/mesh/D017780,Dihydroartemisinin-Piperaquine,,,
doi:10.7910/DVN/ALDXWI,https://doi.org/10.7910/DVN/ALDXWI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ALDXWI,,DRAFT,2023-07-20T01:53:55Z,MORU,"Malaria, Vivax",MeSH,http://id.nlm.nih.gov/mesh/D016780,tafenoquine,,MeSH,http://id.nlm.nih.gov/mesh/C055852
doi:10.7910/DVN/ALDXWI,https://doi.org/10.7910/DVN/ALDXWI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ALDXWI,,DRAFT,2023-07-20T01:53:55Z,MORU,"Malaria, Vivax",MeSH,http://id.nlm.nih.gov/mesh/D016780,"Malaria, Vivax",,MeSH,http://id.nlm.nih.gov/mesh/D016780
doi:10.7910/DVN/ALDXWI,https://doi.org/10.7910/DVN/ALDXWI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ALDXWI,,DRAFT,2023-07-20T01:53:55Z,MORU,"Malaria, Vivax",MeSH,http://id.nlm.nih.gov/mesh/D016780,Glucosephosphate Dehydrogenase,,MeSH,http://id.nlm.nih.gov/mesh/D005954
doi:10.7910/DVN/ALDXWI,https://doi.org/10.7910/DVN/ALDXWI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ALDXWI,,DRAFT,2023-07-20T01:53:55Z,MORU,"Malaria, Vivax",MeSH,http://id.nlm.nih.gov/mesh/D016780,Primaquine,,MeSH,http://id.nlm.nih.gov/mesh/D011319
