dataset_pid,dataset_pid_url,dataset_url,publication_date,dataset_version_number,dataset_version_create_time,dataverse_collection_alias,keywordValue,keywordTermURI,keywordVocabulary,keywordVocabularyURI
doi:10.7910/DVN/ASM4DC,https://doi.org/10.7910/DVN/ASM4DC,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ASM4DC,,DRAFT,2023-07-27T06:30:25Z,MORU,Primary Health Care,,MeSH,http://id.nlm.nih.gov/mesh/D011320
doi:10.7910/DVN/ASM4DC,https://doi.org/10.7910/DVN/ASM4DC,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ASM4DC,,DRAFT,2023-07-27T06:30:25Z,MORU,Fever,,MeSH,http://id.nlm.nih.gov/mesh/D005334
doi:10.7910/DVN/ASM4DC,https://doi.org/10.7910/DVN/ASM4DC,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ASM4DC,,DRAFT,2023-07-27T06:30:25Z,MORU,Respiratory Tract Infections,,MeSH,http://id.nlm.nih.gov/mesh/D012141
doi:10.7910/DVN/ASM4DC,https://doi.org/10.7910/DVN/ASM4DC,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ASM4DC,,DRAFT,2023-07-27T06:30:25Z,MORU,Amoxicillin,,MeSH,http://id.nlm.nih.gov/mesh/D000658
doi:10.7910/DVN/ASM4DC,https://doi.org/10.7910/DVN/ASM4DC,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ASM4DC,,DRAFT,2023-07-27T06:30:25Z,MORU,Dicloxacillin,,MeSH,http://id.nlm.nih.gov/mesh/D004009
doi:10.7910/DVN/ASM4DC,https://doi.org/10.7910/DVN/ASM4DC,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ASM4DC,,DRAFT,2023-07-27T06:30:25Z,MORU,Norfloxacin,,MeSH,http://id.nlm.nih.gov/mesh/D009643
doi:10.7910/DVN/ASM4DC,https://doi.org/10.7910/DVN/ASM4DC,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ASM4DC,,DRAFT,2023-07-27T06:30:25Z,MORU,"Trimethoprim, Sulfamethoxazole Drug Combination",,MeSH,http://id.nlm.nih.gov/mesh/D015662
doi:10.7910/DVN/ASM4DC,https://doi.org/10.7910/DVN/ASM4DC,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ASM4DC,,DRAFT,2023-07-27T06:30:25Z,MORU,Penicillins,,MeSH,http://id.nlm.nih.gov/mesh/D010406
doi:10.7910/DVN/ASM4DC,https://doi.org/10.7910/DVN/ASM4DC,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ASM4DC,,DRAFT,2023-07-27T06:30:25Z,MORU,Roxithromycin,,MeSH,http://id.nlm.nih.gov/mesh/D015575
doi:10.7910/DVN/ASM4DC,https://doi.org/10.7910/DVN/ASM4DC,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ASM4DC,,DRAFT,2023-07-27T06:30:25Z,MORU,Metronidazole,,MeSH,http://id.nlm.nih.gov/mesh/D008795
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,"Sterilization, Reproductive",,MeSH,http://id.nlm.nih.gov/mesh/D013245
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,Intrauterine Devices,,MeSH,http://id.nlm.nih.gov/mesh/D007434
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,Family Planning Services,,MeSH,http://id.nlm.nih.gov/mesh/D005193
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,Long-Acting Reversible Contraception,,MeSH,http://id.nlm.nih.gov/mesh/D000075523
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,Refugees,,MeSH,http://id.nlm.nih.gov/mesh/D012036
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,Transients and Migrants,,MeSH,http://id.nlm.nih.gov/mesh/D014171
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,In depth interview,,,
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,Focus group discussion,,,
doi:10.7910/DVN/MIEGHB,https://doi.org/10.7910/DVN/MIEGHB,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MIEGHB,,DRAFT,2023-07-11T07:00:05Z,MORU,Resuscitation,,MeSH,http://id.nlm.nih.gov/mesh/D012151
doi:10.7910/DVN/MIEGHB,https://doi.org/10.7910/DVN/MIEGHB,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MIEGHB,,DRAFT,2023-07-11T07:00:05Z,MORU,Infant Mortality,,MeSH,http://id.nlm.nih.gov/mesh/D007226
doi:10.7910/DVN/MIEGHB,https://doi.org/10.7910/DVN/MIEGHB,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MIEGHB,,DRAFT,2023-07-11T07:00:05Z,MORU,Breech Presentation,,MeSH,http://id.nlm.nih.gov/mesh/D001946
doi:10.7910/DVN/MIEGHB,https://doi.org/10.7910/DVN/MIEGHB,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MIEGHB,,DRAFT,2023-07-11T07:00:05Z,MORU,Meconium,,MeSH,http://id.nlm.nih.gov/mesh/D008470
doi:10.7910/DVN/MIEGHB,https://doi.org/10.7910/DVN/MIEGHB,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MIEGHB,,DRAFT,2023-07-11T07:00:05Z,MORU,Fetal Distress,,MeSH,http://id.nlm.nih.gov/mesh/D005316
doi:10.7910/DVN/4EHA8V,https://doi.org/10.7910/DVN/4EHA8V,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/4EHA8V,,DRAFT,2023-07-11T08:23:50Z,MORU,Melioidosis,,MeSH,http://id.nlm.nih.gov/mesh/D008554
doi:10.7910/DVN/UUDS91,https://doi.org/10.7910/DVN/UUDS91,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/UUDS91,,DRAFT,2023-08-04T05:51:46Z,MORU,"Jaundice, Neonatal",,MeSH,http://id.nlm.nih.gov/mesh/D007567
doi:10.7910/DVN/UUDS91,https://doi.org/10.7910/DVN/UUDS91,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/UUDS91,,DRAFT,2023-08-04T05:51:46Z,MORU,"Hyperbilirubinemia, Neonatal",,MeSH,http://id.nlm.nih.gov/mesh/D051556
doi:10.7910/DVN/UUDS91,https://doi.org/10.7910/DVN/UUDS91,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/UUDS91,,DRAFT,2023-08-04T05:51:46Z,MORU,Bilirubin,,MeSH,http://id.nlm.nih.gov/mesh/D001663
doi:10.7910/DVN/UUDS91,https://doi.org/10.7910/DVN/UUDS91,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/UUDS91,,DRAFT,2023-08-04T05:51:46Z,MORU,Glucosephosphate Dehydrogenase Deficiency,,MeSH,http://id.nlm.nih.gov/mesh/D005955
doi:10.7910/DVN/UUDS91,https://doi.org/10.7910/DVN/UUDS91,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/UUDS91,,DRAFT,2023-08-04T05:51:46Z,MORU,Blood Group Incompatibility,,MeSH,http://id.nlm.nih.gov/mesh/D001787
doi:10.7910/DVN/UUDS91,https://doi.org/10.7910/DVN/UUDS91,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/UUDS91,,DRAFT,2023-08-04T05:51:46Z,MORU,Neonatal Sepsis,,MeSH,http://id.nlm.nih.gov/mesh/D000071074
doi:10.7910/DVN/UUDS91,https://doi.org/10.7910/DVN/UUDS91,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/UUDS91,,DRAFT,2023-08-04T05:51:46Z,MORU,"Infant, Premature",,MeSH,http://id.nlm.nih.gov/mesh/D007234
doi:10.7910/DVN/YDDSQU,https://doi.org/10.7910/DVN/YDDSQU,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YDDSQU,,DRAFT,2023-07-14T06:07:22Z,MORU,Mental Health,,MeSH,http://id.nlm.nih.gov/mesh/D008603
doi:10.7910/DVN/YDDSQU,https://doi.org/10.7910/DVN/YDDSQU,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YDDSQU,,DRAFT,2023-07-14T06:07:22Z,MORU,Depression,,MeSH,http://id.nlm.nih.gov/mesh/D003863
doi:10.7910/DVN/YDDSQU,https://doi.org/10.7910/DVN/YDDSQU,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YDDSQU,,DRAFT,2023-07-14T06:07:22Z,MORU,Transients and Migrants,,MeSH,http://id.nlm.nih.gov/mesh/D014171
doi:10.7910/DVN/YDDSQU,https://doi.org/10.7910/DVN/YDDSQU,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YDDSQU,,DRAFT,2023-07-14T06:07:22Z,MORU,Preventive Medicine,,MeSH,http://id.nlm.nih.gov/mesh/D011315
doi:10.7910/DVN/2OY0BX,https://doi.org/10.7910/DVN/2OY0BX,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2OY0BX,,DRAFT,2023-07-17T08:22:58Z,MORU,Transients and Migrants,,MeSH,http://id.nlm.nih.gov/mesh/D014171
doi:10.7910/DVN/2OY0BX,https://doi.org/10.7910/DVN/2OY0BX,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2OY0BX,,DRAFT,2023-07-17T08:22:58Z,MORU,Ethics,,MeSH,http://id.nlm.nih.gov/mesh/D004989
doi:10.7910/DVN/W2IK4B,https://doi.org/10.7910/DVN/W2IK4B,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/W2IK4B,,DRAFT,2023-07-11T03:08:00Z,MORU,"Malaria, Falciparum",,MeSH,http://id.nlm.nih.gov/mesh/D016778
doi:10.7910/DVN/W2IK4B,https://doi.org/10.7910/DVN/W2IK4B,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/W2IK4B,,DRAFT,2023-07-11T03:08:00Z,MORU,Artesunate,,MeSH,http://id.nlm.nih.gov/mesh/D000077332
doi:10.7910/DVN/W2IK4B,https://doi.org/10.7910/DVN/W2IK4B,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/W2IK4B,,DRAFT,2023-07-11T03:08:00Z,MORU,Mefloquine,,MeSH,http://id.nlm.nih.gov/mesh/D015767
doi:10.7910/DVN/5ZCOAW,https://doi.org/10.7910/DVN/5ZCOAW,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5ZCOAW,,DRAFT,2023-07-27T02:51:51Z,MORU,"Influenza, Human",,MeSH,http://id.nlm.nih.gov/mesh/D007251
doi:10.7910/DVN/5ZCOAW,https://doi.org/10.7910/DVN/5ZCOAW,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5ZCOAW,,DRAFT,2023-07-27T02:51:51Z,MORU,"RNA, Small Interfering",,MeSH,http://id.nlm.nih.gov/mesh/D034741
doi:10.7910/DVN/5ZCOAW,https://doi.org/10.7910/DVN/5ZCOAW,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5ZCOAW,,DRAFT,2023-07-27T02:51:51Z,MORU,Genetic Determinism,,MeSH,http://id.nlm.nih.gov/mesh/D033141
doi:10.7910/DVN/5ZCOAW,https://doi.org/10.7910/DVN/5ZCOAW,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5ZCOAW,,DRAFT,2023-07-27T02:51:51Z,MORU,Exome Sequencing,,MeSH,http://id.nlm.nih.gov/mesh/D000073359
doi:10.7910/DVN/5ZCOAW,https://doi.org/10.7910/DVN/5ZCOAW,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5ZCOAW,,DRAFT,2023-07-27T02:51:51Z,MORU,"Influenza A Virus, H1N1 Subtype",,MeSH,http://id.nlm.nih.gov/mesh/D053118
doi:10.7910/DVN/5ZCOAW,https://doi.org/10.7910/DVN/5ZCOAW,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5ZCOAW,,DRAFT,2023-07-27T02:51:51Z,MORU,Cytogenetics,,MeSH,http://id.nlm.nih.gov/mesh/D003582
doi:10.7910/DVN/JWHV4R,https://doi.org/10.7910/DVN/JWHV4R,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JWHV4R,,DRAFT,2023-08-15T05:24:50Z,MORU,Malaria,,MeSH,http://id.nlm.nih.gov/mesh/D008288
doi:10.7910/DVN/JWHV4R,https://doi.org/10.7910/DVN/JWHV4R,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JWHV4R,,DRAFT,2023-08-15T05:24:50Z,MORU,Parasitology,,MeSH,http://id.nlm.nih.gov/mesh/D010274
doi:10.7910/DVN/JWHV4R,https://doi.org/10.7910/DVN/JWHV4R,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JWHV4R,,DRAFT,2023-08-15T05:24:50Z,MORU,Entomology,,MeSH,http://id.nlm.nih.gov/mesh/D004772
doi:10.7910/DVN/JWHV4R,https://doi.org/10.7910/DVN/JWHV4R,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JWHV4R,,DRAFT,2023-08-15T05:24:50Z,MORU,Plasmodium falciparum,,,http://id.nlm.nih.gov/mesh/D010963
doi:10.7910/DVN/JWHV4R,https://doi.org/10.7910/DVN/JWHV4R,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JWHV4R,,DRAFT,2023-08-15T05:24:50Z,MORU,Drug Resistance,,MeSH,http://id.nlm.nih.gov/mesh/D004351
doi:10.7910/DVN/JWHV4R,https://doi.org/10.7910/DVN/JWHV4R,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JWHV4R,,DRAFT,2023-08-15T05:24:50Z,MORU,epidemiology,,MeSH,http://id.nlm.nih.gov/mesh/Q000453
doi:10.7910/DVN/JWHV4R,https://doi.org/10.7910/DVN/JWHV4R,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JWHV4R,,DRAFT,2023-08-15T05:24:50Z,MORU,Genetic Profile,,MeSH,http://id.nlm.nih.gov/mesh/D000076610
doi:10.7910/DVN/5C5ZFH,https://doi.org/10.7910/DVN/5C5ZFH,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5C5ZFH,,DRAFT,2023-09-08T07:54:30Z,MORU,Malaria,,MeSH,http://id.nlm.nih.gov/mesh/D008288
doi:10.7910/DVN/5C5ZFH,https://doi.org/10.7910/DVN/5C5ZFH,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5C5ZFH,,DRAFT,2023-09-08T07:54:30Z,MORU,Artesunate,,MeSH,http://id.nlm.nih.gov/mesh/D000077332
doi:10.7910/DVN/CJI8NI,https://doi.org/10.7910/DVN/CJI8NI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CJI8NI,,DRAFT,2023-09-12T03:28:09Z,MORU,"Pneumonia, Pneumococcal",,MeSH,http://id.nlm.nih.gov/mesh/D011018
doi:10.7910/DVN/CJI8NI,https://doi.org/10.7910/DVN/CJI8NI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CJI8NI,,DRAFT,2023-09-12T03:28:09Z,MORU,Microbial Sensitivity Tests,,MeSH,http://id.nlm.nih.gov/mesh/D008826
doi:10.7910/DVN/CJI8NI,https://doi.org/10.7910/DVN/CJI8NI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CJI8NI,,DRAFT,2023-09-12T03:28:09Z,MORU,Streptococcus pneumoniae,,MeSH,http://id.nlm.nih.gov/mesh/D013296
doi:10.7910/DVN/LSZLOT,https://doi.org/10.7910/DVN/LSZLOT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LSZLOT,,DRAFT,2023-09-08T04:01:19Z,MORU,"Drug Resistance, Microbial",,MeSH,http://id.nlm.nih.gov/mesh/D004352
doi:10.7910/DVN/LSZLOT,https://doi.org/10.7910/DVN/LSZLOT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LSZLOT,,DRAFT,2023-09-08T04:01:19Z,MORU,Social Discrimination,,MeSH,http://id.nlm.nih.gov/mesh/D063508
doi:10.7910/DVN/LSZLOT,https://doi.org/10.7910/DVN/LSZLOT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LSZLOT,,DRAFT,2023-09-08T04:01:19Z,MORU,Anti-Bacterial Agents,,MeSH,http://id.nlm.nih.gov/mesh/D000900
doi:10.7910/DVN/LSZLOT,https://doi.org/10.7910/DVN/LSZLOT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LSZLOT,,DRAFT,2023-09-08T04:01:19Z,MORU,Social Behavior,,MeSH,http://id.nlm.nih.gov/mesh/D012919
doi:10.7910/DVN/LSZLOT,https://doi.org/10.7910/DVN/LSZLOT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LSZLOT,,DRAFT,2023-09-08T04:01:19Z,MORU,"Economics, Behavioral",,MeSH,http://id.nlm.nih.gov/mesh/D060909
doi:10.7910/DVN/LSZLOT,https://doi.org/10.7910/DVN/LSZLOT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LSZLOT,,DRAFT,2023-09-08T04:01:19Z,MORU,Spatial Behavior,,MeSH,http://id.nlm.nih.gov/mesh/D013037
doi:10.7910/DVN/TXKRIV,https://doi.org/10.7910/DVN/TXKRIV,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TXKRIV,,DRAFT,2023-09-12T04:20:00Z,MORU,Pharmacokinetics,,MeSH,http://id.nlm.nih.gov/mesh/D010599
doi:10.7910/DVN/TXKRIV,https://doi.org/10.7910/DVN/TXKRIV,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TXKRIV,,DRAFT,2023-09-12T04:20:00Z,MORU,Drug Combinations,,MeSH,http://id.nlm.nih.gov/mesh/D004338
doi:10.7910/DVN/TXKRIV,https://doi.org/10.7910/DVN/TXKRIV,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TXKRIV,,DRAFT,2023-09-12T04:20:00Z,MORU,Glucosephosphate Dehydrogenase,,MeSH,http://id.nlm.nih.gov/mesh/D005954
doi:10.7910/DVN/TXKRIV,https://doi.org/10.7910/DVN/TXKRIV,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TXKRIV,,DRAFT,2023-09-12T04:20:00Z,MORU,"Artemether, Lumefantrine Drug Combination",,MeSH,http://id.nlm.nih.gov/mesh/D000077611
doi:10.7910/DVN/TXKRIV,https://doi.org/10.7910/DVN/TXKRIV,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TXKRIV,,DRAFT,2023-09-12T04:20:00Z,MORU,Amodiaquine,,MeSH,http://id.nlm.nih.gov/mesh/D000655
doi:10.7910/DVN/TXKRIV,https://doi.org/10.7910/DVN/TXKRIV,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TXKRIV,,DRAFT,2023-09-12T04:20:00Z,MORU,Primaquine,,MeSH,http://id.nlm.nih.gov/mesh/D011319
doi:10.7910/DVN/NEIEHJ,https://doi.org/10.7910/DVN/NEIEHJ,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/NEIEHJ,,DRAFT,2023-09-12T05:29:40Z,MORU,Melioidosis,,MeSH,http://id.nlm.nih.gov/mesh/D008554
doi:10.7910/DVN/NEIEHJ,https://doi.org/10.7910/DVN/NEIEHJ,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/NEIEHJ,,DRAFT,2023-09-12T05:29:40Z,MORU,Burkholderia pseudomallei,,MeSH,http://id.nlm.nih.gov/mesh/D016957
doi:10.7910/DVN/FAXQNQ,https://doi.org/10.7910/DVN/FAXQNQ,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FAXQNQ,,DRAFT,2023-08-22T04:55:20Z,MORU,Bilirubin,,MeSH,http://id.nlm.nih.gov/mesh/D001663
doi:10.7910/DVN/FAXQNQ,https://doi.org/10.7910/DVN/FAXQNQ,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FAXQNQ,,DRAFT,2023-08-22T04:55:20Z,MORU,Resource-Limited Settings,,MeSH,http://id.nlm.nih.gov/mesh/D000092943
