dataset_pid,has_funder_agency_ror_in_hdv,has_funderIdentifier_in_datacite,title,version_state,latest_version,first_version_created,major_version_publication_time,dataset_last_updated,file_count,citationText,dataverse_collection_alias,dataverse_name
doi:10.7910/DVN/4EBSTZ,TRUE,,Replication Data for: Culture and constitutional compliance,RELEASED,1,2026-08-25T10:40:56Z,2026-08-26T13:24:32Z,2026-08-26T13:24:32Z,1,"Gutmann, Jerg; Lewczuk-Czerwińska, Anna; Lewkowicz, Jacek; Voigt, Stefan, 2026, ""Replication Data for: Culture and constitutional compliance"", https://doi.org/10.7910/DVN/4EBSTZ, Harvard Dataverse, V1",jerggutmann,Jerg Gutmann - replication files
doi:10.7910/DVN/4L5WI7,TRUE,,Pilot survey,RELEASED,2.1,2023-03-27T17:48:59Z,2026-05-19T11:53:31Z,2026-07-09T12:45:37Z,2,"Stanley, Ben, 2024, ""Pilot survey"", https://doi.org/10.7910/DVN/4L5WI7, Harvard Dataverse, V2, UNF:6:RcHB93+4fXm2Cj4cDwJKWg== [fileUNF]",partisanbias,Partisan Bias or Indifference?
doi:10.7910/DVN/4MYRSF,TRUE,,"Pain, anxiety and motor behavior in early the postnatal time period after prenatal hypoxia-ischemia in New Zealand White rabbits",RELEASED,1.1,2026-07-15T23:19:36Z,2026-07-18T13:52:18Z,2026-07-20T13:04:35Z,595,"Genry, Landon; Marble, Corinne W.; Moline, Brendan C.; McGinnis, Patrick J.; Kramer, Cassandra; Matson, Scott; Reedich, Emily J.; Mena Avila, Elvia; Santos, Tracy; Dowaliby, Lisa; Katenka, Natallia; Manuel, Marin; Quinlan, Katharina; Detloff, Megan, 2026, ""Pain, anxiety and motor behavior in early the postnatal time period after prenatal hypoxia-ischemia in New Zealand White rabbits"", https://doi.org/10.7910/DVN/4MYRSF, Harvard Dataverse, V1",RF1NS135580,RF1NS135580 Validation of Prenatal HI as a Model of CP Pain
doi:10.7910/DVN/4QFPA7,TRUE,,"Ultra-poor Graduation Endline Survey in Somalia, 2024",RELEASED,1.1,2025-11-05T19:04:18Z,2025-11-12T14:50:18Z,2025-11-12T16:48:26Z,37,"International Food Policy Research Institute (IFPRI), 2025, ""Ultra-poor Graduation Endline Survey in Somalia, 2024"", https://doi.org/10.7910/DVN/4QFPA7, Harvard Dataverse, V1, UNF:6:SNebirGgFvU+3BFHUQRbuQ== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/4SBWXQ,TRUE,,Replication Data for: The Effectiveness of Discursive Frames Deployed by Latin America’s Right-wing Populists: Evidence from Costa Rica,DRAFT,DRAFT,2026-02-28T16:28:48Z,,2026-02-28T21:35:16Z,16,"Dion, Michelle L.; Díez, Jordi, 2026, ""Replication Data for: The Effectiveness of Discursive Frames Deployed by Latin America’s Right-wing Populists: Evidence from Costa Rica"", https://doi.org/10.7910/DVN/4SBWXQ, Harvard Dataverse, DRAFT VERSION, UNF:6:+0mlFJnVfzG41Y5rl2aFXQ== [fileUNF]",LAPS,Latin American Politics and Society Dataverse
doi:10.7910/DVN/50VH2C,TRUE,,HVTN703/HPTN081 + HVTN704/HPTN085 Neutralization Titer Biomarker (PT80),RELEASED,1.2,2024-11-19T22:23:08Z,2025-07-18T20:46:01Z,2026-06-02T20:46:05Z,36,"HIV Vaccine Trials Network Statistics and Data Management Center, 2025, ""HVTN703/HPTN081 + HVTN704/HPTN085 Neutralization Titer Biomarker (PT80)"", https://doi.org/10.7910/DVN/50VH2C, Harvard Dataverse, V1, UNF:6:bihc0foM5DlQch6zwJSaUA== [fileUNF]",amptrials,HVTN703/HPTN081 + HVTN704/HPTN085 AMP Trials Dataverse
doi:10.7910/DVN/5BCOAP,TRUE,,Seabird Tracking Data: Red-Footed Booby Acceleration Data,RELEASED,1,2025-06-22T14:17:55Z,2025-06-30T09:03:12Z,2025-06-30T09:03:12Z,26,"Dunn, Ruth, 2025, ""Seabird Tracking Data: Red-Footed Booby Acceleration Data"", https://doi.org/10.7910/DVN/5BCOAP, Harvard Dataverse, V1, UNF:6:khdnUvlf9hXL1FwQUNCfBw== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/5BG1JT,TRUE,,US and Massachusetts Social and Health Policy Datasets,DRAFT,DRAFT,2026-07-24T16:25:54Z,,2026-08-20T18:49:34Z,8,"Sonik, Rajan, 2026, ""US and Massachusetts Social and Health Policy Datasets"", https://doi.org/10.7910/DVN/5BG1JT, Harvard Dataverse, DRAFT VERSION, UNF:6:840pyuhfls/+hdtWTy3cqQ== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/5DTIBH,TRUE,,DIY LGPI: Supporting Materials for the Design of a Local Governance Process Indicators Household Survey,RELEASED,2,2026-02-11T07:56:57Z,2026-06-07T21:22:06Z,2026-06-07T21:22:06Z,5,"Data, GLD, 2026, ""DIY LGPI: Supporting Materials for the Design of a Local Governance Process Indicators Household Survey"", https://doi.org/10.7910/DVN/5DTIBH, Harvard Dataverse, V2",gld-data,Governance and Local Development Institute (GLD) Datasets
doi:10.7910/DVN/5GSQTS,TRUE,,AMVOS: Additive Manufacturing Video Object Segmentation Dataset,RELEASED,1,2026-05-14T12:20:56Z,2026-05-15T21:24:59Z,2026-05-15T21:24:59Z,1,"Wetzel, Calvin; Santos-Villalobos, Hector; Haley, James; Orlyanchik, Vladimir; Rodriguez Parra, Mario Alberto; Paramanathan, Mithulan; Feldhausen, Thomas; Sebok, Michael; Masuo, Christopher; Paquit, Vincent, 2026, ""AMVOS: Additive Manufacturing Video Object Segmentation Dataset"", https://doi.org/10.7910/DVN/5GSQTS, Harvard Dataverse, V1",harvard,Harvard Dataverse
doi:10.7910/DVN/5MN95M,TRUE,,List of Thesis of Faculty of Nursing and Faculty of Medicine between Academic Year 2018 - 2025,DRAFT,DRAFT,2026-08-24T06:21:57Z,,2026-08-24T12:14:52Z,6,"Sooksutthi, Wasant, 2026, ""List of Thesis of Faculty of Nursing and Faculty of Medicine between Academic Year 2018 - 2025"", https://doi.org/10.7910/DVN/5MN95M, Harvard Dataverse, DRAFT VERSION",wasantchula,Wasant Sooksutthi
doi:10.7910/DVN/5NHHEY,TRUE,,Seascape configuration determines spatial patterns of seabird-vectored nutrient enrichment to coral reefs (dataset),RELEASED,1.1,2025-03-17T14:39:56Z,2025-04-25T14:13:41Z,2025-07-08T12:55:01Z,3,"Stuart, Courtney E.; Pittman, Simon J.; Stamoulis, Kostantinos A.; Benkwitt, Cassandra E.; Epstein, Hannah E.; Graham, Nicholas A.J.; Smith, Andrew C.; Lacey, Jack H.; Bistolas, Kalia S.I.; DeVore, Jayna L.; Ducatez, Simon; Wedding, Lisa M., 2025, ""Seascape configuration determines spatial patterns of seabird-vectored nutrient enrichment to coral reefs (dataset)"", https://doi.org/10.7910/DVN/5NHHEY, Harvard Dataverse, V1",reef_connections,Island Reef Connections
doi:10.7910/DVN/5RW4NY,TRUE,,"Replication Data for: ""The Role of Reconnection at Magnetic Separators in Complex Solar Flare Ribbons""",RELEASED,1,2025-08-23T22:45:06Z,2026-03-18T23:13:26Z,2026-03-18T23:13:26Z,3,"Barnes, Graham; Dissauer, Karin, 2026, ""Replication Data for: ""The Role of Reconnection at Magnetic Separators in Complex Solar Flare Ribbons"""", https://doi.org/10.7910/DVN/5RW4NY, Harvard Dataverse, V1",harvard,Harvard Dataverse
doi:10.7910/DVN/6ODVOA,TRUE,,"Stocking Hatchery-Produced Mola (Amblypharyngodon mola) Seed in Carp Polyculture Ponds: A Performance Assessment in Odisha, India: Performance assessment of hatchery-produced mola seed.",RELEASED,2,2025-07-21T08:57:07Z,2025-07-29T00:44:32Z,2025-07-29T00:44:32Z,2,"Das, Rashmi, 2025, ""Stocking Hatchery-Produced Mola (Amblypharyngodon mola) Seed in Carp Polyculture Ponds: A Performance Assessment in Odisha, India: Performance assessment of hatchery-produced mola seed."", https://doi.org/10.7910/DVN/6ODVOA, Harvard Dataverse, V2",worldfish,WorldFish Dataverse
doi:10.7910/DVN/6PBH8F,TRUE,,Extraordinary Decisions® Data Collection Instruments and Documentation,RELEASED,1.2,2026-05-25T18:21:15Z,2026-05-25T20:34:46Z,2026-06-13T04:04:32Z,6,"Szabo, Daniel William, 2026, ""Extraordinary Decisions® Data Collection Instruments and Documentation"", https://doi.org/10.7910/DVN/6PBH8F, Harvard Dataverse, V1",ExtraordinaryDecisions,Extraordinary Decisions® Network-Derived Social Capital as a Survival Strategy on Routes Through the Sahara Desert
doi:10.7910/DVN/6PBH8F,TRUE,,Extraordinary Decisions® Data Collection Instruments and Documentation,DRAFT,DRAFT,2026-05-25T18:21:15Z,,2026-06-13T04:04:32Z,10,"Szabo, Daniel William, 2026, ""Extraordinary Decisions® Data Collection Instruments and Documentation"", https://doi.org/10.7910/DVN/6PBH8F, Harvard Dataverse, DRAFT VERSION",ExtraordinaryDecisions,Extraordinary Decisions® Network-Derived Social Capital as a Survival Strategy on Routes Through the Sahara Desert
doi:10.7910/DVN/6U2WNX,TRUE,,Hydroxyl and oxygen airglow emissions in the mesopause above northern Scandinavia,RELEASED,2,2025-05-14T16:59:08Z,2026-08-18T14:59:17Z,2026-08-18T14:59:17Z,7,"Dalin, Peter, 2026, ""Hydroxyl and oxygen airglow emissions in the mesopause above northern Scandinavia"", https://doi.org/10.7910/DVN/6U2WNX, Harvard Dataverse, V2",harvard,Harvard Dataverse
doi:10.7910/DVN/6WNNHG,TRUE,,"Data and code supporting the publication ""Seabirds and native vegetation drive ecosystem processes that enhance atoll island resilience""",RELEASED,2,2026-06-17T13:12:17Z,2026-06-17T15:35:15Z,2026-06-17T15:35:15Z,4,"Graham, Nicholas; Benkwitt, Cassandra; Lange, Ines; Perry, Chris; Eleanor Thomson; Wedding, Lisa; Dunn, Ruth; Steibl, Sebastian; Stuart, Courtney; Jeannot, Laura-Li; Appoo, Jennifer; Rodriguez Fillol, Julia; Stuhr, Marleen; Palola, Pirta; Carr, Peter; DeVore, Jayna; Ducatez, Simon; Zora, Anna; Hastings, Ayla; Barrosso, Solène; Evans, Sean; Schulze, Melissa Jane; Cotton, Emma; Reddington, Hazel; Malhi, Yadvinder, 2026, ""Data and code supporting the publication ""Seabirds and native vegetation drive ecosystem processes that enhance atoll island resilience"""", https://doi.org/10.7910/DVN/6WNNHG, Harvard Dataverse, V2",reef_connections,Island Reef Connections
doi:10.7910/DVN/7FNTZ7,TRUE,,Malaysian Driver Behavior Dataset (MDBD),RELEASED,1,2026-07-15T10:11:33Z,2026-07-16T17:37:45Z,2026-07-16T17:37:45Z,48,"MUHAMMAD FAWZAN ANWARI BIN MUHAMMAD SAIFUL ANUAR; Kamaruzaman, Fadhlan; Che Abdullah, Syahrul Afzal; Ng, Kok Mun; Naidu, Kanendra; Shyh Kang Ng, 2026, ""Malaysian Driver Behavior Dataset (MDBD)"", https://doi.org/10.7910/DVN/7FNTZ7, Harvard Dataverse, V1, UNF:6:qTG2YlJY/rWG/Dcnnl2tqQ== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/7HAFQU,TRUE,,"Strengthen PSNP Institutions and Resilience Phase II (SPIR II), Ethiopia: Endline Survey",RELEASED,1,2026-05-12T15:17:02Z,2026-05-15T13:57:51Z,2026-05-15T13:57:51Z,30,"International Food Policy Research Institute (IFPRI), 2026, ""Strengthen PSNP Institutions and Resilience Phase II (SPIR II), Ethiopia: Endline Survey"", https://doi.org/10.7910/DVN/7HAFQU, Harvard Dataverse, V1, UNF:6:XsDul1tZSqyWJcFkfn7xGg== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/7MK94V,TRUE,,ParlaIbero-PE: Parliamentary Speeches from Peru (1995-2025),RELEASED,1,2026-08-18T13:57:07Z,2026-09-07T13:25:22Z,2026-09-07T13:25:22Z,17,"Rodrigues-Silveira, Rodrigo, 2026, ""ParlaIbero-PE: Parliamentary Speeches from Peru (1995-2025)"", https://doi.org/10.7910/DVN/7MK94V, Harvard Dataverse, V1",parlaibero,"ParlaIbero: Parliamentary Speeches from Latin America, Portugal and Spain"
doi:10.7910/DVN/7TW9AX,TRUE,,"Replication Data for: ""Fear of Punishment as a Driver of Survey Misreporting and Item Non-Response in Russia and its Neighbors""",DRAFT,DRAFT,2021-08-19T15:43:45Z,,2026-01-30T14:11:11Z,10,"Reisinger, William M.; Zaloznaya, Marina; WOO, BYUNG-DEUK, 2026, ""Replication Data for: ""Fear of Punishment as a Driver of Survey Misreporting and Item Non-Response in Russia and its Neighbors"""", https://doi.org/10.7910/DVN/7TW9AX, Harvard Dataverse, DRAFT VERSION",reisingerwm,William M. Reisinger Dataverse
doi:10.7910/DVN/85TKGN,TRUE,,Deep Learning-Based Structure Modeling of the Treponema pallidum Proteome: Insights into Pathogenesis and Syphilis Vaccine Development,RELEASED,3,2025-05-02T22:33:08Z,2026-07-30T21:00:30Z,2026-07-30T21:00:30Z,35,"Houston, Simon; Marshall, Steven; Miller, Austin; Palkowski, Aleksander; Alfaro, Javier; Cameron, Caroline, 2025, ""Deep Learning-Based Structure Modeling of the Treponema pallidum Proteome: Insights into Pathogenesis and Syphilis Vaccine Development"", https://doi.org/10.7910/DVN/85TKGN, Harvard Dataverse, V3",cameron-lab-uvic,Cameron Lab
doi:10.7910/DVN/8CMD5X,TRUE,,HVTN 115,DRAFT,DRAFT,2026-06-23T20:30:51Z,,2026-06-23T21:43:01Z,1,"HIV Vaccine Trials Network Statistics and Data Management Center, 2026, ""HVTN 115"", https://doi.org/10.7910/DVN/8CMD5X, Harvard Dataverse, DRAFT VERSION, UNF:6:4Fd5cWHeIYufxfaNeNTQSg== [fileUNF]",hvtn115,HVTN 115 Dataverse
doi:10.7910/DVN/8DZMJN,TRUE,,PROMISE 1077AP: Evaluating Strategies to Reduce Mother-to-Child Transmission of HIV Infection in Resource-Limited Countries (PROMISE) – Antepartum Cohort,RELEASED,2.1,2025-10-31T17:33:00Z,2026-02-09T19:12:16Z,2026-03-18T16:51:23Z,11,"IMPAACT Statistical and Data Analysis Center, 2025, ""PROMISE 1077AP: Evaluating Strategies to Reduce Mother-to-Child Transmission of HIV Infection in Resource-Limited Countries (PROMISE) – Antepartum Cohort"", https://doi.org/10.7910/DVN/8DZMJN, Harvard Dataverse, V2",IMPAACT,International Maternal Pediatric Adolescent AIDS Clinical Trials Network
doi:10.7910/DVN/8EGMOT,TRUE,,Experiential Learning for Groundwater Governance in India: Groundwater Game Surveys,RELEASED,3,2025-06-27T17:49:53Z,2026-07-30T20:45:15Z,2026-07-30T20:45:15Z,25,"International Food Policy Research Institute (IFPRI); Foundation for Ecological Security (FES); International Crops Research Institute for the Semi-arid Tropics (ICRISAT), 2025, ""Experiential Learning for Groundwater Governance in India: Groundwater Game Surveys"", https://doi.org/10.7910/DVN/8EGMOT, Harvard Dataverse, V3, UNF:6:buLxcjFsokJJ4MqOdjgizw== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/9C1NPM,TRUE,,"Replication Data for: ""Net Income Aggregation, Investor Inattention, and Portfolio Holding Decisions: Evidence from the Insurance Industry""",RELEASED,1,2025-06-16T13:55:43Z,2025-06-16T18:13:02Z,2025-06-16T18:13:02Z,1,"Natee Amornsiripanitch; Brandon Goldstein; Zeqiong Huang; David Kwon; Jinjie Lin, 2025, ""Replication Data for: ""Net Income Aggregation, Investor Inattention, and Portfolio Holding Decisions: Evidence from the Insurance Industry"""", https://doi.org/10.7910/DVN/9C1NPM, Harvard Dataverse, V1",rcfs,Review of Corporate Finance Studies Dataverse
doi:10.7910/DVN/9EHOYK,TRUE,,2023 Social Accounting Matrix for Vietnam,RELEASED,1,2025-08-25T16:29:21Z,2025-09-25T19:32:22Z,2025-09-25T19:32:22Z,3,"International Food Policy Research Institute (IFPRI), 2025, ""2023 Social Accounting Matrix for Vietnam"", https://doi.org/10.7910/DVN/9EHOYK, Harvard Dataverse, V1, UNF:6:gBCHuDTbJ1AQ9z0YRi8KhA== [fileUNF]",sam,Nexus SAM
doi:10.7910/DVN/9FECOZ,TRUE,,eJSL solo,RELEASED,2.2,2025-12-15T13:52:36Z,2025-12-18T11:31:16Z,2026-05-25T12:48:58Z,4,"Funakoshi, Kotaro, 2025, ""eJSL solo"", https://doi.org/10.7910/DVN/9FECOZ, Harvard Dataverse, V2",eJSL,Emotional Japanese Sign Language Dataverse
doi:10.7910/DVN/9SYYI5,TRUE,,AID mediated tissue specific degradation of LET-502 in C.elegans embryogenesis,DRAFT,DRAFT,2026-03-19T17:59:44Z,,2026-05-13T20:32:53Z,57,"Green, Rebecca, 2026, ""AID mediated tissue specific degradation of LET-502 in C.elegans embryogenesis"", https://doi.org/10.7910/DVN/9SYYI5, Harvard Dataverse, DRAFT VERSION",regreen,Rebecca Green Dataverse
doi:10.7910/DVN/A6SC20,TRUE,,Hierarchical Porous Electrodes with Tailored Anisotropic Structure,RELEASED,1,2025-07-29T02:45:16Z,2025-08-13T00:23:46Z,2025-08-13T00:23:46Z,162,"Schiller, Ulf; Bordia, Rajendra K., 2025, ""Hierarchical Porous Electrodes with Tailored Anisotropic Structure"", https://doi.org/10.7910/DVN/A6SC20, Harvard Dataverse, V1",schiller-lab,Schiller Research Group
doi:10.7910/DVN/A8CPSN,TRUE,,"Myanmar Agricultural Performance Survey (MAPS), Round 6",RELEASED,1,2026-05-26T14:43:04Z,2026-06-29T21:07:41Z,2026-06-29T21:07:41Z,3,"International Food Policy Research Institute (IFPRI), 2026, ""Myanmar Agricultural Performance Survey (MAPS), Round 6"", https://doi.org/10.7910/DVN/A8CPSN, Harvard Dataverse, V1, UNF:6:VgI1LlvMOpgPdvU/55V+3Q== [fileUNF]",IFPRI,IFPRI Dataverse
