persistent_id,persistentUrl,dataverse_name,dataverse_alias,publication_date
doi:10.15139/S3/12438,https://doi.org/10.15139/S3/12438,Russia Longitudinal Monitoring Survey Dataverse,rlms-hse,2021-01-14T22:03:21Z
doi:10.15139/S3/EG5RVF,https://doi.org/10.15139/S3/EG5RVF,Monmouth Polling Institute Dataverse,mupolling,2021-01-14T21:57:41Z
doi:10.15139/S3/N4B6S0,https://doi.org/10.15139/S3/N4B6S0,Monmouth Polling Institute Dataverse,mupolling,2021-01-14T21:25:54Z
doi:10.15139/S3/HZYGCM,https://doi.org/10.15139/S3/HZYGCM,Monmouth Polling Institute Dataverse,mupolling,2021-01-14T19:53:21Z
doi:10.15139/S3/QTMDUZ,https://doi.org/10.15139/S3/QTMDUZ,Respect & Love Dataverse,respectdata,2021-01-13T21:07:30Z
doi:10.15139/S3/M2KJC8,https://doi.org/10.15139/S3/M2KJC8,Emory Dataverse,Emory,2021-01-13T14:08:10Z
doi:10.15139/S3/2JN1IR,https://doi.org/10.15139/S3/2JN1IR,State Politics & Policy Quarterly Dataverse,sppq,2021-01-11T19:03:17Z
doi:10.15139/S3/DV7XU1,https://doi.org/10.15139/S3/DV7XU1,Vision Zero Plans,VZPlans,2021-01-11T16:12:29Z
doi:10.15139/S3/5WVIMM,https://doi.org/10.15139/S3/5WVIMM,Vision Zero Plans,VZPlans,2021-01-11T16:11:43Z
doi:10.15139/S3/CGE4O1,https://doi.org/10.15139/S3/CGE4O1,Monmouth Polling Institute Dataverse,mupolling,2021-01-05T17:14:04Z
doi:10.15139/S3/VSZZ6M,https://doi.org/10.15139/S3/VSZZ6M,Vision Zero Plans,VZPlans,2020-12-15T11:33:04Z
doi:10.15139/S3/TCR6BB,https://doi.org/10.15139/S3/TCR6BB,CMAS Data Warehouse,cmascenter,2020-12-14T15:38:46Z
doi:10.15139/S3/STQXUU,https://doi.org/10.15139/S3/STQXUU,Addressing migrant and seasonal farmworker health disparities with information resources (G08LM013198),farmworkerhealth,2020-12-10T14:26:44Z
doi:10.15139/S3/BQDHLB,https://doi.org/10.15139/S3/BQDHLB,The Love Consortium Dataverse,love,2020-12-08T18:03:22Z
doi:10.15139/S3/YVWTGR,https://doi.org/10.15139/S3/YVWTGR,The Love Consortium Dataverse,love,2020-12-08T18:00:52Z
doi:10.15139/S3/XZGEKY,https://doi.org/10.15139/S3/XZGEKY,Vision Zero Plans,VZPlans,2020-12-07T20:04:05Z
doi:10.15139/S3/FH1REW,https://doi.org/10.15139/S3/FH1REW,Vision Zero Plans,VZPlans,2020-12-04T14:17:47Z
doi:10.15139/S3/WCLFWZ,https://doi.org/10.15139/S3/WCLFWZ,Ragerlab-Dataverse,ragerlab,2020-12-04T14:05:01Z
doi:10.15139/S3/GPBKUG,https://doi.org/10.15139/S3/GPBKUG,Vision Zero Plans,VZPlans,2020-12-03T21:22:36Z
doi:10.15139/S3/IGSF54,https://doi.org/10.15139/S3/IGSF54,The Water Institute at UNC Dataverse,waterinstitute,2020-12-01T15:34:20Z
hdl:1902.29/11736,https://hdl.handle.net/1902.29/11736,Russia Longitudinal Monitoring Survey Dataverse,rlms-hse,2020-11-27T19:00:42Z
doi:10.15139/S3/POXAUZ,https://doi.org/10.15139/S3/POXAUZ,Vision Zero Plans,VZPlans,2020-11-18T19:36:04Z
doi:10.15139/S3/ALLOPV,https://doi.org/10.15139/S3/ALLOPV,COR-NTD Research Dataverse,COR-NTD,2020-11-12T12:17:40Z
doi:10.15139/S3/LG7N0Z,https://doi.org/10.15139/S3/LG7N0Z,COR-NTD Research Dataverse,COR-NTD,2020-11-12T12:17:26Z
doi:10.15139/S3/NP3UW7,https://doi.org/10.15139/S3/NP3UW7,COR-NTD Research Dataverse,COR-NTD,2020-11-12T12:17:20Z
doi:10.15139/S3/Z6FUWF,https://doi.org/10.15139/S3/Z6FUWF,COR-NTD Research Dataverse,COR-NTD,2020-11-12T12:17:11Z
doi:10.15139/S3/IAKUQN,https://doi.org/10.15139/S3/IAKUQN,East Carolina University Dataverse,ECU,2020-10-29T19:20:56Z
doi:10.15139/S3/DFKFE5,https://doi.org/10.15139/S3/DFKFE5,State Politics & Policy Quarterly Dataverse,sppq,2020-10-29T18:28:21Z
doi:10.15139/S3/WVINT7,https://doi.org/10.15139/S3/WVINT7,State Politics & Policy Quarterly Dataverse,sppq,2020-10-27T14:50:38Z
doi:10.15139/S3/UNJ8FX,https://doi.org/10.15139/S3/UNJ8FX,SPURS_ROMS,SPURS,2020-10-23T14:31:20Z
doi:10.15139/S3/6ILDLJ,https://doi.org/10.15139/S3/6ILDLJ,SPURS_ROMS,SPURS,2020-10-23T14:31:04Z
doi:10.15139/S3/KELLUW,https://doi.org/10.15139/S3/KELLUW,Ashley Knox Dataverse,randall_library_metadata,2020-10-19T14:59:07Z
doi:10.15139/S3/TEOGZ2,https://doi.org/10.15139/S3/TEOGZ2,Vision Zero Plans,VZPlans,2020-10-16T16:45:28Z
doi:10.15139/S3/0BKKHU,https://doi.org/10.15139/S3/0BKKHU,Vision Zero Plans,VZPlans,2020-10-16T16:45:08Z
doi:10.15139/S3/RCYIJU,https://doi.org/10.15139/S3/RCYIJU,Vision Zero Plans,VZPlans,2020-10-16T16:43:16Z
doi:10.15139/S3/X0OHPD,https://doi.org/10.15139/S3/X0OHPD,MiniMUGA,MiniMUGA,2020-10-14T20:02:30Z
doi:10.15139/S3/MQFNJO,https://doi.org/10.15139/S3/MQFNJO,Vision Zero Plans,VZPlans,2020-10-12T20:11:24Z
doi:10.15139/S3/OMKM8K,https://doi.org/10.15139/S3/OMKM8K,Vision Zero Plans,VZPlans,2020-10-08T20:20:27Z
doi:10.15139/S3/358PGX,https://doi.org/10.15139/S3/358PGX,Vision Zero Plans,VZPlans,2020-10-07T10:17:53Z
doi:10.15139/S3/1SC2FN,https://doi.org/10.15139/S3/1SC2FN,Vision Zero Plans,VZPlans,2020-10-06T19:08:58Z
doi:10.15139/S3/VE4SAB,https://doi.org/10.15139/S3/VE4SAB,Vision Zero Plans,VZPlans,2020-10-06T14:42:46Z
doi:10.15139/S3/KNHBEE,https://doi.org/10.15139/S3/KNHBEE,Vision Zero Plans,VZPlans,2020-10-06T14:24:50Z
doi:10.15139/S3/WP0CRN,https://doi.org/10.15139/S3/WP0CRN,Vision Zero Plans,VZPlans,2020-10-06T14:23:17Z
doi:10.15139/S3/Z4EDJ6,https://doi.org/10.15139/S3/Z4EDJ6,Vision Zero Plans,VZPlans,2020-10-06T14:21:42Z
doi:10.15139/S3/O5WV6N,https://doi.org/10.15139/S3/O5WV6N,Vision Zero Plans,VZPlans,2020-10-06T14:13:28Z
doi:10.15139/S3/DXQYMX,https://doi.org/10.15139/S3/DXQYMX,Patient Education Materials,PEM,2020-10-01T21:13:07Z
doi:10.15139/S3/PMAAWG,https://doi.org/10.15139/S3/PMAAWG,CHAMPS Dataverse,champs,2020-10-01T21:05:29Z
doi:10.15139/S3/GKH2QD,https://doi.org/10.15139/S3/GKH2QD,CHAMPS Dataverse,champs,2020-10-01T21:04:53Z
doi:10.15139/S3/FEW2LM,https://doi.org/10.15139/S3/FEW2LM,State Politics & Policy Quarterly Dataverse,sppq,2020-09-29T16:29:05Z
doi:10.15139/S3/KXN8GN,https://doi.org/10.15139/S3/KXN8GN,State Politics & Policy Quarterly Dataverse,sppq,2020-09-25T14:31:26Z
hdl:1902.29/11731,https://hdl.handle.net/1902.29/11731,Russia Longitudinal Monitoring Survey Dataverse,rlms-hse,2020-09-24T15:09:26Z
doi:10.15139/S3/WB168Q,https://doi.org/10.15139/S3/WB168Q,Emory Dataverse,Emory,2020-09-24T12:51:05Z
doi:10.15139/S3/HEDVDZ,https://doi.org/10.15139/S3/HEDVDZ,"Cigarette packaging: design, cognition, and consumer choices",R03CA212542,2020-09-22T16:51:11Z
doi:10.15139/S3/KHYU3J,https://doi.org/10.15139/S3/KHYU3J,"Cigarette packaging: design, cognition, and consumer choices",R03CA212542,2020-09-22T15:38:27Z
doi:10.15139/S3/CYUEBJ,https://doi.org/10.15139/S3/CYUEBJ,"Cigarette packaging: design, cognition, and consumer choices",R03CA212542,2020-09-22T15:36:22Z
doi:10.15139/S3/DTK8SR,https://doi.org/10.15139/S3/DTK8SR,Vision Zero Plans,VZPlans,2020-09-14T19:23:34Z
doi:10.15139/S3/GLEM1K,https://doi.org/10.15139/S3/GLEM1K,Prosecutors and Politics Project Dataverse,ppp,2020-09-11T17:51:09Z
doi:10.15139/S3/RO9FZS,https://doi.org/10.15139/S3/RO9FZS,State Politics & Policy Quarterly Dataverse,sppq,2020-09-10T16:01:25Z
doi:10.15139/S3/HUN6XO,https://doi.org/10.15139/S3/HUN6XO,State Politics & Policy Quarterly Dataverse,sppq,2020-08-27T18:19:07Z
doi:10.15139/S3/FIKOH4,https://doi.org/10.15139/S3/FIKOH4,RICHS Dataverse,richs,2020-08-26T19:09:22Z
doi:10.15139/S3/S2DULX,https://doi.org/10.15139/S3/S2DULX,RICHS Dataverse,richs,2020-08-26T14:24:05Z
doi:10.15139/S3/PLKGGA,https://doi.org/10.15139/S3/PLKGGA,State Politics & Policy Quarterly Dataverse,sppq,2020-08-11T18:45:16Z
doi:10.15139/S3/OIAAIZ,https://doi.org/10.15139/S3/OIAAIZ,State Politics & Policy Quarterly Dataverse,sppq,2020-08-10T14:07:04Z
doi:10.15139/S3/CO9SFM,https://doi.org/10.15139/S3/CO9SFM,COVID telemedicine Dataverse,VOMCTierStudy,2020-08-05T20:57:50Z
doi:10.15139/S3/CKYMUM,https://doi.org/10.15139/S3/CKYMUM,COVID telemedicine Dataverse,VOMCTierStudy,2020-07-31T14:30:42Z
doi:10.15139/S3/FIGIXL,https://doi.org/10.15139/S3/FIGIXL,SRSS Dataverse,srss,2020-07-30T16:03:01Z
doi:10.15139/S3/URPZDG,https://doi.org/10.15139/S3/URPZDG,SRSS Dataverse,srss,2020-07-30T16:02:58Z
doi:10.15139/S3/BAP30J,https://doi.org/10.15139/S3/BAP30J,SRSS Dataverse,srss,2020-07-30T16:02:51Z
doi:10.15139/S3/BTIV79,https://doi.org/10.15139/S3/BTIV79,Journal Asian Education Dataverse,IJAEJournal,2020-07-20T17:47:21Z
doi:10.15139/S3/YQPQXO,https://doi.org/10.15139/S3/YQPQXO,Journal Asian Education Dataverse,IJAEJournal,2020-07-20T17:44:26Z
doi:10.15139/S3/DFEIAW,https://doi.org/10.15139/S3/DFEIAW,Journal Asian Education Dataverse,IJAEJournal,2020-07-20T17:41:15Z
doi:10.15139/S3/WDYHGJ,https://doi.org/10.15139/S3/WDYHGJ,Journal Asian Education Dataverse,IJAEJournal,2020-07-20T17:25:51Z
doi:10.15139/S3/JD15CQ,https://doi.org/10.15139/S3/JD15CQ,Journal Asian Education Dataverse,IJAEJournal,2020-07-20T17:22:31Z
doi:10.15139/S3/FD2BRZ,https://doi.org/10.15139/S3/FD2BRZ,Journal Asian Education Dataverse,IJAEJournal,2020-07-20T17:14:28Z
doi:10.15139/S3/IZV6HE,https://doi.org/10.15139/S3/IZV6HE,State Politics & Policy Quarterly Dataverse,sppq,2020-07-16T13:03:56Z
doi:10.15139/S3/XSZGXR,https://doi.org/10.15139/S3/XSZGXR,Emory Dataverse,Emory,2020-07-09T16:28:43Z
doi:10.15139/S3/VXW3KR,https://doi.org/10.15139/S3/VXW3KR,State Politics & Policy Quarterly Dataverse,sppq,2020-07-07T15:53:17Z
doi:10.15139/S3/JT27TI,https://doi.org/10.15139/S3/JT27TI,Meike Henseleit Dataverse,readingairfreight,2020-07-04T21:14:16Z
doi:10.15139/S3/YLZEH4,https://doi.org/10.15139/S3/YLZEH4,Measuring Urban Compactness with Index of Moment of Inertia,IMI_adj,2020-07-04T20:39:42Z
doi:10.15139/S3/OIJN6V,https://doi.org/10.15139/S3/OIJN6V,Churlzu Lim Dataverse,clim2,2020-07-01T18:23:29Z
doi:10.15139/S3/IOMJDG,https://doi.org/10.15139/S3/IOMJDG,State Politics & Policy Quarterly Dataverse,sppq,2020-07-01T16:49:22Z
doi:10.15139/S3/3KW1DB,https://doi.org/10.15139/S3/3KW1DB,Listening to Mothers Dataverse,listeningtomothers,2020-07-01T15:15:12Z
doi:10.15139/S3/7NNASB,https://doi.org/10.15139/S3/7NNASB,State Politics & Policy Quarterly Dataverse,sppq,2020-06-26T16:50:19Z
doi:10.15139/S3/BNXBPN,https://doi.org/10.15139/S3/BNXBPN,State Politics & Policy Quarterly Dataverse,sppq,2020-06-16T17:12:47Z
doi:10.15139/S3/BEA55Z,https://doi.org/10.15139/S3/BEA55Z,CLM-Africa (CLM-AF v. 1.0),CLM-AF1,2020-06-12T16:17:17Z
doi:10.15139/S3/WHNILT,https://doi.org/10.15139/S3/WHNILT,CLM-Africa (CLM-AF v. 1.0),CLM-AF1,2020-06-12T16:17:06Z
doi:10.15139/S3/W2LWJV,https://doi.org/10.15139/S3/W2LWJV,CLM-Africa (CLM-AF v. 1.0),CLM-AF1,2020-06-12T16:16:53Z
doi:10.15139/S3/JGIQOE,https://doi.org/10.15139/S3/JGIQOE,CLM-Africa (CLM-AF v. 1.0),CLM-AF1,2020-06-12T16:16:42Z
doi:10.15139/S3/DZ7XS3,https://doi.org/10.15139/S3/DZ7XS3,CLM-Africa (CLM-AF v. 1.0),CLM-AF1,2020-06-12T16:16:29Z
doi:10.15139/S3/MQ8KNS,https://doi.org/10.15139/S3/MQ8KNS,CLM-Africa (CLM-AF v. 1.0),CLM-AF1,2020-06-12T16:16:00Z
doi:10.15139/S3/YAYNES,https://doi.org/10.15139/S3/YAYNES,LISN Dataverse,lisn,2020-06-11T18:35:22Z
doi:10.15139/S3/9KGNJY,https://doi.org/10.15139/S3/9KGNJY,Resilience Dataverse,resilience,2020-06-08T13:57:34Z
doi:10.15139/S3/JNW5XE,https://doi.org/10.15139/S3/JNW5XE,Addressing migrant and seasonal farmworker health disparities with information resources (G08LM013198),farmworkerhealth,2020-06-05T14:26:27Z
doi:10.15139/S3/IGWLMU,https://doi.org/10.15139/S3/IGWLMU,Patient Education Materials,PEM,2020-06-03T18:16:53Z
doi:10.15139/S3/UZIR0P,https://doi.org/10.15139/S3/UZIR0P,MEASURE Evaluation Dataverse,MEP3,2020-06-02T14:07:15Z
doi:10.15139/S3/IURHL6,https://doi.org/10.15139/S3/IURHL6,MEASURE Evaluation Dataverse,MEP3,2020-05-29T17:46:04Z
doi:10.15139/S3/SLGEAS,https://doi.org/10.15139/S3/SLGEAS,The Love Consortium Dataverse,love,2020-05-29T16:20:38Z
doi:10.15139/S3/FUC5EW,https://doi.org/10.15139/S3/FUC5EW,RICHS Dataverse,richs,2020-05-28T15:18:35Z
doi:10.15139/S3/LMQTUB,https://doi.org/10.15139/S3/LMQTUB,The Love Consortium Dataverse,love,2020-05-27T11:49:40Z
doi:10.15139/S3/F1M9KC,https://doi.org/10.15139/S3/F1M9KC,Patient Education Materials,PEM,2020-05-26T15:18:02Z
doi:10.15139/S3/G0WQQR,https://doi.org/10.15139/S3/G0WQQR,State Politics & Policy Quarterly Dataverse,sppq,2020-05-20T14:30:18Z
doi:10.15139/S3/K1XWH7,https://doi.org/10.15139/S3/K1XWH7,The Love Consortium Dataverse,love,2020-05-15T16:01:02Z
doi:10.15139/S3/1NZRB0,https://doi.org/10.15139/S3/1NZRB0,University of North Carolina at Charlotte Library Data Collection Dataverse,UNCCdata,2020-05-14T14:19:20Z
doi:10.15139/S3/MPTNKT,https://doi.org/10.15139/S3/MPTNKT,State Politics & Policy Quarterly Dataverse,sppq,2020-05-11T17:05:18Z
doi:10.15139/S3/VQT4D5,https://doi.org/10.15139/S3/VQT4D5,Sounding Spirit Dataverse,sounding-spirit,2020-05-01T02:42:55Z
doi:10.15139/S3/6J9ZAU,https://doi.org/10.15139/S3/6J9ZAU,Scott W. Huffman Dataverse,huffman,2020-04-30T20:42:15Z
doi:10.15139/S3/XOEXBK,https://doi.org/10.15139/S3/XOEXBK,State Politics & Policy Quarterly Dataverse,sppq,2020-04-22T10:36:44Z
doi:10.15139/S3/GGWWPN,https://doi.org/10.15139/S3/GGWWPN,Emory Dataverse,Emory,2020-04-20T19:32:21Z
doi:10.15139/S3/0FMAPJ,https://doi.org/10.15139/S3/0FMAPJ,Mark Crescenzi Dataverse,crescenzi,2020-04-20T17:17:55Z
doi:10.15139/S3/8UQU7T,https://doi.org/10.15139/S3/8UQU7T,Collaborative Sciences Center for Road Safety Data Repository,CSCRSDataverse,2020-04-16T13:53:42Z
doi:10.15139/S3/98QQ9Q,https://doi.org/10.15139/S3/98QQ9Q,George Mason University Dataverse,gmu,2020-04-15T20:41:14Z
doi:10.15139/S3/0WSG9I,https://doi.org/10.15139/S3/0WSG9I,The Love Consortium Dataverse,love,2020-04-12T14:25:13Z
doi:10.15139/S3/6QY918,https://doi.org/10.15139/S3/6QY918,OPPERA: Survival Analysis with Missing Censoring Indicators,OPPERA_MCI,2020-04-07T15:59:37Z
doi:10.15139/S3/SIIYCO,https://doi.org/10.15139/S3/SIIYCO,MEASURE Evaluation Dataverse,MEP3,2020-04-03T19:44:27Z
doi:10.15139/S3/ZNNGMH,https://doi.org/10.15139/S3/ZNNGMH,MEASURE Evaluation Dataverse,MEP3,2020-04-03T19:41:22Z
doi:10.15139/S3/ZHWV4T,https://doi.org/10.15139/S3/ZHWV4T,MEASURE Evaluation Dataverse,MEP3,2020-04-03T19:35:32Z
doi:10.15139/S3/DMZK61,https://doi.org/10.15139/S3/DMZK61,MEASURE Evaluation Dataverse,MEP3,2020-04-03T19:23:46Z
doi:10.15139/S3/PIJJGC,https://doi.org/10.15139/S3/PIJJGC,MEASURE Evaluation Dataverse,MEP3,2020-04-03T19:15:25Z
doi:10.15139/S3/DLJHRJ,https://doi.org/10.15139/S3/DLJHRJ,MEASURE Evaluation Dataverse,MEP3,2020-04-03T19:02:55Z
doi:10.15139/S3/I6T1MZ,https://doi.org/10.15139/S3/I6T1MZ,MEASURE Evaluation Dataverse,MEP3,2020-04-03T19:00:24Z
doi:10.15139/S3/RDISHJ,https://doi.org/10.15139/S3/RDISHJ,MEASURE Evaluation Dataverse,MEP3,2020-04-03T18:54:05Z
doi:10.15139/S3/QZD8NE,https://doi.org/10.15139/S3/QZD8NE,MEASURE Evaluation Dataverse,MEP3,2020-04-03T18:50:02Z
doi:10.15139/S3/QSNEND,https://doi.org/10.15139/S3/QSNEND,MEASURE Evaluation Dataverse,MEP3,2020-04-03T18:43:41Z
doi:10.15139/S3/YPVP7C,https://doi.org/10.15139/S3/YPVP7C,MEASURE Evaluation Dataverse,MEP3,2020-04-03T14:59:37Z
doi:10.15139/S3/QXRH9S,https://doi.org/10.15139/S3/QXRH9S,MEASURE Evaluation Dataverse,MEP3,2020-04-03T14:59:14Z
doi:10.15139/S3/2LU36F,https://doi.org/10.15139/S3/2LU36F,MEASURE Evaluation Dataverse,MEP3,2020-04-03T14:12:06Z
doi:10.15139/S3/SWNWJG,https://doi.org/10.15139/S3/SWNWJG,East Carolina University Dataverse,ECU,2020-04-02T15:27:51Z
doi:10.15139/S3/OKCXPZ,https://doi.org/10.15139/S3/OKCXPZ,State Politics & Policy Quarterly Dataverse,sppq,2020-03-27T20:47:09Z
doi:10.15139/S3/MJYHWX,https://doi.org/10.15139/S3/MJYHWX,Monmouth Polling Institute Dataverse,mupolling,2020-03-27T16:29:08Z
doi:10.15139/S3/YOGIAG,https://doi.org/10.15139/S3/YOGIAG,State Politics & Policy Quarterly Dataverse,sppq,2020-03-27T14:34:34Z
doi:10.15139/S3/KUT29A,https://doi.org/10.15139/S3/KUT29A,State Politics & Policy Quarterly Dataverse,sppq,2020-03-24T16:49:43Z
doi:10.15139/S3/6UBBYP,https://doi.org/10.15139/S3/6UBBYP,MEASURE Evaluation Dataverse,MEP3,2020-03-19T20:47:01Z
doi:10.15139/S3/P8RKKG,https://doi.org/10.15139/S3/P8RKKG,MEASURE Evaluation Dataverse,MEP3,2020-03-19T18:04:36Z
doi:10.15139/S3/ZTN9EY,https://doi.org/10.15139/S3/ZTN9EY,MEASURE Evaluation Dataverse,MEP3,2020-03-18T14:17:39Z
doi:10.15139/S3/HTBDTO,https://doi.org/10.15139/S3/HTBDTO,The Love Consortium Dataverse,love,2020-03-10T16:25:25Z
doi:10.15139/S3/CJXTLK,https://doi.org/10.15139/S3/CJXTLK,State Politics & Policy Quarterly Dataverse,sppq,2020-03-03T15:01:56Z
doi:10.15139/S3/TGKTEJ,https://doi.org/10.15139/S3/TGKTEJ,State Politics & Policy Quarterly Dataverse,sppq,2020-02-26T20:00:41Z
doi:10.15139/S3/XJZONF,https://doi.org/10.15139/S3/XJZONF,State Politics & Policy Quarterly Dataverse,sppq,2020-02-21T20:28:59Z
doi:10.15139/S3/ILI4LC,https://doi.org/10.15139/S3/ILI4LC,Prosecutors and Politics Project Dataverse,ppp,2020-02-20T14:49:56Z
doi:10.15139/S3/6FKBDJ,https://doi.org/10.15139/S3/6FKBDJ,Capital in the Borderlands Dataverse,capitalintheborderlands,2020-02-05T19:17:11Z
