datasetVersionId,persistentUrl,persistent_id,dsDescriptionValue,dsDescriptionDate
4725,https://hdl.handle.net/1902.29/D-17297,,"<p>This survey ask questions on issues and candidates facing the North Carolina voter. Additional variables include state of the economy, respondent's financial situation, teacher shortage, increase in sales tax, road improvements, rating of Governor and Lt. Governor, and party preference.</p>",
795,https://hdl.handle.net/1902.29/10297,,"<p>The North Carolina State Center for Health Services (SCHS) collects yearly vital statistics. The Odum Institute holds vital statistics beginning in 1968 for births, fetal deaths, deaths, birth/infant deaths, marriages and divorce. Public marriage and divorce data are available through 1999 only.</p><p>North Carolina law defines marriage as the legal union of a male and a female (G.S. 51-1). Legal divorce or annulment can occur only by decree of an authorized court. Annulments, which void marr
iage from the beginning, constitute less than one percent of the sum of these events. This study focuses on North Carolina marriages for 1999. Data includes information on the age, race, previous marital status, and education of the bride and groom as well as the place, date and type of marriage.
</p><p>The data is strictly numerical, there is no identifying information given about the individuals.</p>",
1762,https://hdl.handle.net/1902.29/10774,,"The Service Academy 2006 Gender Relations Survey (SAGR2006) conducted by the Defense Manpower Data Center (DMDC) is the third of a series of surveys mandated by Section 527 of the National Defense Authorization Act (NDAA) for Fiscal Year (FY) 2004. It assesses the incidence of sexual assault and harassment and related issues at the three Service Academies. The survey collected data on unwanted sexual contact incident rates, the availability and effectiveness of sexual harassment and sexual assault training, the leadership response, progress in reducing sexual harassment and sexual assault, sexual harassment and sexist behavior incident rates, and incident rates of stalking-related behaviors.",2006
2772,https://hdl.handle.net/1902.29/H-822032,,N/A,
2692,https://hdl.handle.net/1902.29/H-792801,,"<p>""This survey probed the feelings and attitudes of Vietnam War veterans and their perceived """"alienation."""" The survey allows for a comparison of attitudes between the general public and the Vietnam era veterans on such issues as education, family money, health, drugs, employment, and disillusionment with government. The employer sample was questioned on such matters as hiring Vietnam veterans, rating the job performance of the Vietnam veteran, and rating of training the Vietnam veteran receiv
ed as part of the military service. Educators were asked to compare Vietnam veteran students with other students in terms of motivation to learn, grades, study habits, ability to get along with other students, emotional maturity, etc. Questions were also asked concerning the role of television in portraying the life of the Vietnam veteran and how television may have shaped attitudes about these veterans.""
</p>",
3399,https://hdl.handle.net/1902.29/CAPS-LIFEEXP,,"<p>The Life Experiences Survey deals with recent experiences in the individual's life. Unlike other measures of life events, this one has respondents rate the effect each event had on them when it first occurred.</p><p>The LES is a 57-item self-report measure that allows respondents to indicate events that they have experienced during the past year. Subjects then rate the desirability and impact of events they have experienced.</p><p>See codebook for additional information</p>",
3050,https://hdl.handle.net/1902.29/H-901202,,<p>This survey focuses on the Drexel Burnham Lambert bankruptcy.</p>,
4621,https://hdl.handle.net/1902.29/D-33473,,"<p>This survey focuses on perception of the economy, credit card use and overall debt, internet usage, and media exposure. Maintains a strong line of questioning on religious identification and activity, especially concerning spiritual beliefs, such as belief in heaven and hell, and opinions regarding religion in America society. Also includes political affiliations and activities.</p>",
1291,https://hdl.handle.net/1902.29/11843,,N/A,
3662,https://hdl.handle.net/1902.29/CD-0070,,"<p>This CD consists of the Race and Hispanic or Latino Summary File. It contains summary statistics. This CD contains summary population counts for two universes, total population and population 18 years and over. The data were derived from the basic questions asked on all census questionnaires. These are often called the 100-percent questions. This file contains four tables: a count of all persons by race. a count of the population 18 years and over by race. a count of Hispanic or Latino and a
count of not Hispanic or Latino by race for all persons. a count of Hispanic or Latino and a count of not Hispanic or Latino by race for the population 18 years and over.
</p><p>Note to Users: This CD is part of a collection located in the Data Archive of the Odum Institute for Research in Social Science, at the University of North Carolina at Chapel Hill. The collection is located in Room 10, Manning Hall. Users may check the CDs out subscribing to the honor system. Items can be checked out for a period of two weeks. Loan forms are located adjacent to the collection.</p><p>The Race and Hispanic or Latino Summary File is an extract of selected geographic areas pr
eviously released in the state Census 2000 Redistricting Data (Public Law 94-171) Summary Files. In addition, this file provides summaries for the United States, regions, divisions, and American Indian and Alaska Native areas that cross state boundaries. The file structure is as follows: United States Region Division American Indian Area/Alaska Native Area/Hawaiian Home Land State County Place Consolidated city American Indian Area/Alaska Native Area/Hawaiian Home Land American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)4 American Indian Area (Off-Reservation rust Land Only)/Hawaiian Home Land Alaska Native Regional Corporation
</p>",
31561,https://doi.org/10.15139/S3/DTK8SR,,"Vision Zero is a strategy to reduce all traffic fatalities and severe injuries to zero, while increasing safe, equitable, and healthy mobility for all. Vision Zero Plans help guide municipalities, counties, and other areas to address these strategies considering the local context.",
25362,https://doi.org/10.15139/S3/12114,,"We propose a model of public response to politicized election reform. In this model, rival partisan elites send signals on the need and consequences of a proposed reform, with partisans in public adopting those positions. We apply this to test how state use of voter identification laws corresponded with public evaluations of the conduct of a state's elections.  We find the relationship between photo identification laws and confidence in state elections was polarized and conditioned by party identification in 2014.  Democrats in states with strict photo identification laws were less confident in their state's elections.  Republicans in states with strict identification laws were more confident than others. Results suggest strict photo identification laws are failing to instill broad based confidence in elections, and that the reform could correspond with diminished confidence among some.",2015
4286,https://hdl.handle.net/1902.29/AJC8912,,"<p>""This survey attempts to find out why people are not registered to vote or if registered, why they don't vote. Questions asked of respondents included most important problems facing the country today, political participation, alienation, trust in federal government, """"post card"""" voter registration, registration and voting on the same day, link registration to drivers' license or public benefits, parent's voting behavior, family or school influence to vote, federal spending, and use of the me
dia for news and information on the presidential campaign.""</p>",
3382,https://hdl.handle.net/1902.29/CAPS-CONRELIG,,<p>The Conventional Religious Values Scale (Conrelig) is a 5 item scale. One of several scales correlated with measures of symbolic racism. A high score indicates strong traditional values.</p><p>Scoring information: Original scores are retained on all individual items. Item scores are summed for a CONRELIG total score.</p>,
935,https://hdl.handle.net/1902.29/11177,,"This 90-item instrument evaluates a broad range of psychological symptoms by having participants report the extent to which they have been bothered by each symptom on a 5-category scale (not at all, a little bit, moderately, quite a bit, extremely). The SCL-90R provides measures of psychological distress across the following 9 subscales: Somatization, Obsessive-Compulsive, Interpersonal Sensitivity, Depression, Anxiety, Hostility, Phobic Anxiety, Paranoid Ideation, and Psychoticism.
<sup>[1]</sup> It also yields 3 Global Indices: the Global Severity Index (GSI), the Positive Symptom Distress Index (PSDI), and Positive Symptom Total (PST). This instrument has demonstrated good internal consistency (Cronbachâ's alpha for subscales ranging from .77 to .90) and test-retest reliability, which ranged from .78 to .90.<sup>[1]</sup>  <br/><br/> [1] Derogatis L: The SCL-90-R: Administration, scoring and procedures manual. Minneapolis, MN, National Computer Systems, Inc, 1994",
29315,https://doi.org/10.15139/S3/T7QAIR,,"The Data Documentation includes the Data Request Form, the study design, data file descriptions, weights and wealth indices, as well as a complete data files chart showing the number of observations, number of variables, units of analysis, and identifiers for each data file. ",
4494,https://hdl.handle.net/1902.29/D-20260,,"<p>Survey asked questions on issues related to Alabama including taxes, personal finances, education, rating of state government, presidential election, and seat belt laws.</p>",
1502,https://doi.org/10.15139/S3/12201,,This survey was conducted among New Hampshire voters likely to vote in the 2016 primary election.,
3641,https://hdl.handle.net/1902.29/D-30470,,"<p>This survey asked questions of political and social concerns, including candidate choice in 1984 election, quality of government in NC, influence of Governor, legislature, veto power, knowledge of UNC-CH campus, policy, and budget, public schools, hospice, seat belts, TV viewing, and media use.</p>",
2944,https://hdl.handle.net/1902.29/H-871108,,"<p>This study focuses on the holiday mood, optimism, and outlook for the future. Respondents were asked about recent crash in stock market, expectations for the future, rating of President Reagan, U.S. and Soviet relations, and the proposed Strategic Defense Initiative (SDI).</p>",
30864,https://doi.org/10.15139/S3/QJVAYU,,"Materials needed to replicate Finocchiaro and Mackenzie's paper, ""Economic Voting in Latin America: Rules and Responsibility"" Replication by Nicolás De la Cerda",2018-04-26
5051,https://hdl.handle.net/1902.29/D-16128,,"<p>This survey focused on health and physical fitness of Americans and the time and money spent on fitness aids. Additional questions were asked about dieting, smoking, trust of physicians, and concern about diseases such as AIDS</p>",
4703,https://hdl.handle.net/1902.29/D-20056,,"<p>Survey asked questions on government spending on services, cultural activities, public television, and county government.</p>",
3881,https://hdl.handle.net/1902.29/CD-10921,,"<p>1 computer laser optical disc ; 4 3/4 in.</p><p>Selected block-level data from Summary tape file 1B, including total population, age, race, and Hispanic origin, number of housing units, tenure, room density, mean contract rent, mean value, and mean number of rooms in housing units. </p>",
3458,https://hdl.handle.net/1902.29/CAPS-NEO,,"<p>The NEO-Personality Inventory is a concise measure of the five major dimensions or domains of normal adult personality traits. Three of the domain scales, measuring Neuroticism (N), Extraversion (E), and the more recently identified domain of Openness to Experience (O) have been extensively researched and validated on samples of men and women from the full adult age range. For these domains, the developers of the scale provide in-depth information via facet scales which measure specific trait
s that represent important facets of the domains. The NEO-PI also includes two additional domain scales, Agreeableness (A) and Conscientiousness (C), which complement the N, E, and O scales and allow a comprehensive assessment of adult personality.
</p><p>The NEO inventory used in CAPS/86 was the self-report form. It consists of 181 items, answered on a 5-point scale. The general domains and facets of the scale are described below:</p><p>Scoring information is included in the CAPS/88 NEO1 source file. For CAPS/86 scores, see freqjcl file.</p><p>NEUROTICISM: Assesses adjustment vs emotional instability. Identifies individuals prone to psychological distress, unrealistic ideas, excessive cravings or urges, and maladaptive coping responses. F
acets include anxiety, hostility, depression, self-consciousness, impulsiveness, and vulnerability.
</p><p>EXTRAVERSION: Assesses quantity and intensity of interpersonal interaction, activity level, need for stimulation, and capacity for joy. Facets include warmth, gregariousness, assertiveness, activity, excitement-seeking, and positive emotions.</p><p>OPENNESS: assess proactive seeking and appreciation of experience for its own sake, toleration for and exploration of the unfamiliar. Facets include fantasy, aesthetics, feelings, actions, ideas, and values.</p><p>AGREEABLENESS: Assesses the qu
ality of one's interpersonal orientation along a continuum from compassion to antagonism in thoughts, feelings and actions.
</p><p>CONSCIENTIOUSNESS: Assesses the individual's degree of organization, persistence, and motivation in goal-directed behavior. Contrasts dependable, fastidious people with those who are lackadaisical and sloppy.</p><p>See codebook for additional information</p>",
5182,https://hdl.handle.net/1902.29/10696,,"A steering committee comprised of representatives from Saratov Centre for Social Policyand Gender Studies, nongovernmental organization (NGO) Socium (Engels), NGO Megapolys (Saratov), NGO Healthy Future(Saratov), NGO Man (Saratov), and the Saratov Hot Line Centre ÂToleranceÂ decided to implement PLACE in 10 strategically chosen areas located in the cities of Saratov and Engels. These areas were selected based on estimated high level of HIV/AIDS infection, a lack of capacity of the local authority to prevent further spread, and contextual factors in the areas that suggested that the incidence of HIV infection is likely to be highest in these areas. The results of PLACE will be used as the basis for local HIV/AIDS strategic plans and to guide prevention programming decisions.",
4244,https://hdl.handle.net/1902.29/D-30700,,"<p>This survey was conducted among residents of New Jersey on many topics of local and state interest including most important problem facing the state, rating of Tom Kean, public schools, gym classes, taxes, leisure activities, support of the arts, build a performing arts theater, government services, property taxes, auto insurance rates, long term care, and estate planning.</p>",
5102,https://hdl.handle.net/1902.29/D-16258,,"<p>This survey concerned the nomination of Clarence Thomas to the U.S. Supreme Court. Topics included: whether Thomas should be confirmed, credibility of Thomas or Anita Hill, racism, fairness of the process, and knowledge of Anita Hill's passing a lie detector test</p>",
4549,https://hdl.handle.net/1902.29/D-33412-CONT1,,"<p>""THIS IS A CONTINUATION RECORD FOR """"THE UNC-POYNTER 1996 NATIONAL ELECTION STUDY"""". THIS RECORD HAS THE NEWSPAPER STORIES FOR NEWSPAPER CODES 01 - 09 (BIRMINGHAM - PORTLAND). THE ACTUAL DATASETS ARE LISTED IN A SEPARATE RECORD.""</p>",
29324,https://doi.org/10.15139/S3/WYO3KU,,"This contains all death row last words used in the manuscript (the ""Statement"" column in the excel sheet). The excel sheet also contains all other offender information we were able to obtain from the Texas Department of Justice website.",2017-02-28
31621,https://doi.org/10.15139/S3/WCLFWZ,,"Supporting information for the manuscript by Ring et al, 'Predictive Modeling of Biological Responses in the Rat Liver using In Vitro Tox21 Bioactivity: Benefits from High-Throughput Toxicokinetics' (2020) (2020-11-20)",2020-11-20
3302,https://hdl.handle.net/1902.29/11634,,"<p>Topics addressed in this study include confidence in the federal government and the economy, concerns about gerrymandering, opinions on Thanksgiving, family dinners, and toy buying, feelings of alienation, and gathering information on technology and religion. Demographic variables include respondent's gender, age, educational status, origin or descent (Spanish, Hispanic, or Latino), race, self-identified political party, political philosophy; number of individuals age 18 or over, between the
ages of 13 and 17, and under age 13 who live in the household; sexual orientation; presence of a disabled individual in the household, household income, and number of voice telephone lines available at home.
</p>",2014-2-25
5205,https://hdl.handle.net/1902.29/10650,,"This report presents findings from the 1997 Delivery of Improved Services for Health (DISH) Evaluation Survey, and, where possible, compares the status of reproductive health services and individuals with those measured in the 1995 Uganda Demographic and Health Survey. The DISH Evaluation Survey gathered information from 1,967 women, 900 men, and 173 health facilities. This 94-page document presents key findings in the following areas: information-education communication; family planning; maternal and child health; health facilities; and STDs and HIV/AIDS.",
921,https://hdl.handle.net/1902.29/11170,,"This 57-item true-false instrument assesses 3 personality dimensions: Extraversion, Neuroticism,and Psychoticism. The EPQ-R also includes a Lie scale, which reflects an effort to present oneself in the most positive light. Factor analysis of the EPQ-R supports the 4 scales, and internal consistency of each of the scales is acceptable, with Cronbach's alpha ranging from .73 to .90.
<sup>[1]</sup> Scales derived from the 57-item EPQ-R Short Form were found to correlate highly with scale scores from the original EPQ-R, with correlation coefficients ranging from .89 to .96.<sup>[2]</sup>  <br/><br/> [1]Eysenck SBG, Eysenck HJ, Barrett P: A revised version of the psychoticism scale. Personality and Individual Differences 6:21-29, 1985 <br/><br/> [2]Eysenck HJ, Eysenck SBG: Manual of the Eysenck Personality Questionnaire. San Diego, CA, Educational and Industrial Testing Servic
e, 1994",
1696,https://hdl.handle.net/1902.29/D-33409,,"<p>""This study is part of an NSF Dissertation Improvement Grant # 9520118.	The study consist of a collection of data on policy agendas of state legislators in the following states: Arkansas, California, Illinois, Maryland, New Jersey, and North Carolina for the years: 1969, 1979, and 1989. The data include legislator characteristics, bill characteristics, and legislative and district characteristics. The resulting data are organized in two data sets, by legislator and by bill. The Legislator fil
e includes demographic characteristics of the legislator, type of bills sponsored and characteristics of the legislator's district. The Bills file consists of bills proposed and passed organized by major legislative themes.""
</p>",
5218,https://hdl.handle.net/1902.29/11301,,"Previous HIV surveillance in Uzbekistan suggested that the HIV epidemic is concentrated among urban injection drug users, but that HIV has the potential to spread to the general population via heterosexual transmission. The PLACE (Priorities for Local AIDS Control Efforts) protocol was implemented in the Uzbek city of Tashkent in 2002 and 2003 to determine whether there was any overlap between injecting-drug-user and sexual networks, and to determine how HIV-prevention efforts should be focused to be most effective. Key informants identified nearly 2,000 sites where people meet new sexual partners, commercial sex workers solicit clients, and injection drug users socialize. Researchers then interviewed people visiting these sites about their sexual and injecting-drug-use behaviors and attitudes, as well as their receptivity to HIV/AIDS prevention efforts. This 228-page working paper summarizes researchers' findings, provides analysis, and suggests future directions for HIV/AIDS prevention efforts in Uzbekistan.",
3994,https://hdl.handle.net/1902.29/CD-11500,,"<p>The National Health and Nutrition Examination Survey, III, 1988-1994 contains data for 33,994 persons ages 2 months and older who participated in this survey.</p>",
3298,https://hdl.handle.net/1902.29/H-37767,,"<p>Topics addressed in this study include confidence in the leaders of major institutions, health behaviors (specifically weight, seat belt use, and smoking habits), attitudes towards Wall Street, and power of different groups in influencing government policy. Demographic variables include respondent's gender, age, educational status, origin or descent (Spanish, Hispanic, or Latino), race, self-identified political party, political philosophy; number of individuals age 18 or over, between the ag
es of 13 and 17, and under age 13 who live in the household; presence of a disabled individual in the household, household income, and number of voice telephone lines available at home.
</p>",
593,https://hdl.handle.net/1902.29/11722,,"<p><b>[RESTRICTED DATA]</b></p> <p><b>MEASURE Evaluation Restricted Data Request Process</b></p>  <p>The documentation is publicly accessible, but the data files are available only upon request. If you would like to gain access to the data in this study, please submit a request by clicking on the “Request Access” link to the right of the dataset in the Data &amp; Analysis section.  </p> <p>Requests can only be made by registered DVN users. If you do not have a DVN account, please create one and
log-in before making your request.  </p> <p>Once your request has been submitted, MEASURE Evaluation will review it and follow-up with you by email. Please note that requests for restricted data files frequently require review and approval from international partners and can take several weeks to process. </p> <p>If you have any questions or concerns, please e-mail MEASURE Evaluation at measure@unc.edu. Thank you, MEASURE Evaluation Dataverse Network </p> <p></p> This study assessed the effectiv
eness of the Mayer Hashi (MH) Project interventions on the use of long-acting and permanent methods (LAPM) of contraception. The interventions were implemented by the MH project in 21 districts of Bangladesh during the period of July 2010 through June 2013. The government family planning service providers in the 21 districts were trained on (a) the delivery of LAPM, (b) counseling on LAPM, and (c) LAPM client management. The effect of the project was assessed in a “before-after and intervention-comparison” comparative framework. The baseline and endline data were compared between six randomly selected intervention districts and three comparison districts. The data on LAPM use were collected from 5,864 randomly selected currently married women of reproductive age during February-May 2013 both from the intervention and comparison districts. These data were compared with those obtained through the 2010 Bangladesh Maternal Mortality Survey, which was conducted during January-August 2010 in the six intervention and three comparison districts.  Additionally, in 2013, data on provider skills and practices were collected from 627 government family planning workers from the six intervention districts and three comparison districts. The findings provide policy guidance for the promotion of LAPM in Bangladesh.",
1814,https://hdl.handle.net/1902.29/D-1345,,"<p>The primary analytic purpose of the WFS surveys is to identify the factors affecting fertility, to analyze fertility differences and elucidate fertility patterns.</p><p>Questions are designed around standardized WFS modules including: family planning, abortion, fertility regulation, influence of mortality on fertility, factors other than contraception affecting fertility, economic variables, community-level variables and general mortality. The questions include knowledge and use of contracept
ion preceding marriage history, so that never-married women are asked all questions on contraception. Pregnancy history with births and pregnancy losses are recorded in separate tables.
</p>",
5355,https://hdl.handle.net/1902.29/11889,,"The STAI includes 2, 20-item questionnaires, the State Anxiety Inventory and the Trait Anxiety Inventory.
<sup>[1]</sup> For each item, participants are asked to indicate either how they ‘‘generally feel’’ (trait anxiety) or how they ‘‘feel right now’’ (state anxiety) using a 4-category scale (not at all, somewhat, moderately so, extremely so). Test-retest reliability for the Trait Anxiety Scale has been adequate, ranging from .73 to .86 over intervals of 20 to 104 days.<sup>[1]</sup> As expected, State Anxiety is significantly less stable overtime, given the transitory nature of anxiety states. Internal consistencies for both scales were high, with Cronbach’s alphas of greater than .90.
<sup>[1]</sup> <br/><br/> [1] Spielberger CD, Gorusch RL, Lushene R, Vagg PR, Jacobs GA: Manual for the State-Trait Anxiety Inventory (Form Y1). Palo Alto, CA, Consulting Psychologists Press, 1983",
2283,https://hdl.handle.net/1902.29/H-P3735,,"<p>The survey is a special poll on President Carter for ABC News.</p><p>In addition to questions on President Carter, the public was asked about the economy, buying plans, abortion, the neutron bomb, Indochinese refugees, energy, the Middle East, the Star Wars movie, sports, and voting.</p>",
196,https://doi.org/10.15139/S3/11939,,N/A,
31203,https://doi.org/10.15139/S3/BX0RZE,,"This pilot project from the Pilot and Developmental Funding Core of the UNC Center for Regulatory Research on Tobacco Communication implements a novel, probability-based oversample of LGBT adults, their partners, and identifies within-LGBT predictors of tobacco use as part of the parent grant’s national phone survey.

Research reported in this publication was supported by the National Cancer Institute of the National Institutes of Health and Food and Drug Administration Center for Tobacco Products under Award Number P50CA180907. The content is solely the responsibility of the authors and does not necessarily represent the official views of the National Institutes of Health or the Food and Drug Administration. The funder had no role in the design of the study or in data collection, data analysis, interpretation, and writing of the manuscript.",2019-01-29
1869,https://hdl.handle.net/1902.29/D-17538,,<p>Public opinion on religious beliefs and attitudes of the Salvadoran people.</p>,
3047,https://hdl.handle.net/1902.29/H-901108,,"<p>This survey focuses on current issues including US action against Iraq, and rating of President Bush's decisions in the Persian Gulf, Saddam Hussein, and voting projections.</p>",
3116,https://hdl.handle.net/1902.29/H-913001,,"<p>This study surveys five health care professionals: dentists, nurses, pharmacists, physicians and veterinarians. Topics included in the survey were skills need for health care in the year 2005, evaluation of current professional education, research, and the need for changes in education of professions.</p>",
5220,https://hdl.handle.net/1902.29/11397,,"The 1998 Zambia Sexual Behavior Survey (ZSBS) collected information on key indicators of HIV/AIDS/STD-related indicators of knowledge, attitude, and sexual behavior. The population-based survey consisted of a national sample of 1943 households, 97% of which responded. Individual response rates among eligible men and women were 92% and 96%, respectively. This 95-page report summarizes the ZSBS findings. Some key findings: virtually all respondents had heard of AIDS, and 86% of men and 78% of women thought that HIV infection could be avoided. Two-thirds of men and 57% of women agreed that condom use was an effective prevention method. Only 7% of respondents thought it was acceptable for a married man to have extra-marital sexual relations, but 19% of men and 29% of women thought a man could not be sexually satisfied with just one partner. One in five adults were estimated to be HIV positive by 1995; however, few people knew their HIV status, and many held negative attitudes about HIV-positive people. Sexual behavior in Zambia had not changed drastically from 1996 to 1998, though unmarried men did report fewer partners. Close to one-third of men reported using condoms in non-marital relationships, a slight decrease from 1996.
</p>  <p><b>Note: The questionnaire for the 1998 SBS study is different from the 2000, 2003, 2005, and 2009 SBS studies conducted in Zambia.</b></p><p><b>[RESTRICTED DATA]</b></p> <p><b>MEASURE Evaluation Restricted Data Request Process</b></p>  <p>The documentation is publicly accessible, but the data files are available only upon request. If you would like to gain access to the data in this study, please submit a request by clicking on the “Request Access” link to the right of the dataset in the Files section.  </p> <p>Requests can only be made by registered Dataverse users. If you do not have a Dataverse account, please create one and log-in before making your request.  </p> <p>Once your request has been submitted, MEASURE Evaluation will review it and follow-up with you by email. Please note that requests for restricted data files frequently require review and approval from international partners and can take several weeks to process. </p> <p>If you have any questions or concerns, please e-mail MEASURE Evaluation at measure_data@unc.edu. Thank you, MEASURE Evaluation Dataverse </p>  <p>",
1376,https://hdl.handle.net/1902.29/D-31256,,"<p>This survey was conducted among residents of Indiana on many topics of state and local interest including religion, the welfare system, Indiana state government departments, the environment in Indiana, and recycling. Background questions include, party affiliation, marital status, age, education, race, income and sex.</p>",
2454,https://hdl.handle.net/1902.29/H-1866,,"<p>Respondents are asked about their experiences in air travel, delays and problems in flights and reasons for problems.</p><p>Questions focus on airport management, flight control personnel, radar facilities, private and commercial plane use, and the New York Port Authority.</p>",
