datasetVersionId,persistentUrl,persistent_id,dateOfDeposit
30719,https://doi.org/10.15139/S3/8UQM6X,,2018-04-09
504,https://hdl.handle.net/1902.29/11222,,2013-04-03
26461,https://doi.org/10.15139/S3/X7RCDF,,2016-10-25
29368,https://doi.org/10.15139/S3/ZQINV7,,2017-04-03
31115,https://doi.org/10.15139/S3/K03YHD,,2019-10-29
1243,https://hdl.handle.net/1902.29/11693,,2014-05-01
886,https://hdl.handle.net/1902.29/11575,,2013-10-23
1396,https://hdl.handle.net/1902.29/11096,,2012-07-29
30993,https://doi.org/10.15139/S3/XGXRXA,,2019-09-03
1600,https://doi.org/10.15139/S3/12329,,2016-06-15
30357,https://doi.org/10.15139/S3/OOYETQ,,2017-11-07
527,https://hdl.handle.net/1902.29/10695,,2011-04-19
29411,https://doi.org/10.15139/S3/LKH3VS,,2017-05-10
31061,https://doi.org/10.15139/S3/EMAEGC,,2019-09-25
29762,https://doi.org/10.15139/S3/AFQJSN,,2017-02-09
29797,https://hdl.handle.net/1902.29/11736,,2015-08-31
30702,https://doi.org/10.15139/S3/D2GBVQ,,2018-07-27
5248,https://hdl.handle.net/1902.29/11409,,2013-06-12
1910,https://hdl.handle.net/1902.29/11739,,2015-08-31
30710,https://doi.org/10.15139/S3/JGXAHA,,2018-11-16
2027,https://doi.org/10.15139/S3/12165,,2016-02-11
30674,https://doi.org/10.15139/S3/GUYWW3,,2018-10-25
517,https://hdl.handle.net/1902.29/10692,,2011-04-18
1288,https://hdl.handle.net/1902.29/11843,,2014-11-15
5350,https://hdl.handle.net/1902.29/11345,,2013-05-23
148,https://doi.org/10.15139/S3/12410,,2016-08-18
1597,https://doi.org/10.15139/S3/12509,,2016-09-22
29953,https://hdl.handle.net/1902.29/11731,,2015-08-31
386,https://hdl.handle.net/1902.29/11766,,2014-08-07
1422,https://hdl.handle.net/1902.29/11355,,2013-05-24
938,https://hdl.handle.net/1902.29/11882,,2014-12-08
208,https://hdl.handle.net/1902.29/11163,,2013-01-26
1982,https://hdl.handle.net/1902.29/11599,,2013-12-16
30788,https://doi.org/10.15139/S3/9ETV3I,,2019-03-07
5132,https://doi.org/10.15139/S3/11918,,2015-01-13
5246,https://hdl.handle.net/1902.29/11229,,2013-04-08
2117,https://hdl.handle.net/1902.29/10812,,2011-09-08
29761,https://doi.org/10.15139/S3/VLD1GU,,2017-10-13
30739,https://doi.org/10.15139/S3/ROJ9X2,,2019-01-10
204,https://hdl.handle.net/1902.29/11021,,2012-03-20
29754,https://doi.org/10.15139/S3/YHLLZG,,2017-01-10
1969,https://doi.org/10.15139/S3/12287,,2016-04-25
31071,https://doi.org/10.15139/S3/DV8QDG,,2019-09-27
31639,https://doi.org/10.15139/S3/TCR6BB,,2020-12-10
478,https://hdl.handle.net/1902.29/11217,,2013-04-03
144,https://doi.org/10.15139/S3/12078,,2015-07-31
26453,https://doi.org/10.15139/S3/AJE9WX,,2016-10-25
1194,https://doi.org/10.15139/S3/12161,,2015-12-28
159,https://doi.org/10.15139/S3/12308,,2016-05-02
29515,https://doi.org/10.15139/S3/GZOSGN,,2017-07-21
30191,https://hdl.handle.net/1902.29/11694,,2014-05-01
31335,https://doi.org/10.15139/S3/I6T1MZ,,2020-03-18
1412,https://hdl.handle.net/1902.29/11351,,2013-05-24
1912,https://hdl.handle.net/1902.29/11735,,2015-08-31
845,https://hdl.handle.net/1902.29/11281,,2013-04-24
958,https://hdl.handle.net/1902.29/11184,,2013-02-25
5328,https://hdl.handle.net/1902.29/11875,,2014-12-08
31083,https://doi.org/10.15139/S3/OWBZZX,,2019-10-01
5183,https://hdl.handle.net/1902.29/11688,,2014-04-28
31638,https://doi.org/10.15139/S3/STQXUU,,2020-12-10
5217,https://hdl.handle.net/1902.29/11707,,2014-05-02
30713,https://doi.org/10.15139/S3/SJQUBZ,,2018-11-20
29282,https://doi.org/10.15139/S3/OXCNM4,,2017-01-30
3300,https://hdl.handle.net/1902.29/H-40515,,2013-04-26
3291,https://hdl.handle.net/1902.29/H-33084,,2013-04-08
2018,https://doi.org/10.15139/S3/12144,,2015-12-16
1410,https://hdl.handle.net/1902.29/11232,,2013-04-08
589,https://hdl.handle.net/1902.29/11571,,2013-10-03
2030,https://doi.org/10.15139/S3/12234,,2016-03-10
2201,https://hdl.handle.net/1902.29/11374,,2013-06-06
1252,https://hdl.handle.net/1902.29/11697,,2014-05-01
1582,https://hdl.handle.net/1902.29/11747,,2014-06-19
31215,https://doi.org/10.15139/S3/GKH2QD,,2020-01-14
5241,https://hdl.handle.net/1902.29/11387,,2013-06-10
29249,https://doi.org/10.15139/S3/5T648M,,2016-12-09
5244,https://hdl.handle.net/1902.29/11208,,2013-04-02
1570,https://hdl.handle.net/1902.29/10425,,2009-10-02
29905,https://doi.org/10.15139/S3/XELKZN,,2017-12-08
31545,https://doi.org/10.15139/S3/S2DULX,,2020-08-26
997,https://hdl.handle.net/1902.29/11779,,2014-08-27
31427,https://doi.org/10.15139/S3/W2LWJV,,2020-06-10
1550,https://hdl.handle.net/1902.29/10049,,2008-01-04
5178,https://hdl.handle.net/1902.29/11393,,2013-06-10
5180,https://hdl.handle.net/1902.29/10695,,2011-04-19
31536,https://doi.org/10.15139/S3/FEW2LM,,2020-08-11
1592,https://doi.org/10.15139/S3/12016,,2015-07-21
1224,https://hdl.handle.net/1902.29/11683,,2014-04-28
1432,https://hdl.handle.net/1902.29/11360,,2013-05-29
3867,https://hdl.handle.net/1902.29/CD-10846,,2011-10-28
29665,https://doi.org/10.15139/S3/0EPKAK,,2017-08-31
1937,https://doi.org/10.15139/S3/12220,,2016-03-03
850,https://hdl.handle.net/1902.29/11615,,2014-01-23
31636,https://doi.org/10.15139/S3/XZGEKY,,2020-12-04
2023,https://doi.org/10.15139/S3/12150,,2015-12-17
29910,https://doi.org/10.15139/S3/HMQSX3,,2017-12-08
215,https://hdl.handle.net/1902.29/10519,,2011-01-06
31184,https://doi.org/10.15139/S3/ENAX3L,,2020-01-08
30651,https://doi.org/10.15139/S3/AKZWQW,,2018-02-15
29798,https://hdl.handle.net/1902.29/11735,,2015-08-31
30990,https://doi.org/10.15139/S3/75VVA6,,2019-09-02
31594,https://doi.org/10.15139/S3/XSZGXR,,2020-03-18
465,https://hdl.handle.net/1902.29/10661,,2011-04-11
31736,https://doi.org/10.15139/S3/TJMGCG,,2021-01-28
5306,https://hdl.handle.net/1902.29/11785,,2014-08-27
1387,https://hdl.handle.net/1902.29/11096,,2012-07-29
31110,https://doi.org/10.15139/S3/GNBYN5,,2019-10-28
2097,https://hdl.handle.net/1902.29/10770,,2011-07-08
1181,https://doi.org/10.15139/S3/11918,,2015-01-13
31039,https://doi.org/10.15139/S3/BWX81E,,2018-04-23
868,https://hdl.handle.net/1902.29/11345,,2013-05-23
31069,https://doi.org/10.15139/S3/ZP4OHR,,2019-09-26
30661,https://doi.org/10.15139/S3/T5GJLH,,2018-10-11
988,https://hdl.handle.net/1902.29/11776,,2014-08-27
31845,https://doi.org/10.15139/S3/GIXLG3,,2021-03-26
31183,https://doi.org/10.15139/S3/AWWL46,,2019-11-14
910,https://hdl.handle.net/1902.29/11589,,2013-11-20
30211,https://hdl.handle.net/1902.29/11680,,2014-04-28
31785,https://doi.org/10.15139/S3/SVMGNK,,2021-02-16
1447,https://hdl.handle.net/1902.29/11804,,2014-09-22
564,https://hdl.handle.net/1902.29/10705,,2011-04-19
1975,https://doi.org/10.15139/S3/12293,,2016-04-26
31332,https://doi.org/10.15139/S3/QSNEND,,2020-03-18
1521,https://hdl.handle.net/1902.29/11125,,2012-11-16
31086,https://doi.org/10.15139/S3/TUIJBE,,2019-10-03
1621,https://hdl.handle.net/1902.29/11631,,2014-02-18
974,https://hdl.handle.net/1902.29/11549,,2013-09-04
1159,https://hdl.handle.net/1902.29/11080,,2012-07-02
979,https://hdl.handle.net/1902.29/11563,,2013-09-16
3937,https://hdl.handle.net/1902.29/CD-11002,,2012-03-13
30238,https://doi.org/10.15139/S3/NWNFF0,,2018-02-20
31602,https://doi.org/10.15139/S3/LG7N0Z,,2020-11-05
1200,https://hdl.handle.net/1902.29/11705,,2014-05-02
2168,https://hdl.handle.net/1902.29/10437,,2012
1958,https://doi.org/10.15139/S3/12276,,2016-04-22
374,https://hdl.handle.net/1902.29/11533,,2013-08-13
30599,https://doi.org/10.15139/S3/SEZMU7,,2018-06-06
427,https://hdl.handle.net/1902.29/11793,,2014-09-09
1440,https://hdl.handle.net/1902.29/11369,,2013-06-05
30654,https://doi.org/10.15139/S3/NDPHT0,,2018-02-15
30180,https://doi.org/10.15139/S3/J40BKS,,2018-01-22
31068,https://doi.org/10.15139/S3/Q2TW3D,,2019-07-11
29281,https://doi.org/10.15139/S3/27RLM3,,2017-01-30
5162,https://hdl.handle.net/1902.29/11679,,2014-04-28
30836,https://doi.org/10.15139/S3/FQO7IS,,2019-02-22
31532,https://hdl.handle.net/1902.29/11731,,2015-08-31
5347,https://hdl.handle.net/1902.29/11884,,2014-12-08
31169,https://doi.org/10.15139/S3/D9ZUIB,,2017-02-10
3966,https://hdl.handle.net/1902.29/CD-11027,,2012-03-20
3742,https://hdl.handle.net/1902.29/CD-0231,,2008-08-04
29369,https://doi.org/10.15139/S3/DOS6TZ,,2017-04-03
30738,https://doi.org/10.15139/S3/T1DYMD,,2019-01-09
907,https://hdl.handle.net/1902.29/11169,,2013-02-11
5290,https://hdl.handle.net/1902.29/11806,,2014-09-22
2191,https://hdl.handle.net/1902.29/10438,,2012
31179,https://doi.org/10.15139/S3/FVXARB,,2020-01-07
468,https://hdl.handle.net/1902.29/11211,,2013-04-03
5357,https://hdl.handle.net/1902.29/11890,,2014-12-08
1184,https://doi.org/10.15139/S3/11920,,2015-01-13
545,https://hdl.handle.net/1902.29/10698,,2011-04-19
30645,https://hdl.handle.net/1902.29/11733,,2014-06-09
3991,https://hdl.handle.net/1902.29/CD-11496,,2013-08-01
2172,https://hdl.handle.net/1902.29/10437,,2012
29853,https://hdl.handle.net/1902.29/11735,,2015-08-31
166,https://doi.org/10.15139/S3/12324,,2016-06-09
31386,https://doi.org/10.15139/S3/PLKGGA,,2020-05-01
450,https://hdl.handle.net/1902.29/11182,,2013-02-21
379,https://hdl.handle.net/1902.29/11578,,2013-11-07
30829,https://doi.org/10.15139/S3/GLQYWT,,2019-04-17
29329,https://doi.org/10.15139/S3/40X9ZE,,2017-03-01
1914,https://doi.org/10.15139/S3/12438,,2016-08-28
29262,https://doi.org/10.15139/S3/TXB3Z3,,2017-01-05
31142,https://doi.org/10.15139/S3/JE7INQ,,2019-11-15
31056,https://doi.org/10.15139/S3/CL6GZA,,2019-09-24
370,https://hdl.handle.net/1902.29/11527,,2013-08-13
1951,https://doi.org/10.15139/S3/12262,,2016-03-31
1987,https://hdl.handle.net/1902.29/11608,,2013-12-17
532,https://hdl.handle.net/1902.29/11322,,2013-05-09
30609,https://doi.org/10.15139/S3/LTFLJ0,,2018-07-12
963,https://hdl.handle.net/1902.29/11185,,2013-02-25
1324,https://doi.org/10.15139/S3/11993,,2015-05-18
31164,https://doi.org/10.15139/S3/S1ST6K,,2019-02-10
30777,https://doi.org/10.15139/S3/IKDWB1,,2019-02-28
31062,https://doi.org/10.15139/S3/XQBMNQ,,2019-09-25
31100,https://doi.org/10.15139/S3/1NZRB0,,2019-10-16
30962,https://doi.org/10.15139/S3/PMAAWG,,2019-08-12
30228,https://doi.org/10.15139/S3/TIPTZ9,,2018-02-12
31044,https://doi.org/10.15139/S3/PDE4SS,,2019-08-09
30874,https://doi.org/10.15139/S3/M5RVDT,,2019-05-07
1935,https://doi.org/10.15139/S3/12218,,2016-03-03
2187,https://hdl.handle.net/1902.29/10438,,2012
1428,https://hdl.handle.net/1902.29/11358,,2013-05-28
29909,https://doi.org/10.15139/S3/GOO84P,,2017-12-08
1529,https://hdl.handle.net/1902.29/11131,,2012-11-16
889,https://hdl.handle.net/1902.29/11166,,2013-02-07
3282,https://hdl.handle.net/1902.29/H-24784,,2009-07-28
29427,https://doi.org/10.15139/S3/Y5GOLI,,2017-06-06
2176,https://hdl.handle.net/1902.29/10437,,2012
567,https://hdl.handle.net/1902.29/11389,,2013-06-10
5177,https://hdl.handle.net/1902.29/11685,,2014-04-28
31682,https://doi.org/10.15139/S3/LR7GI9,,2021-01-15
30663,https://doi.org/10.15139/S3/W2V5WH,,2018-10-12
501,https://hdl.handle.net/1902.29/10670,,2011-04-12
2095,https://hdl.handle.net/1902.29/10769,,2011-07-08
5336,https://hdl.handle.net/1902.29/11878,,2014-12-08
31860,https://doi.org/10.15139/S3/JULDDT,,2021-03-19
30534,https://doi.org/10.15139/S3/OF4JJP,,2018-04-28
31573,https://doi.org/10.15139/S3/12438,,2016-08-28
1458,https://hdl.handle.net/1902.29/11590,,2013-11-20
30200,https://hdl.handle.net/1902.29/11699,,2014-05-01
156,https://doi.org/10.15139/S3/12305,,2016-05-02
1323,https://hdl.handle.net/1902.29/11842,,2014-11-13
5356,https://hdl.handle.net/1902.29/11549,,2013-09-04
31140,https://doi.org/10.15139/S3/EAAIVU,,2019-11-15
138,https://doi.org/10.15139/S3/12075,,2015-07-31
30592,https://doi.org/10.15139/S3/QQ1STU,,2018-05-04
31472,https://doi.org/10.15139/S3/JT27TI,,2020-07-04
31849,https://doi.org/10.15139/S3/PMAAWG,,2021-02-24
229,https://hdl.handle.net/1902.29/10525,,2011-01-09
31525,https://doi.org/10.15139/S3/CKYMUM,,2020-07-31
31696,https://doi.org/10.15139/S3/GSSFGK,,2021-01-17
1552,https://hdl.handle.net/1902.29/10050,,2008-01-04
30676,https://doi.org/10.15139/S3/KXGO7L,,2018-10-25
31382,https://doi.org/10.15139/S3/6J9ZAU,,2020-04-30
30906,https://doi.org/10.15139/S3/VAJK9F,,2019-06-14
31149,https://doi.org/10.15139/S3/IAKUQN,,2019-04-12
1004,https://hdl.handle.net/1902.29/11783,,2014-08-27
31564,https://doi.org/10.15139/S3/CYUEBJ,,2020-09-22
914,https://hdl.handle.net/1902.29/11867,,2014-12-05
31657,https://doi.org/10.15139/S3/FCSKUN,,2021-01-08
1151,https://hdl.handle.net/1902.29/11110,,2012-10-18
30507,https://doi.org/10.15139/S3/4PGIEB,,2018-02-16
30608,https://doi.org/10.15139/S3/AVUF00,,2018-07-09
29279,https://doi.org/10.15139/S3/CZHF5A,,2017-01-27
1260,https://hdl.handle.net/1902.29/11701,,2014-05-02
920,https://hdl.handle.net/1902.29/11873,,2014-12-08
31096,https://doi.org/10.15139/S3/OHAG2A,,2019-10-11
31121,https://doi.org/10.15139/S3/5QZT8I,,2019-10-31
5133,https://doi.org/10.15139/S3/11920,,2015-01-13
1540,https://hdl.handle.net/1902.29/10044,,2008-01-04
5142,https://hdl.handle.net/1902.29/11733,,2014-06-09
30743,https://doi.org/10.15139/S3/1DKV3Y,,2019-01-18
29415,https://doi.org/10.15139/S3/USI7JX,,2017-05-23
1501,https://hdl.handle.net/1902.29/10875,,2011-12-20
31148,https://doi.org/10.15139/S3/GE3M3Y,,2019-11-18
985,https://hdl.handle.net/1902.29/11774,,2014-08-26
3840,https://hdl.handle.net/1902.29/CD-0235,,2010-02-23
5233,https://hdl.handle.net/1902.29/11414,,2013-06-14
574,https://hdl.handle.net/1902.29/10707,,2011-04-19
30405,https://doi.org/10.15139/S3/B9JXJ4,,2018-04-17
31596,https://doi.org/10.15139/S3/IAKUQN,,2019-04-12
1577,https://hdl.handle.net/1902.29/10428,,2009-10-02
30201,https://hdl.handle.net/1902.29/11702,,2014-05-02
929,https://hdl.handle.net/1902.29/11176,,2013-02-15
1946,https://doi.org/10.15139/S3/12257,,2016-03-30
559,https://hdl.handle.net/1902.29/11389,,2013-06-10
30951,https://doi.org/10.15139/S3/T9FBET,,2019-08-01
31592,https://doi.org/10.15139/S3/KELLUW,,2020-10-19
162,https://doi.org/10.15139/S3/12311,,2016-05-02
31566,https://doi.org/10.15139/S3/HEDVDZ,,2020-07-19
5148,https://hdl.handle.net/1902.29/10697,,2013-05-16
2008,https://doi.org/10.15139/S3/12127,,2015-11-30
1576,https://hdl.handle.net/1902.29/11662,,2014-03-25
546,https://hdl.handle.net/1902.29/11348,,2013-05-24
467,https://hdl.handle.net/1902.29/10664,,2011-04-12
31424,https://doi.org/10.15139/S3/MQ8KNS,,2020-06-10
1220,https://hdl.handle.net/1902.29/11681,,2014-04-28
5354,https://hdl.handle.net/1902.29/11541,,2013-08-26
5192,https://hdl.handle.net/1902.29/11691,,2014-04-28
29959,https://hdl.handle.net/1902.29/11731,,2015-08-31
30662,https://doi.org/10.15139/S3/12438,,2016-08-28
3944,https://hdl.handle.net/1902.29/CD-11006,,2012-03-13
30704,https://doi.org/10.15139/S3/KMQDBH,,2018-11-15
31537,https://doi.org/10.15139/S3/WVINT7,,2020-08-14
518,https://hdl.handle.net/1902.29/11224,,2013-04-04
5170,https://hdl.handle.net/1902.29/11681,,2014-04-28
31497,https://doi.org/10.15139/S3/WB168Q,,2020-07-16
31196,https://doi.org/10.15139/S3/PMAAWG,,2020-01-17
1240,https://hdl.handle.net/1902.29/11691,,2014-04-28
1297,https://hdl.handle.net/1902.29/11234,,2013-04-08
2016,https://doi.org/10.15139/S3/12142,,2015-12-16
31276,https://doi.org/10.15139/S3/P8RKKG,,2020-02-04
5200,https://hdl.handle.net/1902.29/11224,,2013-04-04
26463,https://doi.org/10.15139/S3/KY0N5U,,2016-10-25
885,https://hdl.handle.net/1902.29/11166,,2013-02-07
2163,https://hdl.handle.net/1902.29/10437,,2009-12-01
30749,https://doi.org/10.15139/S3/KHLZ5P,,2019-01-22
29402,https://doi.org/10.15139/S3/ISIOM8,,2017-05-10
543,https://hdl.handle.net/1902.29/10697,,2013-05-16
29304,https://doi.org/10.15139/S3/POGNLC,,2017-02-13
2185,https://hdl.handle.net/1902.29/10438,,2012
25366,https://doi.org/10.15139/S3/12127,,2015-11-30
30500,https://doi.org/10.15139/S3/AXH4CZ,,2018-04-25
30206,https://hdl.handle.net/1902.29/11692,,2014-05-01
1186,https://doi.org/10.15139/S3/11920,,2015-01-13
549,https://hdl.handle.net/1902.29/10698,,2011-04-19
1903,https://hdl.handle.net/1902.29/11733,,2014-06-09
1425,https://hdl.handle.net/1902.29/11357,,2013-05-28
2012,https://doi.org/10.15139/S3/12138,,2015-12-16
30341,https://doi.org/10.15139/S3/USI7JX,,2017-05-23
31603,https://doi.org/10.15139/S3/ALLOPV,,2020-11-05
1963,https://doi.org/10.15139/S3/12281,,2016-04-22
1300,https://hdl.handle.net/1902.29/11816,,2014-10-10
903,https://hdl.handle.net/1902.29/11169,,2013-02-11
191,https://hdl.handle.net/1902.29/11414,,2013-06-14
5197,https://hdl.handle.net/1902.29/10707,,2011-04-19
464,https://hdl.handle.net/1902.29/11211,,2013-04-03
1791,https://hdl.handle.net/1902.29/10909,,2012-02-01
29663,https://doi.org/10.15139/S3/BU346J,,2017-08-31
2114,https://hdl.handle.net/1902.29/10810,,2011-09-07
29431,https://doi.org/10.15139/S3/CZHF5A,,2017-01-27
5208,https://hdl.handle.net/1902.29/11701,,2014-05-02
3959,https://hdl.handle.net/1902.29/CD-11019,,2012-03-20
454,https://hdl.handle.net/1902.29/11182,,2013-02-21
5327,https://hdl.handle.net/1902.29/11873,,2014-12-08
29367,https://doi.org/10.15139/S3/12438,,2016-08-28
29338,https://doi.org/10.15139/S3/TXB3Z3,,2017-01-05
29310,https://doi.org/10.15139/S3/XAJYU1,,2017-02-20
5321,https://hdl.handle.net/1902.29/11867,,2014-12-05
2170,https://hdl.handle.net/1902.29/10437,,2012
29356,https://doi.org/10.15139/S3/PHTAPQ,,2017-03-16
31185,https://doi.org/10.15139/S3/AKSZOS,,2020-01-08
30678,https://doi.org/10.15139/S3/RQXOKT,,2018-10-25
493,https://hdl.handle.net/1902.29/10667,,2011-04-12
30233,https://doi.org/10.15139/S3/4PGIEB,,2018-02-16
31518,https://doi.org/10.15139/S3/CKYMUM,,2020-07-31
3306,https://hdl.handle.net/1902.29/11636,,2014-02-25
3299,https://hdl.handle.net/1902.29/H-40111,,2013-04-26
1977,https://doi.org/10.15139/S3/12295,,2016-04-26
29406,https://doi.org/10.15139/S3/Y0CNE3,,2017-05-10
30643,https://hdl.handle.net/1902.29/11731,,2015-08-31
30696,https://doi.org/10.15139/S3/8EPMEV,,2018-11-13
1996,https://hdl.handle.net/1902.29/11669,,2014-04-17
30581,https://doi.org/10.15139/S3/B5DENF,,2018-04-28
30213,https://hdl.handle.net/1902.29/11686,,2014-04-28
31380,https://doi.org/10.15139/S3/6J9ZAU,,2020-04-30
1623,https://hdl.handle.net/1902.29/11631,,2014-02-18
25359,https://doi.org/10.15139/S3/TO4KUR,,2016-10-17
31144,https://doi.org/10.15139/S3/EAAIVU,,2019-11-15
976,https://hdl.handle.net/1902.29/11549,,2013-09-04
1566,https://hdl.handle.net/1902.29/10423,,2009-10-02
2025,https://doi.org/10.15139/S3/12156,,2015-12-18
494,https://hdl.handle.net/1902.29/11220,,2013-04-03
1316,https://hdl.handle.net/1902.29/11613,,2014-01-23
30862,https://doi.org/10.15139/S3/ZVWRHV,,2019-04-26
5131,https://hdl.handle.net/1902.29/11389,,2013-06-10
1228,https://hdl.handle.net/1902.29/11685,,2014-04-28
30223,https://doi.org/10.15139/S3/19DEI5,,2018-01-29
977,https://hdl.handle.net/1902.29/11563,,2013-09-16
1156,https://hdl.handle.net/1902.29/11080,,2012-07-02
893,https://hdl.handle.net/1902.29/11166,,2013-02-07
930,https://hdl.handle.net/1902.29/11878,,2014-12-08
2175,https://hdl.handle.net/1902.29/10437,,2012
31166,https://doi.org/10.15139/S3/PDE4SS,,2019-08-09
30687,https://doi.org/10.15139/S3/YDY3TI,,2018-10-29
5258,https://hdl.handle.net/1902.29/11358,,2013-05-28
3985,https://hdl.handle.net/1902.29/CD-11489,,2013-08-01
30852,https://doi.org/10.15139/S3/NS8Y6C,,2019-04-25
30748,https://doi.org/10.15139/S3/JVQ3XY,,2019-01-22
31462,https://hdl.handle.net/1902.29/H-24784,,2009-07-28
563,https://hdl.handle.net/1902.29/11389,,2013-06-10
1469,https://hdl.handle.net/1902.29/10825,,2011-09-30
31503,https://doi.org/10.15139/S3/YQPQXO,,2020-07-20
3998,https://hdl.handle.net/1902.29/CD-11506,,2013-08-01
5331,https://hdl.handle.net/1902.29/11185,,2013-02-25
26449,https://doi.org/10.15139/S3/YBHAZ0,,2016-10-25
29961,https://hdl.handle.net/1902.29/11731,,2015-08-31
31591,https://doi.org/10.15139/S3/RCYIJU,,2020-10-16
31040,https://doi.org/10.15139/S3/12438,,2016-08-28
30529,https://doi.org/10.15139/S3/SM9HBF,,2018-04-27
514,https://hdl.handle.net/1902.29/11224,,2013-04-04
1539,https://hdl.handle.net/1902.29/11154,,2013-01-10
471,https://hdl.handle.net/1902.29/10664,,2011-04-12
31116,https://doi.org/10.15139/S3/KO8BUO,,2019-10-29
1992,https://hdl.handle.net/1902.29/11648,,2014-03-10
1435,https://hdl.handle.net/1902.29/11362,,2013-05-29
31800,https://doi.org/10.15139/S3/1SRKDN,,2021-03-01
1218,https://hdl.handle.net/1902.29/11681,,2014-04-28
30186,https://hdl.handle.net/1902.29/11735,,2015-08-31
31055,https://doi.org/10.15139/S3/K1RR3Y,,2019-09-23
31139,https://doi.org/10.15139/S3/JE7INQ,,2019-11-15
5291,https://hdl.handle.net/1902.29/11527,,2013-08-13
5155,https://hdl.handle.net/1902.29/11322,,2013-05-09
29855,https://doi.org/10.15139/S3/R4W7ZS,,2017-11-07
2103,https://hdl.handle.net/1902.29/10800,,2011-08-31
180,https://hdl.handle.net/1902.29/11404,,2013-06-11
397,https://hdl.handle.net/1902.29/11806,,2014-09-22
1516,https://doi.org/10.15139/S3/12341,,2016-07-26
30769,https://doi.org/10.15139/S3/ZIHVVZ,,2019-02-22
5198,https://hdl.handle.net/1902.29/11211,,2013-04-03
30294,https://doi.org/10.15139/S3/E9A8NP,,2018-03-01
954,https://hdl.handle.net/1902.29/11890,,2014-12-08
31426,https://doi.org/10.15139/S3/JGIQOE,,2020-06-10
31559,https://doi.org/10.15139/S3/GLEM1K,,2020-09-06
1505,https://hdl.handle.net/1902.29/10875,,2011-12-20
542,https://hdl.handle.net/1902.29/11347,,2013-05-24
31112,https://doi.org/10.15139/S3/TAI2FI,,2019-10-29
983,https://hdl.handle.net/1902.29/11774,,2014-08-26
1417,https://hdl.handle.net/1902.29/11353,,2013-05-24
1215,https://hdl.handle.net/1902.29/11679,,2014-04-28
942,https://hdl.handle.net/1902.29/11884,,2014-12-08
31378,https://doi.org/10.15139/S3/URPZDG,,2020-04-29
1933,https://doi.org/10.15139/S3/12213,,2016-03-01
30742,https://doi.org/10.15139/S3/CZRYY7,,2019-01-18
2038,https://doi.org/10.15139/S3/12480,,2016-09-14
31758,https://doi.org/10.15139/S3/3YCPWA,,2020-12-02
30723,https://doi.org/10.15139/S3/W6AR1Z,,2018-12-11
5287,https://hdl.handle.net/1902.29/11533,,2013-08-13
5263,https://hdl.handle.net/1902.29/11369,,2013-06-05
30736,https://doi.org/10.15139/S3/1VJGUY,,2019-01-07
31152,https://doi.org/10.15139/S3/IAKUQN,,2019-04-12
25347,https://hdl.handle.net/1902.29/11783,,2014-08-27
30929,https://doi.org/10.15139/S3/Q2TW3D,,2019-07-11
29433,https://doi.org/10.15139/S3/27RLM3,,2017-01-30
1247,https://hdl.handle.net/1902.29/11695,,2014-05-01
2203,https://hdl.handle.net/1902.29/11376,,2013-06-07
25358,https://doi.org/10.15139/S3/XPUWLW,,2016-10-17
505,https://hdl.handle.net/1902.29/10670,,2011-04-12
30846,https://doi.org/10.15139/S3/8LVCJM,,2019-04-25
5358,https://hdl.handle.net/1902.29/11563,,2013-09-16
