persistentUrl,dataverseAlias,dataverseName
https://doi.org/10.15139/S3/9OQ7L6,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/N5OPXM,saa,Society of American Archivists Dataverse
https://doi.org/10.15139/S3/3YCPWA,amani,AMANI
https://doi.org/10.15139/S3/XUO3X9,UNCSRP,UNC-SRP-Dataverse
https://doi.org/10.15139/S3/TJMGCG,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/GSSFGK,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/NGBRWL,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/ARIHMI,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/K4ELDN,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/PNR8PY,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/IQQ8YF,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/NFOB7N,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/LR7GI9,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/12438,rlms-hse,Russia Longitudinal Monitoring Survey Dataverse
https://doi.org/10.15139/S3/EG5RVF,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/N4B6S0,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/HZYGCM,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/QTMDUZ,respectdata,Respect & Love Dataverse
https://doi.org/10.15139/S3/M2KJC8,Emory,Emory Dataverse
https://doi.org/10.15139/S3/2JN1IR,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/DV7XU1,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/5WVIMM,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/CGE4O1,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/VSZZ6M,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/TCR6BB,cmascenter,CMAS Data Warehouse
https://doi.org/10.15139/S3/STQXUU,farmworkerhealth,Addressing migrant and seasonal farmworker health disparities with information resources (G08LM013198)
https://doi.org/10.15139/S3/BQDHLB,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/YVWTGR,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/XZGEKY,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/FH1REW,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/WCLFWZ,ragerlab,Ragerlab-Dataverse
https://doi.org/10.15139/S3/GPBKUG,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/IGSF54,waterinstitute,The Water Institute at UNC Dataverse
https://hdl.handle.net/1902.29/11736,rlms-hse,Russia Longitudinal Monitoring Survey Dataverse
https://doi.org/10.15139/S3/POXAUZ,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/ALLOPV,COR-NTD,COR-NTD Research Dataverse
https://doi.org/10.15139/S3/LG7N0Z,COR-NTD,COR-NTD Research Dataverse
https://doi.org/10.15139/S3/NP3UW7,COR-NTD,COR-NTD Research Dataverse
https://doi.org/10.15139/S3/Z6FUWF,COR-NTD,COR-NTD Research Dataverse
https://doi.org/10.15139/S3/IAKUQN,ECU,East Carolina University Dataverse
https://doi.org/10.15139/S3/DFKFE5,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/WVINT7,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/UNJ8FX,SPURS,SPURS_ROMS
https://doi.org/10.15139/S3/6ILDLJ,SPURS,SPURS_ROMS
https://doi.org/10.15139/S3/KELLUW,randall_library_metadata,Ashley Knox Dataverse
https://doi.org/10.15139/S3/TEOGZ2,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/0BKKHU,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/RCYIJU,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/X0OHPD,MiniMUGA,MiniMUGA
https://doi.org/10.15139/S3/MQFNJO,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/OMKM8K,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/358PGX,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/1SC2FN,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/VE4SAB,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/KNHBEE,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/WP0CRN,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/Z4EDJ6,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/O5WV6N,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/DXQYMX,PEM,Patient Education Materials
https://doi.org/10.15139/S3/PMAAWG,champs,CHAMPS Dataverse
https://doi.org/10.15139/S3/GKH2QD,champs,CHAMPS Dataverse
https://doi.org/10.15139/S3/FEW2LM,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/KXN8GN,sppq,State Politics & Policy Quarterly Dataverse
https://hdl.handle.net/1902.29/11731,rlms-hse,Russia Longitudinal Monitoring Survey Dataverse
https://doi.org/10.15139/S3/WB168Q,Emory,Emory Dataverse
https://doi.org/10.15139/S3/HEDVDZ,R03CA212542,"Cigarette packaging: design, cognition, and consumer choices"
https://doi.org/10.15139/S3/KHYU3J,R03CA212542,"Cigarette packaging: design, cognition, and consumer choices"
https://doi.org/10.15139/S3/CYUEBJ,R03CA212542,"Cigarette packaging: design, cognition, and consumer choices"
https://doi.org/10.15139/S3/DTK8SR,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/GLEM1K,ppp,Prosecutors and Politics Project Dataverse
https://doi.org/10.15139/S3/RO9FZS,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/HUN6XO,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/FIKOH4,richs,RICHS Dataverse
https://doi.org/10.15139/S3/S2DULX,richs,RICHS Dataverse
https://doi.org/10.15139/S3/PLKGGA,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/OIAAIZ,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/CO9SFM,VOMCTierStudy,COVID telemedicine Dataverse
https://doi.org/10.15139/S3/CKYMUM,VOMCTierStudy,COVID telemedicine Dataverse
https://doi.org/10.15139/S3/FIGIXL,srss,SRSS Dataverse
https://doi.org/10.15139/S3/URPZDG,srss,SRSS Dataverse
https://doi.org/10.15139/S3/BAP30J,srss,SRSS Dataverse
https://doi.org/10.15139/S3/BTIV79,IJAEJournal,Journal Asian Education Dataverse
https://doi.org/10.15139/S3/YQPQXO,IJAEJournal,Journal Asian Education Dataverse
https://doi.org/10.15139/S3/DFEIAW,IJAEJournal,Journal Asian Education Dataverse
https://doi.org/10.15139/S3/WDYHGJ,IJAEJournal,Journal Asian Education Dataverse
https://doi.org/10.15139/S3/JD15CQ,IJAEJournal,Journal Asian Education Dataverse
https://doi.org/10.15139/S3/FD2BRZ,IJAEJournal,Journal Asian Education Dataverse
https://doi.org/10.15139/S3/IZV6HE,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/XSZGXR,Emory,Emory Dataverse
https://doi.org/10.15139/S3/VXW3KR,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/JT27TI,readingairfreight,Meike Henseleit Dataverse
https://doi.org/10.15139/S3/YLZEH4,IMI_adj,Measuring Urban Compactness with Index of Moment of Inertia
https://doi.org/10.15139/S3/OIJN6V,clim2,Churlzu Lim Dataverse
https://doi.org/10.15139/S3/IOMJDG,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/3KW1DB,listeningtomothers,Listening to Mothers Dataverse
https://doi.org/10.15139/S3/7NNASB,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/BNXBPN,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/BEA55Z,CLM-AF1,CLM-Africa (CLM-AF v. 1.0)
https://doi.org/10.15139/S3/WHNILT,CLM-AF1,CLM-Africa (CLM-AF v. 1.0)
https://doi.org/10.15139/S3/W2LWJV,CLM-AF1,CLM-Africa (CLM-AF v. 1.0)
https://doi.org/10.15139/S3/JGIQOE,CLM-AF1,CLM-Africa (CLM-AF v. 1.0)
https://doi.org/10.15139/S3/DZ7XS3,CLM-AF1,CLM-Africa (CLM-AF v. 1.0)
https://doi.org/10.15139/S3/MQ8KNS,CLM-AF1,CLM-Africa (CLM-AF v. 1.0)
https://doi.org/10.15139/S3/YAYNES,lisn,LISN Dataverse
https://doi.org/10.15139/S3/9KGNJY,resilience,Resilience Dataverse
https://doi.org/10.15139/S3/JNW5XE,farmworkerhealth,Addressing migrant and seasonal farmworker health disparities with information resources (G08LM013198)
https://doi.org/10.15139/S3/IGWLMU,PEM,Patient Education Materials
https://doi.org/10.15139/S3/UZIR0P,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/IURHL6,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/SLGEAS,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/FUC5EW,richs,RICHS Dataverse
https://doi.org/10.15139/S3/LMQTUB,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/F1M9KC,PEM,Patient Education Materials
https://doi.org/10.15139/S3/G0WQQR,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/K1XWH7,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/1NZRB0,UNCCdata,University of North Carolina at Charlotte Library Data Collection Dataverse
https://doi.org/10.15139/S3/MPTNKT,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/VQT4D5,sounding-spirit,Sounding Spirit Dataverse
https://doi.org/10.15139/S3/6J9ZAU,huffman,Scott W. Huffman Dataverse
https://doi.org/10.15139/S3/XOEXBK,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/GGWWPN,Emory,Emory Dataverse
https://doi.org/10.15139/S3/0FMAPJ,crescenzi,Mark Crescenzi Dataverse
https://doi.org/10.15139/S3/8UQU7T,CSCRSDataverse,Collaborative Sciences Center for Road Safety Data Repository
https://doi.org/10.15139/S3/98QQ9Q,gmu,George Mason University Dataverse
https://doi.org/10.15139/S3/0WSG9I,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/6QY918,OPPERA_MCI,OPPERA: Survival Analysis with Missing Censoring Indicators
https://doi.org/10.15139/S3/SIIYCO,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/ZNNGMH,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/ZHWV4T,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/DMZK61,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/PIJJGC,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/DLJHRJ,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/I6T1MZ,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/RDISHJ,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/QZD8NE,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/QSNEND,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/YPVP7C,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/QXRH9S,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/2LU36F,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/SWNWJG,ECU,East Carolina University Dataverse
https://doi.org/10.15139/S3/OKCXPZ,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/MJYHWX,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/YOGIAG,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/KUT29A,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/6UBBYP,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/P8RKKG,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/ZTN9EY,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/HTBDTO,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/CJXTLK,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/TGKTEJ,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/XJZONF,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/ILI4LC,ppp,Prosecutors and Politics Project Dataverse
https://doi.org/10.15139/S3/6FKBDJ,capitalintheborderlands,Capital in the Borderlands Dataverse
https://doi.org/10.15139/S3/EZEZS1,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/N601AJ,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/GM9MSV,gmu,George Mason University Dataverse
https://doi.org/10.15139/S3/D9ZUIB,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/BX0RZE,ECU,East Carolina University Dataverse
https://doi.org/10.15139/S3/WK5EK6,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/NJFEMO,iganson,Ian Anson Dataverse
https://doi.org/10.15139/S3/P4U9ZR,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/L6J30J,wv14c,World Vision 14-Country Evaluation Dataverse
https://doi.org/10.15139/S3/NHCTI2,wv14c,World Vision 14-Country Evaluation Dataverse
https://doi.org/10.15139/S3/J3IVUG,wv14c,World Vision 14-Country Evaluation Dataverse
https://doi.org/10.15139/S3/XALHIY,wv14c,World Vision 14-Country Evaluation Dataverse
https://doi.org/10.15139/S3/AKSZOS,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/ENAX3L,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/LTFCTH,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/FVXARB,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/I8AOSG,gmu,George Mason University Dataverse
https://doi.org/10.15139/S3/FDMK4X,gmu,George Mason University Dataverse
https://doi.org/10.15139/S3/8ILYHZ,jaeger,Jaeger lab Dataverse
https://doi.org/10.15139/S3/4OX6SV,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/V1H40I,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/DKOUDY,unc,UNC Dataverse
https://doi.org/10.15139/S3/S1ST6K,densitymeta,Tobacco Retailer Density Meta-Analysis Project
https://doi.org/10.15139/S3/KTP4WB,cmascenter,CMAS Data Warehouse
https://doi.org/10.15139/S3/XDYYB9,cmascenter,CMAS Data Warehouse
https://doi.org/10.15139/S3/9J6FDR,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/EUWW5L,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/DNQTYK,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/JJG4VH,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/CUOGQT,katykavanaghwebb,Katy Webb Dataverse
https://doi.org/10.15139/S3/E8IT2L,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/ETTZAI,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/ETTSTR,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/YCSYUN,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/Q9NSNT,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/GE3M3Y,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/WTTF5K,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/JE7INQ,COR-NTD,COR-NTD Research Dataverse
https://doi.org/10.15139/S3/EAAIVU,COR-NTD,COR-NTD Research Dataverse
https://doi.org/10.15139/S3/AWWL46,COR-NTD,COR-NTD Research Dataverse
https://doi.org/10.15139/S3/9JJNBV,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/ELMNCI,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/SCQMJV,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/I1NM8E,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/XAAONB,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/0YXG2J,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/FKGDKB,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/I3XOD9,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/2JA15P,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/OPQ7UB,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/2WMU38,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/EVTEYF,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/MQA2KN,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/TGRJV5,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/5QZT8I,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/K03YHD,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/KO8BUO,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/RMZDQO,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/M9UKXF,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/1MCPQF,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/TAI2FI,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/IQQTIW,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/6CKUM9,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/RAOEBC,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/GNBYN5,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/CMMGBP,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/FEE5SQ,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/ARI4FZ,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/1EAYEL,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/52MIJO,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/HK7KZQ,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/0CL3DL,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/NNODDS,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/QAKV5X,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/XQBMNQ,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/YFF04M,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/7RRZKH,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/HVGTAA,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/OWBZZX,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/YHMX8G,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/GEARZ7,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/PDTRO9,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/3ZG4RX,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/MTNYWH,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/OHAG2A,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/NQEXLP,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/GNNIS8,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/UDSIGO,fsassano,Maria Sassano Dataverse
https://doi.org/10.15139/S3/N5YUGP,naloxoneinpharmacy,Availability of naloxone in retail pharmacies
https://doi.org/10.15139/S3/XEXQXO,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/6C73WQ,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/6PNJPX,ECU,East Carolina University Dataverse
https://doi.org/10.15139/S3/TTXD8Q,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/TUIJBE,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/SE1Q0I,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/YLM77G,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/HZDGWA,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/GPOJDH,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/H3XGFB,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/25AU4V,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/98JFPW,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/ZP4OHR,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/DV8QDG,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/K1RR3Y,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/432X8F,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/CL6GZA,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/VOX8JN,Spatially_Explicit_SocialValues_IAM15PG00022,Quantitative Assessment of Spatially-Explicit Social Values Relative to Wind Energy Areas
https://doi.org/10.15139/S3/EMAEGC,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/Y5APXR,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/4AN4AP,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/JTTUBZ,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/SOYP8I,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/BOWXIN,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/GCKUYW,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/BSZEPP,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/AXP7QR,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/FBRLZC,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/XGXRXA,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/T47DYS,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/75VVA6,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/MFYEHZ,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/PPCYPG,hivstzim,HIVST Zimbabwe
https://doi.org/10.15139/S3/PDE4SS,cmascenter,CMAS Data Warehouse
https://doi.org/10.15139/S3/NIHYXO,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/MHNUNE,cmascenter,CMAS Data Warehouse
https://doi.org/10.15139/S3/IQVABD,cmascenter,CMAS Data Warehouse
https://doi.org/10.15139/S3/T9FBET,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/EJUNYH,cmascenter,CMAS Data Warehouse
https://doi.org/10.15139/S3/Q2TW3D,addhealth,Add Health Dataverse
https://doi.org/10.15139/S3/MUSYTQ,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/SAQ9CQ,MEP3,MEASURE Evaluation Dataverse
https://doi.org/10.15139/S3/FLAWW8,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/SVJSGS,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/APKK44,mle_nigeria,MLE Nigeria Dataverse
https://doi.org/10.15139/S3/T7QAIR,mle_nigeria,MLE Nigeria Dataverse
https://doi.org/10.15139/S3/RZPB1Z,cmascenter,CMAS Data Warehouse
https://doi.org/10.15139/S3/HKXP6D,cmascenter,CMAS Data Warehouse
https://doi.org/10.15139/S3/HO1LGT,cmascenter,CMAS Data Warehouse
https://doi.org/10.15139/S3/YIPTDY,cmascenter,CMAS Data Warehouse
https://doi.org/10.15139/S3/QJDYWO,cmascenter,CMAS Data Warehouse
https://doi.org/10.15139/S3/NZUSQB,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/CC7W3N,Crabtree,Jonathan Crabtree Dataverse
https://doi.org/10.15139/S3/N7N38V,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/XDFGSG,gmu,George Mason University Dataverse
https://doi.org/10.15139/S3/4JHDKR,GMx_carbon,Jill Arriola Dataverse
https://doi.org/10.15139/S3/ELQ0TD,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/VAJK9F,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/D2GBVQ,ppp,Prosecutors and Politics Project Dataverse
https://doi.org/10.15139/S3/SGZQGT,bot_persistence,bot_persistence
