,datasetPID,datasetPIDUrl,numberOfVersions,publicationDate,latestReleaseDate,ageOfDataset(Days),ageOfLastUpdate(Days),descriptionLenth,license,termsExist,relPubCount,relPubPIDCount,usedMetadataBlocks,numberOfFiles,noFileDescriptionCount,uniqueContentTypes,uningestedTabFilesCount,restrictedFilesCount
15,doi:10.7910/DVN/5S1HRF,https://doi.org/10.7910/DVN/5S1HRF,1,2020-07-29 18:25:32+00:00,2020-07-29 18:25:32+00:00,90,90,1046,NONE,False,1,0,"citation,journal",24,24,"application/gzip,application/pdf,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
16,doi:10.7910/DVN/B9JAV0,https://doi.org/10.7910/DVN/B9JAV0,1,2020-07-21 13:48:41+00:00,2020-07-21 13:48:41+00:00,98,98,1028,NONE,False,1,0,"citation,geospatial,journal",33,33,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
17,doi:10.7910/DVN/OJUCRU,https://doi.org/10.7910/DVN/OJUCRU,1,2020-07-17 14:52:38+00:00,2020-07-17 14:52:38+00:00,102,102,1052,NONE,False,1,0,"citation,geospatial,journal",6,0,"application/gzip,application/pdf,text/plain,type/x-r-syntax",0,0
18,doi:10.7910/DVN/CL0RU2,https://doi.org/10.7910/DVN/CL0RU2,1,2020-07-09 17:23:57+00:00,2020-07-09 17:23:57+00:00,110,110,1066,NONE,False,1,0,"citation,geospatial,journal",6,5,"application/pdf,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
19,doi:10.7910/DVN/0MOPI4,https://doi.org/10.7910/DVN/0MOPI4,1,2020-07-07 11:53:35+00:00,2020-07-07 11:53:35+00:00,112,112,1075,NONE,False,1,0,"citation,journal",8,0,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
20,doi:10.7910/DVN/7GPSCA,https://doi.org/10.7910/DVN/7GPSCA,2,2020-07-06 14:53:54+00:00,2020-09-08 19:29:18+00:00,113,49,1040,NONE,False,1,0,"citation,journal",60,60,"application/octet-stream,application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
21,doi:10.7910/DVN/93GVWI,https://doi.org/10.7910/DVN/93GVWI,1,2020-07-06 14:00:30+00:00,2020-07-06 14:00:30+00:00,113,113,1110,NONE,False,1,0,"citation,journal",9,9,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
22,doi:10.7910/DVN/JIFKOU,https://doi.org/10.7910/DVN/JIFKOU,1,2020-07-02 13:46:47+00:00,2020-07-02 13:46:47+00:00,117,117,1104,NONE,False,1,0,"citation,journal",16,16,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
23,doi:10.7910/DVN/Q40RGF,https://doi.org/10.7910/DVN/Q40RGF,1,2020-06-23 14:36:49+00:00,2020-06-23 14:36:49+00:00,126,126,1039,NONE,False,1,0,"citation,geospatial,journal",10,10,"application/octet-stream,application/pdf,text/plain,text/tab-separated-values",0,0
24,doi:10.7910/DVN/4RQWXW,https://doi.org/10.7910/DVN/4RQWXW,1,2020-06-19 17:35:45+00:00,2020-06-19 17:35:45+00:00,130,130,1006,NONE,False,1,0,"citation,geospatial,journal",9,9,"application/pdf,text/csv,text/plain,text/tab-separated-values,type/x-r-syntax",2,0
25,doi:10.7910/DVN/V8C2HB,https://doi.org/10.7910/DVN/V8C2HB,1,2020-06-16 18:03:31+00:00,2020-06-16 18:03:31+00:00,133,133,1152,NONE,False,1,0,"citation,journal",17,0,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
26,doi:10.7910/DVN/ZEKFG7,https://doi.org/10.7910/DVN/ZEKFG7,1,2020-06-08 15:49:38+00:00,2020-06-08 15:49:38+00:00,141,141,820,NONE,False,1,0,"citation,journal",9,9,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
27,doi:10.7910/DVN/8MV984,https://doi.org/10.7910/DVN/8MV984,1,2020-06-04 15:56:20+00:00,2020-06-04 15:56:20+00:00,145,145,885,NONE,False,1,0,"citation,journal",8,8,"application/pdf,application/winhlp,application/x-stata-ado,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
28,doi:10.7910/DVN/NYONTD,https://doi.org/10.7910/DVN/NYONTD,1,2020-05-26 20:47:26+00:00,2020-05-26 20:47:26+00:00,154,154,724,NONE,False,1,0,"citation,journal",97,97,"application/gzip,application/pdf,application/vnd.ms-excel,application/x-stata-syntax,text/csv,text/plain,text/tab-separated-values,text/x-python,text/x-r-source,type/x-r-syntax",51,0
29,doi:10.7910/DVN/VJUOOV,https://doi.org/10.7910/DVN/VJUOOV,1,2020-05-08 20:05:46+00:00,2020-05-08 20:05:46+00:00,172,172,1015,NONE,False,1,0,"citation,journal",9,8,"application/gzip,application/pdf,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
30,doi:10.7910/DVN/6SRI9K,https://doi.org/10.7910/DVN/6SRI9K,1,2020-05-01 13:48:29+00:00,2020-05-01 13:48:29+00:00,179,179,1001,NONE,False,1,0,"citation,journal",65,65,"application/gzip,application/pdf,application/vnd.openxmlformats-officedocument.wordprocessingml.document,text/plain,type/x-r-syntax",0,0
31,doi:10.7910/DVN/Q5PRNX,https://doi.org/10.7910/DVN/Q5PRNX,3,2020-04-24 13:08:47+00:00,2020-05-06 17:16:39+00:00,186,174,1024,NONE,False,1,0,"citation,journal",7,2,"application/gzip,application/pdf,application/vnd.oasis.opendocument.text,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
32,doi:10.7910/DVN/TL0PZD,https://doi.org/10.7910/DVN/TL0PZD,1,2020-04-16 19:42:05+00:00,2020-04-16 19:42:05+00:00,194,194,990,NONE,False,1,0,"citation,journal",22,3,"application/pdf,application/x-rlang-transport,text/plain,text/tab-separated-values,type/x-r-syntax",8,0
33,doi:10.7910/DVN/8L1SHV,https://doi.org/10.7910/DVN/8L1SHV,1,2020-04-14 11:07:02+00:00,2020-04-14 11:07:02+00:00,196,196,1078,NONE,False,1,0,"citation,geospatial,journal",31,31,"application/octet-stream,application/pdf,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
34,doi:10.7910/DVN/YSS19O,https://doi.org/10.7910/DVN/YSS19O,1,2020-04-08 14:04:20+00:00,2020-04-08 14:04:20+00:00,202,202,850,NONE,False,1,0,"citation,journal",44,0,"application/gzip,application/pdf,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
35,doi:10.7910/DVN/QTMOVG,https://doi.org/10.7910/DVN/QTMOVG,2,2020-02-25 19:33:57+00:00,2020-05-08 15:41:53+00:00,245,172,950,NONE,False,1,0,"citation,journal",12,12,"application/pdf,application/x-msdownload,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
36,doi:10.7910/DVN/QEMNP1,https://doi.org/10.7910/DVN/QEMNP1,1,2020-02-24 16:52:26+00:00,2020-02-24 16:52:26+00:00,246,246,976,NONE,False,1,0,"citation,geospatial,journal",194,194,"application/gzip,application/pdf,application/x-rlang-transport,application/x-tex,text/csv,text/plain,text/tab-separated-values,text/x-python-script,type/x-r-syntax",6,0
37,doi:10.7910/DVN/JYKL9M,https://doi.org/10.7910/DVN/JYKL9M,1,2019-10-16 18:45:42+00:00,2019-10-16 18:45:42+00:00,377,377,1075,NONE,False,1,0,"citation,geospatial,journal",11,11,"application/gzip,application/pdf,text/plain,type/x-r-syntax",0,0
38,doi:10.7910/DVN/Y3XHB6,https://doi.org/10.7910/DVN/Y3XHB6,1,2019-10-07 13:51:06+00:00,2019-10-07 13:51:06+00:00,386,386,1002,NONE,False,1,0,"citation,journal",17,17,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
39,doi:10.7910/DVN/UYXRI8,https://doi.org/10.7910/DVN/UYXRI8,1,2019-06-17 13:50:37+00:00,2019-06-17 13:50:37+00:00,498,498,884,NONE,False,1,0,"citation,geospatial,journal",10,10,"application/pdf,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
40,doi:10.7910/DVN/KG2APR,https://doi.org/10.7910/DVN/KG2APR,1,2019-12-19 16:41:12+00:00,2019-12-19 16:41:12+00:00,313,313,1086,CC0,True,1,0,"citation,geospatial,journal",38,38,"application/gzip,application/pdf,application/prj,application/shp,application/shx,application/x-dbase,application/x-rlang-transport,text/plain,text/tab-separated-values,type/x-r-syntax",1,0
41,doi:10.7910/DVN/PGGBB4,https://doi.org/10.7910/DVN/PGGBB4,2,2019-04-26 15:17:03+00:00,2019-11-22 20:58:18+00:00,550,339,1511,NONE,False,2,2,"citation,journal",4,0,"application/pdf,text/plain,text/tab-separated-values",0,0
42,doi:10.7910/DVN/SKPPLH,https://doi.org/10.7910/DVN/SKPPLH,1,2019-08-02 19:31:03+00:00,2019-08-02 19:31:03+00:00,452,452,1015,NONE,False,1,0,"citation,journal",109,79,"application/octet-stream,application/pdf,application/x-rlang-transport,application/zip,text/csv,text/plain,text/tab-separated-values,type/x-r-syntax",62,0
43,doi:10.7910/DVN/YUM3K8,https://doi.org/10.7910/DVN/YUM3K8,2,2019-01-18 18:34:35+00:00,2019-11-22 17:08:44+00:00,648,340,1201,NONE,False,1,1,"citation,journal",13,13,"application/pdf,application/x-gzip,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
44,doi:10.7910/DVN/ZRZGTT,https://doi.org/10.7910/DVN/ZRZGTT,2,2019-01-16 16:08:52+00:00,2019-11-22 17:03:27+00:00,650,340,1029,NONE,False,1,1,"citation,journal",7,0,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
45,doi:10.7910/DVN/2VF2J0,https://doi.org/10.7910/DVN/2VF2J0,2,2018-10-09 14:57:35+00:00,2019-11-21 21:19:46+00:00,749,340,999,NONE,False,1,1,"citation,journal",7,0,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
46,doi:10.7910/DVN/7ZVSYO,https://doi.org/10.7910/DVN/7ZVSYO,2,2019-04-12 18:42:14+00:00,2019-06-25 13:52:09+00:00,564,490,652,NONE,False,1,0,"citation,journal",57,0,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/x-gzip,image/png,text/plain,text/tab-separated-values,type/x-r-syntax",2,0
47,doi:10.7910/DVN/ZUH3UG,https://doi.org/10.7910/DVN/ZUH3UG,3,2019-05-06 18:55:56+00:00,2019-11-25 15:59:36+00:00,540,337,1022,NONE,True,1,1,"citation,geospatial,journal",30,27,"application/pdf,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
48,doi:10.7910/DVN/GSQG1K,https://doi.org/10.7910/DVN/GSQG1K,2,2018-08-23 17:57:25+00:00,2019-11-22 16:44:27+00:00,796,340,1086,NONE,False,1,1,"citation,journal",12,0,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
49,doi:10.7910/DVN/ICISE4,https://doi.org/10.7910/DVN/ICISE4,2,2018-07-03 17:43:27+00:00,2019-11-21 17:05:09+00:00,847,341,1116,NONE,False,1,1,"citation,journal",11,0,"application/pdf,application/shp,application/shx,text/plain,text/plain; charset=US-ASCII,text/plain; charset=UTF-8,text/tab-separated-values",0,0
50,doi:10.7910/DVN/TVZQG6,https://doi.org/10.7910/DVN/TVZQG6,2,2018-06-29 17:48:21+00:00,2019-11-21 15:23:14+00:00,851,341,1057,NONE,False,1,1,"citation,journal",34,34,"application/pdf,application/x-stata,application/x-stata-syntax,text/plain,text/tab-separated-values",20,0
51,doi:10.7910/DVN/9IKGYY,https://doi.org/10.7910/DVN/9IKGYY,2,2018-06-04 19:44:26+00:00,2019-11-21 16:39:19+00:00,876,341,1020,NONE,False,1,1,"citation,journal",6,0,"application/pdf,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
52,doi:10.7910/DVN/WGWMAV,https://doi.org/10.7910/DVN/WGWMAV,2,2018-07-23 14:24:11+00:00,2019-11-21 18:14:39+00:00,827,341,1050,NONE,False,1,1,"citation,journal",9,0,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
53,doi:10.7910/DVN/I1HVCJ,https://doi.org/10.7910/DVN/I1HVCJ,3,2018-06-29 17:10:13+00:00,2019-11-21 16:56:36+00:00,851,341,821,CC0,True,1,1,"citation,journal",16,3,"application/pdf,application/x-stata,application/x-stata-syntax,text/plain",11,0
54,doi:10.7910/DVN/MZKJDR,https://doi.org/10.7910/DVN/MZKJDR,2,2018-02-28 17:51:36+00:00,2019-11-21 15:43:12+00:00,972,341,991,CC0,True,1,1,"citation,journal",4,0,"application/pdf,application/x-stata-syntax,text/plain",0,0
55,doi:10.7910/DVN/HI1X4O,https://doi.org/10.7910/DVN/HI1X4O,2,2018-01-19 15:24:21+00:00,2019-06-26 19:01:13+00:00,1012,489,965,CC0,True,1,1,"citation,journal",13,3,"application/pdf,application/x-rlang-transport,application/x-stata-syntax,text/plain,text/tab-separated-values,type/x-r-syntax",6,0
56,doi:10.7910/DVN/MYDZNF,https://doi.org/10.7910/DVN/MYDZNF,2,2018-02-12 14:39:54+00:00,2019-06-26 19:30:29+00:00,988,489,855,CC0,True,1,1,"citation,journal",4,4,"application/pdf,application/zipped-shapefile,text/plain,type/x-r-syntax",0,0
57,doi:10.7910/DVN/SNLKUE,https://doi.org/10.7910/DVN/SNLKUE,2,2018-01-30 16:28:28+00:00,2019-06-26 19:11:11+00:00,1001,489,1057,CC0,True,1,1,"citation,journal",29,29,"application/pdf,application/vnd.ms-excel,application/x-spss-syntax,text/plain,text/tab-separated-values",0,0
58,doi:10.7910/DVN/ACYZIC,https://doi.org/10.7910/DVN/ACYZIC,2,2017-12-12 14:22:15+00:00,2019-06-26 18:45:27+00:00,1050,489,954,CC0,True,1,1,"citation,journal",7,1,"application/pdf,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
59,doi:10.7910/DVN/7EWDRF,https://doi.org/10.7910/DVN/7EWDRF,2,2018-04-26 20:35:34+00:00,2019-06-26 19:38:43+00:00,915,489,983,CC0,True,1,1,"citation,journal",37,0,"application/pdf,application/x-rlang-transport,application/x-shellscript,application/zip,text/plain,text/tab-separated-values,text/x-r-source",17,0
60,doi:10.7910/DVN/QO6EMT,https://doi.org/10.7910/DVN/QO6EMT,2,2017-09-27 13:33:50+00:00,2019-06-26 18:20:24+00:00,1126,489,963,CC0,True,1,1,"citation,journal",31,31,"application/pdf,application/x-rlang-transport,application/x-stata,application/x-stata-syntax,text/plain,text/tab-separated-values,type/x-r-syntax",5,0
61,doi:10.7910/DVN/VEPHLS,https://doi.org/10.7910/DVN/VEPHLS,2,2017-06-23 18:58:17+00:00,2019-06-20 14:44:06+00:00,1222,495,1040,CC0,True,1,1,"citation,journal",5,0,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
62,doi:10.7910/DVN/XRJ43D,https://doi.org/10.7910/DVN/XRJ43D,2,2017-10-05 15:22:13+00:00,2019-06-26 18:16:43+00:00,1118,489,1038,CC0,True,1,1,"citation,journal",23,23,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
63,doi:10.7910/DVN/6IOACK,https://doi.org/10.7910/DVN/6IOACK,2,2018-05-21 14:10:25+00:00,2019-06-26 19:18:34+00:00,890,489,976,CC0,True,1,1,"citation,journal",6,0,"application/pdf,application/vnd.ms-excel,text/plain,type/x-r-syntax",0,0
64,doi:10.7910/DVN/LD6NL8,https://doi.org/10.7910/DVN/LD6NL8,2,2017-06-28 13:22:18+00:00,2019-06-20 14:46:41+00:00,1217,495,1002,CC0,True,1,1,"citation,journal",13,10,"application/pdf,application/x-rlang-transport,text/plain,text/tab-separated-values,type/x-r-syntax",2,0
65,doi:10.7910/DVN/QSXDUN,https://doi.org/10.7910/DVN/QSXDUN,2,2017-04-19 22:56:52+00:00,2019-06-19 20:31:20+00:00,1286,496,912,CC0,True,1,1,"citation,journal",7,5,"application/pdf,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
66,doi:10.7910/DVN/RW10GZ,https://doi.org/10.7910/DVN/RW10GZ,2,2017-04-30 16:47:03+00:00,2019-06-19 20:28:31+00:00,1276,496,1089,CC0,True,1,1,"citation,journal",14,0,"application/pdf,application/x-stata,application/x-stata-syntax,text/plain,text/tab-separated-values",2,0
67,doi:10.7910/DVN/WZV20D,https://doi.org/10.7910/DVN/WZV20D,3,2017-02-14 22:42:22+00:00,2018-12-12 21:01:37+00:00,1350,684,995,CC0,True,1,1,"citation,journal",4,4,"application/zip,text/plain",0,0
68,doi:10.7910/DVN/TR4OUK,https://doi.org/10.7910/DVN/TR4OUK,3,2017-10-25 16:54:29+00:00,2018-12-13 18:13:16+00:00,1098,684,1044,CC0,True,1,1,"citation,journal",6,4,"application/pdf,application/x-stata-syntax,text/csv,text/plain,text/tab-separated-values,type/x-r-syntax",1,0
69,doi:10.7910/DVN/WOI8EU,https://doi.org/10.7910/DVN/WOI8EU,2,2016-07-25 19:54:05+00:00,2017-07-01 11:25:59+00:00,1555,1214,1121,CC0,True,1,1,"citation,journal",6,0,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
70,doi:10.7910/DVN/EBF7XW,https://doi.org/10.7910/DVN/EBF7XW,2,2016-08-03 15:51:31+00:00,2017-04-30 20:48:50+00:00,1546,1276,915,CC0,True,1,1,"citation,journal",24,0,"application/pdf,application/x-gzip,application/x-pdf,application/zip,application/zipped-shapefile,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
71,doi:10.7910/DVN/3DMNPE,https://doi.org/10.7910/DVN/3DMNPE,2,2016-07-29 19:29:35+00:00,2017-10-11 19:29:52+00:00,1551,1112,1342,CC0,True,1,1,"citation,journal",4,1,"application/pdf,text/plain,text/plain; charset=US-ASCII",0,0
72,doi:10.7910/DVN/PGXO5O,https://doi.org/10.7910/DVN/PGXO5O,2,2017-05-10 23:05:33+00:00,2018-12-11 16:03:24+00:00,1265,686,798,CC0,True,1,1,"citation,journal",1,1,application/zip,0,0
73,doi:10.7910/DVN/DTFR60,https://doi.org/10.7910/DVN/DTFR60,2,2016-07-25 15:43:14+00:00,2017-04-30 20:57:45+00:00,1555,1275,1060,CC0,True,1,1,"citation,journal",10,10,"application/pdf,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/x-stata-syntax,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
74,doi:10.7910/DVN/ZFLG25,https://doi.org/10.7910/DVN/ZFLG25,2,2016-06-28 21:03:49+00:00,2017-04-30 21:04:59+00:00,1581,1275,1087,CC0,True,1,1,"citation,journal",13,0,"application/octet-stream,application/pdf,application/x-stata-13,application/x-stata-syntax,text/plain,text/plain; charset=US-ASCII,type/x-r-syntax",1,0
75,doi:10.7910/DVN/SURSEO,https://doi.org/10.7910/DVN/SURSEO,2,2016-06-22 19:47:25+00:00,2017-07-01 11:30:18+00:00,1588,1214,1010,CC0,True,1,1,"citation,journal",5,5,"application/pdf,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
76,doi:10.7910/DVN/I0VEMG,https://doi.org/10.7910/DVN/I0VEMG,2,2017-05-19 18:17:41+00:00,2018-12-11 18:52:17+00:00,1257,686,1062,CC0,True,1,1,"citation,journal",76,76,"application/pdf,text/comma-separated-values,text/tab-separated-values,type/x-r-syntax",1,0
77,doi:10.7910/DVN/LP1SQY,https://doi.org/10.7910/DVN/LP1SQY,2,2018-12-04 20:42:24+00:00,2018-12-06 14:26:36+00:00,693,691,1003,CC0,True,1,1,"citation,journal",4,4,"application/x-stata,application/x-stata-syntax,text/tab-separated-values",2,0
78,doi:10.7910/DVN/NC06GQ,https://doi.org/10.7910/DVN/NC06GQ,3,2015-10-31 21:17:08+00:00,2016-08-17 20:23:52+00:00,1822,1532,1004,CC0,True,1,1,"citation,journal",21,21,"application/download,application/x-stata-syntax,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
79,doi:10.7910/DVN/OX5CZF,https://doi.org/10.7910/DVN/OX5CZF,3,2015-10-21 20:35:11+00:00,2017-03-26 19:42:49+00:00,1833,1311,1007,CC0,True,1,1,"citation,journal",4,0,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
80,doi:10.7910/DVN/WTURMZ,https://doi.org/10.7910/DVN/WTURMZ,3,2015-10-13 20:06:49+00:00,2017-04-23 18:44:12+00:00,1841,1283,995,CC0,True,1,1,"citation,journal",7,7,"application/pdf,application/x-stata-13,application/x-stata-syntax,text/tab-separated-values",2,0
81,doi:10.7910/DVN/SDUGCC,https://doi.org/10.7910/DVN/SDUGCC,4,2015-08-04 20:01:34+00:00,2017-02-26 20:48:46+00:00,1911,1339,1073,CC0,True,1,1,"citation,geospatial,journal,socialscience",6,4,"application/pdf,text/plain,text/plain; charset=US-ASCII",0,0
82,doi:10.7910/DVN/INXGMT,https://doi.org/10.7910/DVN/INXGMT,4,2015-08-18 20:46:42+00:00,2016-08-17 20:17:16+00:00,1897,1532,1021,CC0,True,1,1,"citation,journal",34,34,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/x-stata-syntax,text/plain,text/tab-separated-values",7,0
83,doi:10.7910/DVN/S9MIJU,https://doi.org/10.7910/DVN/S9MIJU,2,2016-11-01 20:04:56+00:00,2017-10-11 18:40:22+00:00,1456,1112,1030,CC0,True,1,1,"citation,journal",21,20,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
84,doi:10.7910/DVN/4FCVUR,https://doi.org/10.7910/DVN/4FCVUR,3,2015-07-29 20:13:59+00:00,2017-05-18 22:03:37+00:00,1917,1257,1026,CC0,True,1,1,"citation,journal",133,0,"application/octet-stream,application/pdf,application/vnd.ms-excel,application/x-stata-syntax,text/plain,text/plain; charset=US-ASCII,text/tab-separated-values,text/x-r-source",0,0
85,doi:10.7910/DVN/GKASQ5,https://doi.org/10.7910/DVN/GKASQ5,4,2015-07-09 18:27:25+00:00,2017-02-26 20:25:14+00:00,1937,1339,1080,CC0,True,1,1,"citation,journal",6,6,"application/pdf,application/vnd.ms-excel,application/x-stata-syntax,text/plain,text/plain; charset=US-ASCII,text/tab-separated-values",0,0
86,doi:10.7910/DVN/E9UQ0S,https://doi.org/10.7910/DVN/E9UQ0S,4,2015-09-02 16:20:03+00:00,2018-12-04 17:02:55+00:00,1882,693,1560,CC0,True,1,1,"citation,geospatial,journal",80,2,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/x-stata-syntax,text/plain,text/plain; charset=US-ASCII,text/tab-separated-values",4,0
