publisher,persistentUrl,majorVersionNumber,minorVersionNumber,versionCreateTime,license,termsOfUse,confidentialityDeclaration,specialPermissions,restrictions,citationRequirements,depositorRequirements,conditions,disclaimer
DataverseNO,https://doi.org/10.18710/O2ZAPJ,1,1,2017-12-01 12:13:57+00:00,CC0,CC0 Waiver,,,,1. The original source of data should be credited.,,"2. All publications applying data from the municipal database at NSD will include the following in either preface or footnote:
""(Some of ) the data applied in this research was collected from the municipal database at the Norwegian Centre for Research Data. NSD is not responsible for the analysis of said data or any data interpretation here presented.""
<br>3. Two copies of publications will be sent to: NSD, Harald Hårfagres gate 29, 5007 Bergen.
<br>4. Data may not be distributed without written permission.",
DataverseNO,https://doi.org/10.18710/JU3DWE,1,0,2019-01-03 08:50:17+00:00,CC0,CC0 Waiver,,,Contains information from unpublished study. The authors request that online access to proteomics dataset should only be made available upon publication of manuscript.,,,Contains information from unpublished study. The authors request that online access to proteomics dataset should only be made available upon publication of manuscript.,
DataverseNO,https://doi.org/10.18710/ABRUWW,2,0,2021-01-22 08:37:44+00:00,CC0,CC0 Waiver,,,,"Please acknowledge NTNU-Norwegian University of Science and Technology in any publishing resulting from these shared documents. Authors: Arne Kristian Skulberg, MD, PhD, and Prof Ola Dale, MD, PhD and otherwise see Dataverse Community Norms.",,,
DataverseNO,https://doi.org/10.18710/GXMK7K,1,3,2020-04-16 20:30:48+00:00,CC0,CC0 Waiver,,,,"Lim, A., Brönner, M., Johansen, S., & Dumais, M.‐A. (2019). Hydrothermal activity at the ultraslow‐spreading Mohns Ridge: New insights from near‐seafloor magnetics. Geochemistry, Geophysics, Geosystems, 20. https://doi.org/10.1029/2019GC008439",,"To be acknowledged: The data were collected by MarMine/NTNU research cruise funded by the Research Council of Norway (Norges Forskningsråd, NFR) Project No. 247626/O30 and associated industrial partners. 

",
Fundação Oswaldo Cruz,https://doi.org/10.35078/TT37QE,2,0,2021-06-14 15:35:33+00:00,CC0,CC0 Waiver,CC-BY 4.0,,,,,,
Fundação Oswaldo Cruz,https://doi.org/10.35078/LV1GAJ,1,1,2021-06-14 19:43:31+00:00,CC0,CC0 Waiver,CC-BY-NC,,,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/3DMNPE,1,1,2017-10-11 19:29:01+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/32ENYJ,1,1,2019-12-11 18:32:15+00:00,CC0,CC0 Waiver,,,"The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date. I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/3LEH9V,1,0,2020-03-27 19:05:05+00:00,CC0,CC0 Waiver,,,,,,,All downloads of data should take place on Harvard Dataverse. Data should not be posted on personal websites for access by others. The authors are fully responsible for ensuring that the data they upload is accurate and complete.
Harvard Dataverse,https://doi.org/10.7910/DVN/3JJMQR,1,0,2018-03-04 18:59:23+00:00,CC0,CC0 Waiver,,,,"We are pleased to have other researchers make use of this data for their own algorithm development and understanding of respiratory monitoring with RF devices. We ask that you cite the following article if you make use of this data in your research.
<br><br>
<blockquote>
P. Hillyard, A. Luong, A. S. Abrar, N. Patwari, K. Sundar, R. Farney, J. Burch, C. A. Porucznik, and S. H. Pollard. “Experience: Cross-Technology Radio Respiratory Monitoring Performance Study”. In Proceedings of the 24th Annual International Conference on Mobile Computing and Networking (MobiCom 2018), New Delhi, India, to appear, 29 Oct. 2018. </blockquote>",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/2KMLSE,2,2,2021-05-14 06:53:59+00:00,CC0,CC0 Waiver,,,,"<blockquote>
Gay, Victor. 2021.<br>Mapping the Third Republic. A Geographic Information System of France (1870–1940).<br>Conditionally accepted at <i>Historical Methods: A Journal of Quantitative and Interdisciplinary History</i>.<br>Available at https://hal.archives-ouvertes.fr/hal-02951461.
</blockquote>
",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/2EJIZJ,1,4,2016-04-01 19:22:15+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/2E2M9Z,1,3,2019-06-27 19:26:31+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/2DADXK,1,2,2019-12-12 15:52:23+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/2XP8YF,1,1,2017-04-23 19:54:41+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/2O7CN0,1,1,2018-12-06 14:24:00+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/2NUL5A,2,0,2020-04-10 20:03:18+00:00,CC0,CC0 Waiver,,,This data set is only to be accessed by editors and reviewers until publication is complete,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/5834PO,1,0,2019-07-16 12:31:56+00:00,CC0,CC0 Waiver,,,,,,"All names of students have been redacted from these journals. Should you encounter a journal with a student's name that we missed during the redaction process, please contact the E4 dataverse manager: cathy@stemedinsights.com. ",
Harvard Dataverse,https://doi.org/10.7910/DVN/5FISNQ,4,0,2021-07-20 13:11:02+00:00,CC0,CC0 Waiver,,,,Citation required upon partial or complete usage of the data in publications,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/4WXAPS,1,0,2018-03-04 18:53:03+00:00,CC0,CC0 Waiver,,,,"We are pleased to have other researchers make use of this data for their own algorithm development and understanding of respiratory monitoring with RF devices. We ask that you cite the following article if you make use of this data in your research.
<br><br>
<blockquote>
P. Hillyard, A. Luong, A. S. Abrar, N. Patwari, K. Sundar, R. Farney, J. Burch, C. A. Porucznik, and S. H. Pollard. “Experience: Cross-Technology Radio Respiratory Monitoring Performance Study”. In Proceedings of the 24th Annual International Conference on Mobile Computing and Networking (MobiCom 2018), New Delhi, India, to appear, 29 Oct. 2018. </blockquote>",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/4XI0UG,1,1,2019-06-26 18:23:49+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/5J213L,1,8,2019-04-10 15:53:02+00:00,CC0,CC0 Waiver,,,,,,"IMPORTANT: If you are interested in accessing restricted datasets, kindly fill out this <a href=""https://goo.gl/forms/muJtiDnuwhfAftQ83""> data user agreement form</a>.",
Harvard Dataverse,https://doi.org/10.7910/DVN/4HITBL,1,0,2013-03-15 14:46:24+00:00,CC0,CC0 Waiver,,"PSI data are available upon request. Please complete the electronic <a href=""http://www.psi.org/research/ethics-data-use-and-authorship/data-use-and-authorship/"" target=""_blank"">Data Request & Authorship form</a>.  If you are a PSI employee, please <a href=""mailto:""research@psi.org"" target=""_blank"">Contact Us</a> to gain access to these materials.",,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/4FCVUR,1,2,2017-04-30 21:41:56+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/4FNQ8M,1,0,2019-05-27 20:57:57+00:00,CC0,CC0 Waiver,,,,,,,All downloads of data should take place on Harvard Dataverse. Data should not be posted on personal websites for access by others. The authors are fully responsible for ensuring that the data they upload is accurate and complete.
Harvard Dataverse,https://doi.org/10.7910/DVN/45WOJY,1,0,2021-03-24 13:11:40+00:00,CC0,CC0 Waiver,,,,,,,All downloads of data should take place on Harvard Dataverse. Data should not be posted on personal websites for access by others. The authors are fully responsible for ensuring that the data they upload is accurate and complete.
Harvard Dataverse,https://doi.org/10.7910/DVN/4LZXTY,1,2,2016-08-17 19:54:17+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/26280,3,0,2017-03-21 03:46:33+00:00,CC0,CC0 Waiver,"All files for this project/study, except for the Project Description, need to be directly downloaded from SSD's Farm Household Survey Database's online link: http://ricestat.irri.org/fhsd/",,,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/26277,3,0,2017-03-21 03:46:09+00:00,CC0,CC0 Waiver,"All files for this project/study, except for the Project Description, need to be directly downloaded from SSD's Farm Household Survey Database's online link: http://ricestat.irri.org/fhsd/",,,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/26281,3,0,2017-03-21 03:49:59+00:00,CC0,CC0 Waiver,"All files for this project/study, except for the Project Description, need to be directly downloaded from SSD's Farm Household Survey Database's online link: http://ricestat.irri.org/fhsd/",,,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/26323,3,0,2017-03-17 08:40:35+00:00,CC0,CC0 Waiver,"All files for this project/study, except for the Project Description, need to be directly downloaded from SSD's Farm Household Survey Database's online link: http://ricestat.irri.org/fhsd/",,,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/28977,2,0,2015-06-11 23:04:35+00:00,CC0,CC0 Waiver,,,None.,Attribution to Lada et al. (2004) [original publication],,,
Harvard Dataverse,https://doi.org/10.7910/DVN/29375,1,3,2016-08-17 19:53:08+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/29911,3,0,2020-10-13 21:03:59+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/29591,1,2,2016-08-17 20:02:57+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/AIGF0R,1,0,2020-11-30 15:55:18+00:00,CC0,CC0 Waiver,,,,,,,All downloads of data should take place on Harvard Dataverse. Data should not be posted on personal websites for access by others. The authors are fully responsible for ensuring that the data they upload is accurate and complete.
Harvard Dataverse,https://doi.org/10.7910/DVN/ACYZIC,1,1,2019-06-26 18:44:25+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/AEAFEN,1,0,2020-10-14 22:17:41+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/AOAIFV,1,0,2020-02-18 21:18:59+00:00,CC0,CC0 Waiver,,,,"If you use this data, please cite:

Nicholas C. White, Sandra M. Troian., Jeffrey B. Jewell, Curt J. Cutler, Sheng-wey Chiow, and Nan Yu, ""Robust numerical computation of the 3D scalar potential field of the cubic Galileon gravity model at solar system scales"". arXiv:2003.02648 (2020)

A BibTeX entry for LaTeX users is

@misc{,
  author = {White, Nicholas C. and Troian, Sandra M. and Jewell, Jeffrey B. and Cutler, Curt J. and Chiow, Sheng-wey and Yu, Nan},
  howpublished = {Robust numerical computation of the 3D scalar potential field of the cubic Galileon gravity model at solar system scales},
  year = {2020},
  archivePrefix = {arXiv},
  eprint = {2003.02648},
  url {https://github.com/nwhite-math/small-GaPS},
}

Please note that this citation will be updated upon publication.",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/AN1QF3,1,0,2019-12-14 03:30:42+00:00,CC0,CC0 Waiver,,,"The full dataset for Study 1 can be accessed by researchers at academic institutions upon reasonable request. This restricted dataset must not be shared with others.
All datasets are shared under the condition that no attempt is made to reidentify participants in the datasets (potentially identifying information has been deleted apart from gender and age brackets).
",,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/AJE0UY,1,0,2020-05-13 21:35:56+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/AMPBCA,1,0,2019-08-22 19:00:21+00:00,CC0,CC0 Waiver,,,,,,"All names of students have been redacted from these journals. Should you encounter a journal with a student's name that we missed during the redaction process, please contact the E4 dataverse manager: cathy@stemedinsights.com. ",
Harvard Dataverse,https://doi.org/10.7910/DVN/ALZVAW,1,5,2017-03-26 19:44:54+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/ALU2WQ,1,0,2021-06-25 21:55:23+00:00,CC0,CC0 Waiver,,,"The database and related data are for non-commercial, academic research purposes only.",,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/9TPNOT,1,3,2016-08-17 19:39:45+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/9OOLQ7,1,2,2016-04-01 19:01:58+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/AAI7VA,1,0,2019-05-17 13:39:16+00:00,CC0,CC0 Waiver,,,"By downloading these data, you agree not share or attempt to re-identify these data",,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/A7NVF7,3,1,2021-04-16 09:28:35+00:00,CC0,CC0 Waiver,"The dataset is not confidential. Any person complying with the terms of service, requirements, and restrictions is allowed to download and use the data.","Special permissions are required to access the data. Any person complying with the terms of service, requirements, and restrictions is allowed to download and use the data upon request.","The data cannot be used for commercial purposes. The data should not be publicly redistributed through any other means. Small excerpts of the information may be displayed to others or published in a scientific or technical context, solely for the purpose of describing the research and development and related issues.  Any such use shall not infringe on the rights of any third party including, but not limited to, the authors and publishers of the excerpts.",Downloader is required to cite the original source whenever the dataset is used to publish any type of derivative work. The citation format is specified by the dataset Owner.,"Users are required to cite the original source (see ""Citation Requirements"") whenever the dataset is used to publish any type of derivative work.","In using this service, you represent that: you have read and understood the Site’s Community Norms (http://best-practices.dataverse.org/harvard-policies/community-norms.html); and you have read and understood the Site’s Privacy Policy (http://best-practices.dataverse.org/harvard-policies/harvard-privacy-policy.html).

The data information must be used only for research or other non-commercial purposes. Whenever derivative products of research are published, the original source must be properly identified and cited  (see ""Citation Requirements"").",The dataset comes with no warranties. The downloader has full responsibility for a lawful and ethical use of the data.
Harvard Dataverse,https://doi.org/10.7910/DVN/A7JU1V,1,2,2019-12-11 18:39:50+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/BF2VNK,4,1,2019-12-13 01:36:15+00:00,CC0,CC0 Waiver,,,,Please cite author when reusing this data,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/BFLPBK,1,1,2019-06-20 14:40:34+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/BLXMCY,1,2,2017-02-26 20:42:18+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/BNSGP1,1,0,2019-07-16 12:34:07+00:00,CC0,CC0 Waiver,,,,,,"All names of students have been redacted from these journals. Should you encounter a journal with a student's name that we missed during the redaction process, please contact the E4 dataverse manager: cathy@stemedinsights.com. ",
Harvard Dataverse,https://doi.org/10.7910/DVN/BIISSK,1,0,2018-03-04 18:51:35+00:00,CC0,CC0 Waiver,,,,"We are pleased to have other researchers make use of this data for their own algorithm development and understanding of respiratory monitoring with RF devices. We ask that you cite the following article if you make use of this data in your research.
<br><br>
<blockquote>
P. Hillyard, A. Luong, A. S. Abrar, N. Patwari, K. Sundar, R. Farney, J. Burch, C. A. Porucznik, and S. H. Pollard. “Experience: Cross-Technology Radio Respiratory Monitoring Performance Study”. In Proceedings of the 24th Annual International Conference on Mobile Computing and Networking (MobiCom 2018), New Delhi, India, to appear, 29 Oct. 2018. </blockquote>",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/AWEPYZ,2,0,2021-06-20 13:37:01+00:00,CC0,CC0 Waiver,,,,"Users of this data set should cite this data and the related publication in their research outputs--Singh, M.K. and Moody, J. (2021), ""Do social capital and networks facilitate community participation?"", International Journal of Sociology and Social Policy, Vol. ahead-of-print No. ahead-of-print. https://doi.org/10.1108/IJSSP-01-2021-0022",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/AXI6U1,2,3,2016-02-26 14:50:31+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/ARYBJI,2,0,2020-04-16 17:10:29+00:00,CC0,CC0 Waiver,"Data from the Brazilian Legislative Surveys project are provided in anonymous form. Anonymity was guaranteed to respondents, and the promise was registered with IRBs of Oxford,  Rutgers University, and FGV. By accessing these data you are bound by this requirement, and agree not to engage in any attempt to personally identify any respondents, and to never mention any respondent by name in case you happen to be able to identify them.",,,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/ATX7SB,1,0,2018-03-04 18:57:21+00:00,CC0,CC0 Waiver,,,,"We are pleased to have other researchers make use of this data for their own algorithm development and understanding of respiratory monitoring with RF devices. We ask that you cite the following article if you make use of this data in your research.
<br><br>
<blockquote>
P. Hillyard, A. Luong, A. S. Abrar, N. Patwari, K. Sundar, R. Farney, J. Burch, C. A. Porucznik, and S. H. Pollard. “Experience: Cross-Technology Radio Respiratory Monitoring Performance Study”. In Proceedings of the 24th Annual International Conference on Mobile Computing and Networking (MobiCom 2018), New Delhi, India, to appear, 29 Oct. 2018. </blockquote>",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/B3CVRG,1,0,2020-10-27 13:51:36+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/6R8F7U,1,1,2018-08-21 20:00:33+00:00,CC0,CC0 Waiver,,,,See PGC Acknowledgement Policy at https://z.umn.edu/pgc-ack-policy.,,All maps are copyright to the original publishing agency.,
