datasetPID,dataverseName,dataverseUrl,datasetPIDUrl,numberOfVersions,numberOfMajorVersions,publicationDate,latestReleaseDate,ageOfDataset(Days),ageOfLastUpdate(Days),descriptionLenth,termsExist,license,termsOfUseExists,termsOfAccessExists,relPubCount,relPubPIDCount,usedMetadataBlocks,numberOfFiles,noFileDescriptionCount,fileTagsExist,uniqueContentTypes,ingestableTabularFileCount,ingestedTabFilesCount,uningestedTabFilesCount,restrictedFilesCount
doi:10.7910/DVN/1HZUUH,Africa RISING Dataverse,https://dataverse.harvard.edu/dataverse/AfricaRISING,https://doi.org/10.7910/DVN/1HZUUH,1.0,1.0,2020-10-20 21:02:28+00:00,2020-10-20 21:02:28+00:00,124.0,124.0,605.0,True,NONE,True,False,0.0,0.0,"citation,geospatial,socialscience",7.0,7.0,True,"application/pdf,text/tab-separated-values",5.0,5.0,0.0,0.0
doi:10.7910/DVN/1NJKQH,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/1NJKQH,2.0,1.0,2008-12-18 00:00:00+00:00,2015-12-09 22:37:39+00:00,4449.0,1901.0,171.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",16.0,0.0,True,"application/pdf,application/zip,text/tab-separated-values",10.0,10.0,0.0,0.0
doi:10.7910/DVN/1PEEY0,IFPRI HarvestChoice Dataverse,https://dataverse.harvard.edu/dataverse/harvestchoice,https://doi.org/10.7910/DVN/1PEEY0,8.0,2.0,2015-10-15 18:28:32+00:00,2018-12-18 15:20:07+00:00,1956.0,796.0,1758.0,True,NONE,True,False,1.0,1.0,citation,4.0,0.0,False,"application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/zip,application/zipped-shapefile",0.0,0.0,0.0,0.0
doi:10.7910/DVN/1T4Q3F,Africa RISING Dataverse,https://dataverse.harvard.edu/dataverse/AfricaRISING,https://doi.org/10.7910/DVN/1T4Q3F,1.0,1.0,2021-01-15 19:43:24+00:00,2021-01-15 19:43:24+00:00,37.0,37.0,367.0,True,NONE,True,False,0.0,0.0,"citation,geospatial,socialscience",2.0,2.0,True,text/tab-separated-values,2.0,2.0,0.0,2.0
doi:10.7910/DVN/1Y5ITG,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/1Y5ITG,8.0,5.0,2012-01-24 00:00:00+00:00,2015-11-19 21:01:26+00:00,3317.0,1921.0,956.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",3.0,0.0,True,"application/pdf,application/vnd.ms-excel,application/zip",0.0,0.0,0.0,0.0
doi:10.7910/DVN/1Y8GG1,Africa RISING Dataverse,https://dataverse.harvard.edu/dataverse/AfricaRISING,https://doi.org/10.7910/DVN/1Y8GG1,2.0,2.0,2019-10-02 20:38:49+00:00,2019-10-04 18:41:13+00:00,508.0,506.0,656.0,True,NONE,True,False,0.0,0.0,"citation,geospatial,socialscience",3.0,1.0,True,"application/pdf,application/vnd.ms-excel",0.0,0.0,0.0,3.0
doi:10.7910/DVN/1YCDCB,Agricultural Science and Technology Indicators (ASTI) Dataverse,https://dataverse.harvard.edu/dataverse/asti,https://doi.org/10.7910/DVN/1YCDCB,2.0,1.0,2015-11-03 18:54:01+00:00,2015-11-16 18:50:32+00:00,1937.0,1924.0,1219.0,True,CC0,True,False,1.0,0.0,"citation,geospatial",0.0,0.0,False,NA,0.0,0.0,0.0,0.0
doi:10.7910/DVN/21W7PY,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/21W7PY,1.0,1.0,2020-05-29 02:57:46+00:00,2020-05-29 02:57:46+00:00,269.0,269.0,3503.0,True,NONE,True,False,2.0,2.0,"citation,geospatial,socialscience",4.0,4.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.wordprocessingml.document,text/tab-separated-values",1.0,1.0,0.0,0.0
doi:10.7910/DVN/22765,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/22765,1.0,1.0,2013-11-06 00:00:00+00:00,2013-11-06 00:00:00+00:00,2665.0,2665.0,1941.0,True,NONE,True,False,1.0,0.0,"citation,geospatial",1.0,0.0,True,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1.0,0.0,1.0,0.0
doi:10.7910/DVN/22795,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/22795,3.0,1.0,2013-10-13 00:00:00+00:00,2021-01-11 19:09:05+00:00,2689.0,41.0,2598.0,True,NONE,True,False,1.0,1.0,"citation,geospatial",1.0,0.0,True,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1.0,0.0,1.0,0.0
doi:10.7910/DVN/22TFM8,Africa RISING Dataverse,https://dataverse.harvard.edu/dataverse/AfricaRISING,https://doi.org/10.7910/DVN/22TFM8,2.0,1.0,2017-08-30 17:35:27+00:00,2019-04-10 15:56:08+00:00,1271.0,683.0,1772.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",3.0,3.0,True,application/vnd.ms-excel,0.0,0.0,0.0,3.0
doi:10.7910/DVN/24041,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/24041,3.0,2.0,2014-01-22 00:00:00+00:00,2018-06-15 23:49:28+00:00,2588.0,982.0,902.0,True,NONE,True,False,1.0,1.0,"citation,geospatial,socialscience",30.0,0.0,True,"application/pdf,application/vnd.ms-excel,text/tab-separated-values",25.0,25.0,0.0,0.0
doi:10.7910/DVN/24702,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/24702,4.0,1.0,2014-02-26 00:00:00+00:00,2015-11-24 17:00:53+00:00,2553.0,1916.0,756.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",2.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/24740,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/24740,3.0,3.0,2014-02-14 00:00:00+00:00,2014-02-14 00:00:00+00:00,2565.0,2565.0,843.0,True,NONE,True,False,1.0,1.0,"citation,geospatial",0.0,0.0,False,NA,0.0,0.0,0.0,0.0
doi:10.7910/DVN/24774,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/24774,3.0,2.0,2014-02-26 00:00:00+00:00,2015-11-17 20:39:16+00:00,2553.0,1923.0,802.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",2.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/26496,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/26496,2.0,1.0,2014-06-13 00:00:00+00:00,2015-11-19 18:32:25+00:00,2446.0,1921.0,892.0,True,NONE,True,False,0.0,0.0,"citation,geospatial,socialscience",3.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/26587,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/26587,3.0,1.0,2014-06-26 00:00:00+00:00,2015-11-19 21:05:02+00:00,2433.0,1921.0,970.0,True,NONE,True,False,0.0,0.0,"citation,geospatial,socialscience",3.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/26930,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/26930,5.0,2.0,2014-08-15 00:00:00+00:00,2018-11-30 19:13:30+00:00,2383.0,814.0,995.0,True,NONE,True,False,0.0,0.0,"citation,geospatial,socialscience",41.0,0.0,True,"application/pdf,application/vnd.ms-excel,text/tab-separated-values",38.0,38.0,0.0,0.0
doi:10.7910/DVN/27557,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/27557,2.0,1.0,2014-10-13 00:00:00+00:00,2017-03-31 21:27:26+00:00,2324.0,1423.0,2678.0,True,NONE,True,False,1.0,0.0,"citation,geospatial",1.0,0.0,True,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1.0,0.0,1.0,0.0
doi:10.7910/DVN/27704,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/27704,5.0,1.0,2014-12-12 00:00:00+00:00,2016-07-29 16:24:19+00:00,2264.0,1668.0,558.0,True,NONE,True,False,7.0,7.0,"citation,geospatial,socialscience",34.0,0.0,True,"application/pdf,text/tab-separated-values",31.0,31.0,0.0,0.0
doi:10.7910/DVN/27857,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/27857,4.0,3.0,2014-11-20 00:00:00+00:00,2016-07-29 16:15:33+00:00,2286.0,1668.0,818.0,True,NONE,True,False,1.0,0.0,"citation,geospatial,socialscience",7.0,0.0,True,"application/octet-stream,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.wordprocessingml.document",0.0,0.0,0.0,0.0
doi:10.7910/DVN/27883,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/27883,6.0,2.0,2014-12-12 00:00:00+00:00,2019-11-21 19:32:19+00:00,2264.0,458.0,681.0,True,NONE,True,False,6.0,6.0,"citation,geospatial,socialscience",43.0,2.0,True,"application/pdf,application/x-stata,text/tab-separated-values",40.0,7.0,33.0,0.0
doi:10.7910/DVN/27970,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/27970,1.0,1.0,2014-12-12 00:00:00+00:00,2014-12-12 00:00:00+00:00,2264.0,2264.0,352.0,True,NONE,True,False,1.0,0.0,"citation,geospatial",1.0,0.0,True,application/vnd.ms-excel,0.0,0.0,0.0,0.0
doi:10.7910/DVN/27PGV2,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/27PGV2,1.0,1.0,2020-03-17 12:08:08+00:00,2020-03-17 12:08:08+00:00,341.0,341.0,3556.0,True,NONE,True,False,2.0,2.0,"citation,geospatial,socialscience",5.0,5.0,True,"application/pdf,text/tab-separated-values",1.0,1.0,0.0,0.0
doi:10.7910/DVN/28446,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/28446,3.0,2.0,2014-12-29 00:00:00+00:00,2015-11-18 20:13:29+00:00,2247.0,1922.0,528.0,True,NONE,True,False,0.0,0.0,"citation,geospatial,socialscience",3.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/28526,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/28526,2.0,1.0,2015-01-14 00:00:00+00:00,2015-11-18 19:58:54+00:00,2231.0,1922.0,459.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",3.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/28527,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/28527,2.0,1.0,2015-09-25 16:20:03+00:00,2015-11-17 19:31:45+00:00,1976.0,1923.0,436.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",3.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/28529,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/28529,3.0,1.0,2015-01-14 00:00:00+00:00,2015-11-19 16:31:10+00:00,2231.0,1921.0,577.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",3.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/28531,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/28531,3.0,1.0,2015-01-14 00:00:00+00:00,2015-11-17 20:14:35+00:00,2231.0,1923.0,757.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",3.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/28532,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/28532,3.0,1.0,2015-01-14 00:00:00+00:00,2015-11-19 16:59:24+00:00,2231.0,1921.0,759.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",3.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/28538,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/28538,3.0,1.0,2015-01-14 00:00:00+00:00,2019-03-18 18:32:04+00:00,2231.0,706.0,610.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",3.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/28540,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/28540,3.0,1.0,2015-01-14 00:00:00+00:00,2015-11-18 17:24:00+00:00,2231.0,1922.0,596.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",3.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/28541,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/28541,3.0,1.0,2015-09-25 19:44:09+00:00,2015-11-17 19:20:14+00:00,1976.0,1923.0,649.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",3.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/28556,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/28556,2.0,1.0,2015-01-14 00:00:00+00:00,2015-11-18 19:18:34+00:00,2231.0,1922.0,691.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",3.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/28557,Africa RISING Dataverse,https://dataverse.harvard.edu/dataverse/AfricaRISING,https://doi.org/10.7910/DVN/28557,7.0,1.0,2015-04-02 00:00:00+00:00,2019-11-22 17:59:52+00:00,2153.0,457.0,1901.0,True,NONE,True,False,0.0,0.0,"citation,geospatial,socialscience",57.0,0.0,True,"application/pdf,text/tab-separated-values",50.0,50.0,0.0,57.0
doi:10.7910/DVN/28558,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/28558,2.0,3.0,2018-05-12 01:02:17+00:00,2018-07-16 18:52:02+00:00,1017.0,951.0,1175.0,True,NONE,True,False,0.0,0.0,"citation,geospatial,socialscience",106.0,0.0,True,"application/pdf,application/vnd.ms-excel,text/tab-separated-values",93.0,93.0,0.0,0.0
doi:10.7910/DVN/28559,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/28559,2.0,1.0,2015-12-31 16:03:40+00:00,2018-07-07 05:03:24+00:00,1879.0,961.0,454.0,True,NONE,True,False,1.0,1.0,"citation,geospatial",9.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",7.0,0.0,7.0,0.0
doi:10.7910/DVN/28758,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/28758,1.0,1.0,2015-11-18 17:34:38+00:00,2015-11-18 17:34:38+00:00,1922.0,1922.0,512.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",0.0,0.0,False,NA,0.0,0.0,0.0,0.0
doi:10.7910/DVN/29015,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/29015,8.0,3.0,2015-03-11 00:00:00+00:00,2018-06-18 15:00:18+00:00,2175.0,979.0,551.0,True,NONE,True,False,0.0,0.0,"citation,geospatial,socialscience",3.0,0.0,True,"application/pdf,application/vnd.ms-excel",0.0,0.0,0.0,0.0
doi:10.7910/DVN/29604,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/29604,8.0,6.0,2015-03-25 00:00:00+00:00,2016-07-29 17:13:48+00:00,2161.0,1668.0,1463.0,True,NONE,True,False,0.0,0.0,"citation,geospatial,socialscience",9.0,9.0,False,"application/pdf,text/tab-separated-values",4.0,4.0,0.0,0.0
doi:10.7910/DVN/29IKQE,Africa RISING Dataverse,https://dataverse.harvard.edu/dataverse/AfricaRISING,https://doi.org/10.7910/DVN/29IKQE,2.0,1.0,2017-08-30 19:10:10+00:00,2019-04-10 15:52:04+00:00,1271.0,683.0,264.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",2.0,2.0,True,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0.0,0.0,0.0,2.0
doi:10.7910/DVN/2BSYUP,Africa RISING Dataverse,https://dataverse.harvard.edu/dataverse/AfricaRISING,https://doi.org/10.7910/DVN/2BSYUP,1.0,1.0,2017-09-26 21:57:20+00:00,2017-09-26 21:57:20+00:00,1244.0,1244.0,1835.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",176.0,176.0,False,"application/vnd.ms-excel,text/tab-separated-values",91.0,91.0,0.0,50.0
doi:10.7910/DVN/2C927V,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/2C927V,1.0,1.0,2020-06-17 13:56:09+00:00,2020-06-17 13:56:09+00:00,249.0,249.0,3227.0,True,NONE,True,False,2.0,2.0,"citation,geospatial,socialscience",10.0,10.0,True,"application/pdf,text/tab-separated-values",3.0,3.0,0.0,0.0
doi:10.7910/DVN/2JUJGR,Agricultural Science and Technology Indicators (ASTI) Dataverse,https://dataverse.harvard.edu/dataverse/asti,https://doi.org/10.7910/DVN/2JUJGR,2.0,1.0,2015-11-03 18:56:17+00:00,2015-11-16 18:57:42+00:00,1937.0,1924.0,1202.0,True,CC0,True,False,1.0,0.0,citation,0.0,0.0,False,NA,0.0,0.0,0.0,0.0
doi:10.7910/DVN/2S8BZ6,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/2S8BZ6,9.0,6.0,2013-08-06 00:00:00+00:00,2017-03-23 11:10:05+00:00,2757.0,1431.0,3058.0,True,NONE,True,False,5.0,5.0,"citation,geospatial,socialscience",4.0,0.0,True,"application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",2.0,0.0,2.0,0.0
doi:10.7910/DVN/2TLSY3,Africa RISING Dataverse,https://dataverse.harvard.edu/dataverse/AfricaRISING,https://doi.org/10.7910/DVN/2TLSY3,5.0,1.0,2017-09-11 20:17:11+00:00,2019-04-10 15:58:29+00:00,1259.0,683.0,145.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",3.0,3.0,True,text/tab-separated-values,3.0,3.0,0.0,3.0
doi:10.7910/DVN/3E6ZRT,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/3E6ZRT,1.0,1.0,2020-08-14 13:50:19+00:00,2020-08-14 13:50:19+00:00,191.0,191.0,3868.0,True,NONE,True,False,0.0,0.0,"citation,geospatial,socialscience",4.0,4.0,True,"application/pdf,text/tab-separated-values",1.0,1.0,0.0,0.0
doi:10.7910/DVN/3HVZH3,Africa RISING Dataverse,https://dataverse.harvard.edu/dataverse/AfricaRISING,https://doi.org/10.7910/DVN/3HVZH3,5.0,1.0,2017-11-21 22:14:31+00:00,2019-04-10 15:57:34+00:00,1188.0,683.0,1421.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",1.0,1.0,False,application/vnd.ms-excel,0.0,0.0,0.0,1.0
doi:10.7910/DVN/3QEVFK,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/3QEVFK,2.0,1.0,2016-11-17 21:12:56+00:00,2017-04-18 20:56:55+00:00,1557.0,1405.0,459.0,True,NONE,True,False,0.0,0.0,"citation,geospatial,socialscience",3.0,3.0,True,"application/pdf,text/tab-separated-values",1.0,1.0,0.0,0.0
doi:10.7910/DVN/3REX7R,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/3REX7R,1.0,1.0,2016-06-10 18:40:54+00:00,2016-06-10 18:40:54+00:00,1717.0,1717.0,2172.0,True,NONE,True,False,1.0,0.0,"citation,geospatial,socialscience",81.0,81.0,True,"application/pdf,text/tab-separated-values",75.0,75.0,0.0,0.0
doi:10.7910/DVN/3WPEM8,Agricultural Science and Technology Indicators (ASTI) Dataverse,https://dataverse.harvard.edu/dataverse/asti,https://doi.org/10.7910/DVN/3WPEM8,2.0,1.0,2015-11-03 18:53:46+00:00,2015-11-16 19:22:30+00:00,1937.0,1924.0,1207.0,True,CC0,True,False,1.0,0.0,"citation,geospatial",0.0,0.0,False,NA,0.0,0.0,0.0,0.0
doi:10.7910/DVN/4DDPFG,Africa RISING Dataverse,https://dataverse.harvard.edu/dataverse/AfricaRISING,https://doi.org/10.7910/DVN/4DDPFG,2.0,1.0,2017-08-30 20:22:26+00:00,2019-04-10 15:57:46+00:00,1271.0,683.0,2971.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",1.0,0.0,True,application/vnd.ms-excel,0.0,0.0,0.0,1.0
doi:10.7910/DVN/4FOVBN,Africa RISING Dataverse,https://dataverse.harvard.edu/dataverse/AfricaRISING,https://doi.org/10.7910/DVN/4FOVBN,3.0,1.0,2017-09-26 16:20:51+00:00,2019-04-10 15:53:19+00:00,1244.0,683.0,1016.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",0.0,0.0,False,NA,0.0,0.0,0.0,0.0
doi:10.7910/DVN/4JQOLN,Agricultural Science and Technology Indicators (ASTI) Dataverse,https://dataverse.harvard.edu/dataverse/asti,https://doi.org/10.7910/DVN/4JQOLN,2.0,1.0,2015-11-03 18:44:59+00:00,2015-11-16 21:03:41+00:00,1937.0,1924.0,1203.0,True,CC0,True,False,1.0,0.0,"citation,geospatial",0.0,0.0,False,NA,0.0,0.0,0.0,0.0
